	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_03.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_04.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_05.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_06.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_07.c3d	110_P_T3_sh_L_ND_A_08.c3d	110_P_T3_sh_L_ND_A_08.c3d	110_P_T3_sh_L_ND_A_08.c3d	110_P_T3_sh_L_ND_A_08.c3d	110_P_T3_sh_L_ND_A_08.c3d	110_P_T3_sh_L_ND_A_08.c3d	110_P_T3_sh_L_ND_A_08.c3d	110_P_T3_sh_L_ND_A_08.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.266194	0.275895	0.153681	0.299105	0.164410	0.191389	0.325506	0.194147	0.322169	0.286280	0.095274	0.157553	0.697796	0.492438	0.239301	0.399877	0.208551	0.150420	0.414406	0.371780	0.240134	0.207512	0.121755	0.155544	0.785777	0.485728	0.200997	0.222142	0.715105	0.538140	0.335636	0.274038	0.322911	0.290351	0.249434	0.415222	0.280922	0.163437	0.181637	0.208673	0.369789	0.826126	0.094210	0.188028	0.310686	0.309534	0.125069	0.248626
2	0.277542	0.274369	0.123673	0.298280	0.157003	0.191066	0.197637	0.192095	0.325520	0.288439	0.101006	0.185716	0.620632	0.453794	0.244037	0.418282	0.218817	0.188162	0.444258	0.399911	0.237612	0.211763	0.116011	0.207789	0.782410	0.448625	0.194989	0.224361	0.727117	0.580064	0.333511	0.299896	0.341052	0.299034	0.225067	0.417308	0.236958	0.168009	0.173414	0.208162	0.248444	0.642599	0.102109	0.199709	0.322321	0.335840	0.116804	0.247789
3	0.292301	0.263011	0.139067	0.344867	0.145673	0.175577	0.170846	0.211509	0.337140	0.265341	0.131172	0.186803	0.592037	0.413969	0.227177	0.461143	0.221426	0.242549	0.458186	0.464472	0.223322	0.221122	0.121849	0.267555	0.776877	0.352471	0.186128	0.224707	0.731280	0.597543	0.283935	0.300626	0.351885	0.321142	0.222385	0.292825	0.201373	0.183660	0.188000	0.208777	0.331125	0.205852	0.161338	0.199596	0.372637	0.393452	0.134700	0.247193
4	0.294039	0.262655	0.208659	0.360399	0.119004	0.170816	0.183780	0.231474	0.374179	0.251049	0.180991	0.190529	0.500595	0.394049	0.250703	0.464973	0.215722	0.252026	0.473666	0.478886	0.213778	0.222844	0.114760	0.276467	0.762623	0.322190	0.181128	0.231223	0.731565	0.599235	0.252907	0.281004	0.363299	0.324888	0.216874	0.275240	0.187904	0.198492	0.240579	0.212364	0.477420	0.323313	0.187907	0.189337	0.386877	0.412895	0.153434	0.248058
5	0.300183	0.268917	0.248048	0.335731	0.123967	0.166272	0.221120	0.232339	0.383425	0.250453	0.186476	0.192811	0.416010	0.381877	0.258688	0.591383	0.274308	0.290496	0.472758	0.481698	0.216141	0.225277	0.145683	0.278661	0.723908	0.301052	0.177988	0.232450	0.732276	0.604911	0.255664	0.272716	0.366036	0.322278	0.355470	0.205449	0.181066	0.200063	0.273301	0.358054	0.553543	0.366995	0.188180	0.155113	0.390226	0.421649	0.167039	0.247168
6	0.310799	0.300021	0.263241	0.281296	0.131476	0.170227	0.230372	0.258214	0.387717	0.251598	0.188818	0.185168	0.269321	0.345742	0.262346	0.731235	0.340425	0.348788	0.457304	0.485745	0.216703	0.225027	0.310512	0.321925	0.726269	0.298645	0.158023	0.203955	0.725210	0.605025	0.252562	0.287236	0.331191	0.271490	0.450742	0.164845	0.185771	0.204056	0.279115	0.507967	0.570306	0.366358	0.185553	0.138314	0.386915	0.425258	0.165709	0.182601
7	0.312249	0.309077	0.266413	0.264717	0.152729	0.180978	0.226121	0.305517	0.387489	0.244693	0.199364	0.163101	0.263759	0.340485	0.285135	0.754978	0.394063	0.365459	0.466852	0.486931	0.238810	0.225748	0.477340	0.753568	0.711381	0.290014	0.203099	0.169273	0.651387	0.556707	0.236206	0.328391	0.288641	0.285804	0.458962	0.175212	0.192367	0.220350	0.278587	0.517828	0.581820	0.367691	0.227177	0.135932	0.389356	0.424147	0.163210	0.204059
