	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.513537	1.035426	0.313076	0.131540	0.283213	0.477896	0.449368	0.320401	0.215444	0.490313	0.321592	0.113929	0.194795	0.536906	0.694646	0.370728	0.084505	0.068711	0.232621	0.079400	0.284891	0.478353	0.468347	0.482582	0.105266	0.344299	0.201489	0.162120	0.198723	0.174789	0.332877	0.442241	0.143426	0.342496	0.203993	0.296636	0.159687	0.384921	0.302019	0.339166	0.089709	0.218507	0.328574	0.149491	0.290698	0.131064	0.608507	0.426039
2	0.455379	0.828466	0.175523	0.127806	0.273386	0.389394	0.438891	0.358052	0.188972	0.471707	0.282922	0.138040	0.224124	0.642995	0.559642	0.344525	0.066416	0.062035	0.237287	0.088521	0.283916	0.510240	0.480162	0.457941	0.105068	0.329147	0.203533	0.158332	0.157946	0.184639	0.323802	0.434361	0.167891	0.331172	0.204373	0.296890	0.152568	0.386289	0.299706	0.345681	0.095140	0.238578	0.334678	0.154947	0.266335	0.108553	0.578151	0.409026
3	0.423288	0.765722	0.154573	0.109860	0.300991	0.521409	0.439244	0.343189	0.188239	0.468718	0.264378	0.198810	0.242014	0.702809	0.490139	0.322029	0.065878	0.061783	0.238865	0.085004	0.269401	0.519343	0.490035	0.494541	0.111649	0.337421	0.204590	0.173639	0.112275	0.200934	0.321136	0.421601	0.176426	0.338894	0.194812	0.297183	0.138131	0.374528	0.287854	0.346888	0.206194	0.382765	0.337964	0.140854	0.256042	0.090950	0.560446	0.419814
4	0.291582	0.504660	0.112313	0.095002	0.336827	0.564943	0.400855	0.339774	0.190895	0.440630	0.264221	0.215751	0.241659	0.686452	0.509295	0.284043	0.067839	0.055987	0.240413	0.140421	0.258875	0.519521	0.470736	0.498791	0.107741	0.297740	0.217884	0.190049	0.087374	0.216670	0.322114	0.421140	0.175343	0.320270	0.198786	0.304408	0.136420	0.337421	0.255123	0.363069	0.287291	0.497691	0.275868	0.101803	0.256703	0.081952	0.558008	0.371228
5	0.210999	0.347196	0.083386	0.076911	0.348514	0.570660	0.354177	0.340037	0.187664	0.423735	0.289080	0.221996	0.258640	0.707023	0.505852	0.250725	0.058390	0.042931	0.275115	0.239144	0.243380	0.514039	0.426206	0.494062	0.104048	0.311782	0.217414	0.215475	0.086739	0.219037	0.313888	0.420422	0.174297	0.317553	0.248902	0.301805	0.133998	0.321668	0.203847	0.340028	0.299054	0.515207	0.268320	0.108125	0.256253	0.078917	0.557916	0.379290
6	0.183195	0.275390	0.117924	0.089725	0.361918	0.574184	0.361177	0.340355	0.159940	0.278827	0.314942	0.229015	0.257000	0.718953	0.503782	0.258965	0.064004	0.053638	0.323752	0.242382	0.239276	0.510691	0.416604	0.493150	0.092026	0.269389	0.237007	0.214620	0.085444	0.226364	0.304162	0.433755	0.171546	0.318581	0.356159	0.296571	0.130879	0.308046	0.192269	0.330331	0.311857	0.553109	0.238843	0.120582	0.256535	0.078438	0.557350	0.464039
7	0.150768	0.232137	0.190024	0.190049	0.371559	0.575600	0.363872	0.336662	0.159973	0.220460	0.340668	0.230470	0.256264	0.733241	0.491430	0.247882	0.063909	0.058000	0.343646	0.258360	0.242518	0.510314	0.409453	0.493259	0.095990	0.267676	0.240682	0.214249	0.086406	0.231912	0.278599	0.497472	0.170624	0.322714	0.399135	0.288343	0.105564	0.224735	0.228829	0.326536	0.365934	0.629461	0.183417	0.137456	0.258310	0.078756	0.546346	0.469804
