	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_01.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_02.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_04.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_05.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_06.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_07.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_09.c3d	156_P_T1_sh_R_D_A_10.c3d	156_P_T1_sh_R_D_A_10.c3d	156_P_T1_sh_R_D_A_10.c3d	156_P_T1_sh_R_D_A_10.c3d	156_P_T1_sh_R_D_A_10.c3d	156_P_T1_sh_R_D_A_10.c3d	156_P_T1_sh_R_D_A_10.c3d	156_P_T1_sh_R_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.621668	0.189145	0.128251	0.286705	0.742615	0.564551	0.166043	0.400887	0.528519	0.577189	0.292075	0.466173	0.542451	0.243701	0.174529	0.495113	0.714851	0.431197	0.132403	0.252464	0.636136	0.479993	0.173406	0.333588	0.480810	0.261566	0.320211	0.428032	0.599153	0.508267	0.262464	0.530498	0.275862	0.312304	0.218735	0.597503	0.201118	0.310134	0.328440	0.434983	0.528692	0.275061	0.244444	0.280712	0.251156	0.252987	0.201409	0.368873	0.512711	0.519741	0.157674	0.278152	0.324378	0.269347	0.373570	0.622611	0.596284	0.552992	0.077752	0.570597	0.452610	0.234211	0.135642	0.394092
2	0.633237	0.189322	0.114024	0.272517	0.732440	0.613067	0.162909	0.392894	0.531490	0.577204	0.291279	0.511945	0.548150	0.257949	0.190387	0.492891	0.727504	0.430877	0.119199	0.251177	0.655092	0.510475	0.174085	0.329145	0.509401	0.257328	0.316850	0.526892	0.529249	0.500717	0.261949	0.529018	0.252141	0.248990	0.223459	0.582749	0.207775	0.308523	0.335174	0.461837	0.480927	0.287317	0.243432	0.304983	0.251697	0.232610	0.201582	0.379374	0.515608	0.509345	0.166824	0.290513	0.267750	0.143479	0.371086	0.628397	0.584537	0.553259	0.078845	0.517268	0.453185	0.222535	0.148412	0.361636
3	0.635687	0.195884	0.121761	0.244506	0.736024	0.661019	0.159035	0.384532	0.532364	0.566277	0.304527	0.527381	0.544712	0.265340	0.235306	0.516526	0.735497	0.431754	0.113777	0.254343	0.622604	0.526679	0.167768	0.331179	0.521536	0.263223	0.319604	0.552210	0.523771	0.486614	0.265877	0.529203	0.249134	0.236799	0.219349	0.571267	0.199514	0.282673	0.342547	0.475287	0.548619	0.277034	0.228083	0.391355	0.255194	0.211956	0.214850	0.385076	0.511775	0.505993	0.174522	0.292315	0.266927	0.108870	0.368623	0.620803	0.574548	0.553413	0.059344	0.484767	0.439169	0.217479	0.152790	0.363032
4	0.646928	0.227089	0.129766	0.248222	0.739934	0.668832	0.161120	0.405304	0.523853	0.501289	0.305019	0.527095	0.510954	0.268710	0.242328	0.509330	0.706717	0.427515	0.107106	0.263931	0.574019	0.493909	0.159402	0.349698	0.528591	0.284072	0.318730	0.560096	0.494586	0.425852	0.316902	0.529815	0.246192	0.237422	0.219251	0.572726	0.231546	0.294591	0.364848	0.458872	0.562705	0.268804	0.259178	0.592109	0.262231	0.178227	0.231340	0.460815	0.484100	0.500136	0.178497	0.312474	0.271127	0.109420	0.365156	0.570373	0.473003	0.535896	0.060406	0.484387	0.410874	0.171462	0.152343	0.347818
5	0.647270	0.258413	0.141658	0.251934	0.750524	0.663861	0.154202	0.373762	0.498026	0.487177	0.298735	0.531393	0.531504	0.269052	0.245493	0.509461	0.646938	0.410143	0.105137	0.267148	0.567877	0.435537	0.163265	0.356902	0.526846	0.288512	0.285282	0.564419	0.460131	0.381952	0.410530	0.561342	0.247440	0.253013	0.212928	0.560753	0.241148	0.260823	0.398769	0.489675	0.548370	0.251681	0.320716	0.641509	0.262737	0.154538	0.227306	0.462431	0.490689	0.487332	0.179063	0.320983	0.297582	0.121297	0.363575	0.543236	0.484976	0.505884	0.060204	0.486488	0.256717	0.153295	0.152735	0.319029
6	0.680879	0.258607	0.140886	0.339737	0.694910	0.643827	0.152575	0.318503	0.513800	0.487722	0.319137	0.527020	0.568691	0.269175	0.252797	0.512066	0.642390	0.377229	0.102754	0.267412	0.575673	0.405672	0.215903	0.312280	0.495662	0.280714	0.246308	0.559560	0.438848	0.380060	0.428880	0.577759	0.243710	0.303531	0.212149	0.509123	0.269186	0.244997	0.402595	0.537693	0.512764	0.251260	0.344613	0.632813	0.252923	0.129942	0.228812	0.414843	0.484597	0.472369	0.189859	0.325863	0.297367	0.124680	0.335643	0.531273	0.495010	0.413375	0.062200	0.491424	0.195142	0.148267	0.148956	0.318891
7	0.686426	0.232203	0.127246	0.357477	0.450137	0.613041	0.144185	0.310094	0.464780	0.371217	0.341739	0.539046	0.574245	0.264725	0.253335	0.512692	0.592687	0.365172	0.105967	0.260460	0.576223	0.408250	0.258444	0.336756	0.494096	0.267287	0.239550	0.553771	0.388699	0.398824	0.432191	0.581129	0.247683	0.370853	0.212573	0.468508	0.317133	0.319581	0.399446	0.542563	0.504310	0.224536	0.346418	0.681708	0.247262	0.119947	0.224006	0.399536	0.485573	0.473908	0.189319	0.348068	0.308275	0.134097	0.362849	0.510033	0.488571	0.388566	0.070625	0.469032	0.181883	0.143732	0.147344	0.338460
8	0.595004	0.234362	0.133851	0.401774	0.334853	0.602572	0.146199	0.335648	0.429416	0.351849	0.387340	0.590893	0.566301	0.259944	0.252235	0.493902	0.568607	0.329879	0.122333	0.255757	0.550854	0.367402	0.251972	0.330545	0.498612	0.273591	0.242559	0.558252	0.384590	0.411598	0.446025	0.569696	0.245540	0.371845	0.212842	0.453859	0.327372	0.354057	0.389057	0.535834	0.521979	0.224873	0.345063	0.710886	0.231717	0.097730	0.175531	0.379140	0.482647	0.482558	0.201588	0.367556	0.352350	0.164092	0.401055	0.380580	0.478417	0.369681	0.076383	0.380431	0.186418	0.132318	0.146268	0.362826
9	0.546946	0.231344	0.143564	0.413546	0.358243	0.603240	0.150216	0.356003	0.479723	0.444108	0.429371	0.754618	0.522705	0.251404	0.239072	0.478831	0.568530	0.283138	0.146343	0.256045	0.525837	0.335324	0.266685	0.366100	0.530560	0.289698	0.269788	0.557204	0.351763	0.390848	0.450375	0.499586	0.274214	0.375574	0.203526	0.444666	0.328137	0.359031	0.387359	0.507280	0.549639	0.224146	0.344902	0.746378	0.225800	0.084230	0.162515	0.348739	0.461692	0.487376	0.249259	0.369253	0.396754	0.178594	0.398212	0.442733	0.344729	0.192394	0.106938	0.437618	0.196194	0.133975	0.176673	0.363700
10	0.509663	0.239398	0.188177	0.468470	0.355323	0.603567	0.152177	0.357569	0.583709	0.446997	0.427032	0.865914	0.401888	0.221569	0.234297	0.473280	0.566748	0.293980	0.152128	0.261064	0.511292	0.329774	0.262404	0.379086	0.603286	0.285704	0.313876	0.555747	0.331225	0.360775	0.447621	0.448997	0.272491	0.393261	0.193560	0.437506	0.322063	0.364266	0.378247	0.477098	0.532849	0.214111	0.373735	0.787379	0.165845	0.084240	0.176340	0.348473	0.397186	0.467582	0.260183	0.394334	0.427150	0.206739	0.361310	0.458413	0.400440	0.191854	0.129262	0.554837	0.209827	0.137624	0.236741	0.385461
11	0.459954	0.238427	0.224268	0.623244	0.351846	0.579336	0.154775	0.362388	0.617402	0.436155	0.430622	0.892770	0.379806	0.219418	0.224067	0.459830	0.548332	0.296690	0.153182	0.269501	0.510383	0.330289	0.262190	0.373406	0.547611	0.266446	0.314136	0.564027	0.316632	0.316448	0.425330	0.433529	0.250382	0.400198	0.188790	0.351307	0.327182	0.362773	0.360790	0.480406	0.505725	0.188238	0.385460	0.792286	0.170533	0.093059	0.215603	0.390512	0.390792	0.443886	0.253562	0.441113	0.407472	0.212889	0.381330	0.454448	0.521609	0.242098	0.132778	0.575347	0.258733	0.155334	0.249765	0.406541
12	0.363859	0.235317	0.225551	0.693005	0.321613	0.500845	0.163950	0.368448	0.616684	0.444576	0.429730	0.864520	0.379697	0.208303	0.223153	0.454595	0.531504	0.247716	0.166665	0.293633	0.501863	0.327847	0.267919	0.413797	0.641541	0.253956	0.281363	0.608370	0.304698	0.290385	0.404006	0.434673	0.229273	0.411317	0.185334	0.226503	0.348774	0.340504	0.319451	0.471653	0.503974	0.182698	0.374204	0.792264	0.187151	0.107652	0.258985	0.430105	0.381690	0.381975	0.254785	0.459785	0.422386	0.217310	0.462213	0.455086	0.544510	0.246300	0.132934	0.536285	0.280588	0.165908	0.254531	0.400549
13	0.393847	0.238051	0.229559	0.714870	0.328708	0.450781	0.182723	0.453853	0.636067	0.452149	0.438506	0.856541	0.379991	0.199985	0.221946	0.409823	0.521666	0.221835	0.196775	0.309787	0.472300	0.281563	0.276512	0.436166	0.684120	0.253827	0.277460	0.597666	0.318884	0.352182	0.398304	0.372324	0.224865	0.422722	0.193463	0.204895	0.363528	0.340137	0.303721	0.464364	0.482222	0.182118	0.375737	0.808434	0.190514	0.117253	0.265884	0.428018	0.357605	0.375774	0.253107	0.504721	0.464627	0.247093	0.485285	0.458355	0.525505	0.244315	0.140603	0.530626	0.277961	0.174260	0.262627	0.381816
