	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_02.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_03.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_04.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_05.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_06.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_07.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_08.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_10.c3d	157_P_T1_sh_L_ND_A_11.c3d	157_P_T1_sh_L_ND_A_11.c3d	157_P_T1_sh_L_ND_A_11.c3d	157_P_T1_sh_L_ND_A_11.c3d	157_P_T1_sh_L_ND_A_11.c3d	157_P_T1_sh_L_ND_A_11.c3d	157_P_T1_sh_L_ND_A_11.c3d	157_P_T1_sh_L_ND_A_11.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.244735	0.280953	0.322065	0.143106	0.591672	0.364020	0.268266	0.061620	0.143423	0.344750	0.352994	0.146444	0.264529	0.254748	0.204015	0.181226	0.220535	0.209046	0.465430	0.294849	0.216585	0.295968	0.149860	0.064344	0.323952	0.311375	0.603657	0.156407	0.098577	0.062383	0.317578	0.258534	0.222084	0.244750	0.220320	0.258730	0.154378	0.513510	0.252478	0.070042	0.266859	0.339133	0.399992	0.149645	0.302324	0.710864	0.102459	0.103226	0.368560	0.231786	0.392337	0.221798	0.164507	0.341924	0.269963	0.204848	0.241207	0.303839	0.527110	0.199891	0.237240	0.274934	0.165477	0.034501	0.656473	0.430815	0.299731	0.260944	0.408382	0.247696	0.177260	0.179978
2	0.230994	0.230812	0.330801	0.148997	0.592988	0.358394	0.285786	0.054094	0.197948	0.346377	0.314985	0.188553	0.274208	0.254594	0.210330	0.191323	0.210872	0.201795	0.467618	0.313407	0.215044	0.270626	0.147697	0.060551	0.346750	0.304495	0.603563	0.186441	0.099265	0.065627	0.313958	0.235613	0.199156	0.222369	0.225571	0.257759	0.184854	0.526955	0.253459	0.069473	0.233235	0.252987	0.424815	0.146542	0.261631	0.691669	0.101833	0.104229	0.368934	0.230884	0.370483	0.229967	0.171162	0.345073	0.274849	0.295538	0.240933	0.300361	0.517969	0.200654	0.237974	0.269522	0.160003	0.044577	0.656324	0.429774	0.295577	0.282014	0.428661	0.238463	0.175054	0.174078
3	0.200530	0.196442	0.294522	0.139636	0.585467	0.337719	0.294953	0.042670	0.241361	0.347528	0.308818	0.218296	0.282445	0.251082	0.220364	0.181879	0.203620	0.199926	0.467143	0.316321	0.201045	0.262049	0.165049	0.057853	0.367911	0.307938	0.602487	0.208627	0.105306	0.063282	0.309929	0.226015	0.212492	0.202998	0.229900	0.259856	0.208547	0.544058	0.220229	0.061668	0.227080	0.246217	0.425547	0.152145	0.258391	0.610946	0.095174	0.100774	0.370010	0.215604	0.360312	0.230016	0.174480	0.345887	0.274054	0.353582	0.241587	0.292071	0.509516	0.188810	0.219422	0.222334	0.159805	0.053811	0.641083	0.424269	0.293709	0.286157	0.440525	0.220311	0.174942	0.172480
4	0.189674	0.173299	0.294150	0.130560	0.542224	0.331039	0.292611	0.040858	0.248151	0.346804	0.339044	0.220862	0.280248	0.233536	0.216931	0.168331	0.212478	0.200554	0.463329	0.309786	0.188684	0.219337	0.241869	0.058297	0.372274	0.316859	0.535497	0.213059	0.120214	0.061678	0.296291	0.224357	0.239112	0.209263	0.229700	0.262362	0.209798	0.547646	0.189438	0.053279	0.225876	0.234896	0.440048	0.168813	0.235687	0.497351	0.102005	0.102015	0.370800	0.197240	0.361711	0.221563	0.213516	0.362962	0.304122	0.366132	0.233553	0.262200	0.496146	0.171631	0.203515	0.202468	0.160067	0.055516	0.590044	0.402778	0.280036	0.280948	0.445656	0.226394	0.187366	0.172135
5	0.096896	0.174972	0.292506	0.126948	0.498246	0.331220	0.297573	0.041653	0.253564	0.344740	0.353379	0.216378	0.284347	0.215920	0.217235	0.156718	0.283541	0.223555	0.459795	0.300549	0.189431	0.196828	0.264658	0.057470	0.372391	0.319229	0.396631	0.212986	0.133631	0.078355	0.256146	0.206525	0.241324	0.208698	0.230029	0.270226	0.206944	0.527975	0.191547	0.051760	0.214656	0.210299	0.482547	0.176753	0.233061	0.469550	0.226475	0.097539	0.365852	0.196365	0.360905	0.221448	0.254848	0.443661	0.355335	0.369548	0.229602	0.240332	0.427464	0.166035	0.177341	0.200599	0.158858	0.059814	0.529453	0.358305	0.253028	0.276092	0.445595	0.214526	0.205586	0.171020
6	0.097186	0.270803	0.289656	0.118898	0.492905	0.330416	0.298176	0.046999	0.254246	0.344838	0.359422	0.221973	0.295702	0.213781	0.216136	0.149706	0.362691	0.257808	0.414721	0.291565	0.193596	0.200638	0.268760	0.061786	0.371333	0.299358	0.339823	0.213011	0.153940	0.105252	0.230742	0.170063	0.232165	0.215891	0.228273	0.269632	0.202718	0.417687	0.193213	0.064317	0.215762	0.207324	0.573710	0.180280	0.232506	0.417524	0.261771	0.096010	0.357706	0.181939	0.349455	0.227970	0.295680	0.479469	0.375263	0.398353	0.221978	0.242828	0.378170	0.170704	0.168134	0.200783	0.159323	0.081248	0.484220	0.330917	0.236528	0.274081	0.430724	0.207196	0.225751	0.170851
