	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_01.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_02.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_03.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_04.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_05.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_06.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_07.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_08.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_09.c3d	160_P_T1_sh_R_D_A_10.c3d	160_P_T1_sh_R_D_A_10.c3d	160_P_T1_sh_R_D_A_10.c3d	160_P_T1_sh_R_D_A_10.c3d	160_P_T1_sh_R_D_A_10.c3d	160_P_T1_sh_R_D_A_10.c3d	160_P_T1_sh_R_D_A_10.c3d	160_P_T1_sh_R_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.539439	0.164358	0.116634	0.125177	0.319711	0.114790	0.233907	0.145812	0.466932	0.353409	0.176354	0.231935	0.374913	0.128851	0.349157	0.192864	0.400810	0.159831	0.200323	0.103339	0.859237	0.113273	0.238609	0.050184	0.275935	0.158000	0.302158	0.139301	0.425948	0.026741	0.155385	0.192619	0.220522	0.187290	0.116279	0.078074	0.334102	0.075784	0.228264	0.150784	0.257753	0.230698	0.213970	0.181796	0.226539	0.032068	0.278118	0.183238	0.210114	0.100390	0.114282	0.092692	0.259321	0.038175	0.090534	0.082162	0.450413	0.313069	0.067610	0.088973	0.421179	0.107227	0.313861	0.089115	0.235487	0.137837	0.112293	0.111447	0.247174	0.117278	0.388622	0.185364	0.763591	0.108951	0.219906	0.092724	0.429098	0.126434	0.267616	0.129633
2	0.518228	0.155979	0.120121	0.121540	0.321180	0.095398	0.241805	0.181881	0.436943	0.349472	0.172603	0.232811	0.390102	0.127800	0.345688	0.178735	0.420158	0.148720	0.196487	0.120621	0.838097	0.160542	0.239017	0.039139	0.450194	0.122818	0.332974	0.144340	0.348795	0.033897	0.217133	0.182513	0.293927	0.188991	0.107530	0.083788	0.307476	0.040590	0.249601	0.179770	0.297795	0.250002	0.212337	0.183510	0.228906	0.031695	0.246615	0.199169	0.208030	0.097424	0.115350	0.098057	0.261186	0.048287	0.093459	0.085383	0.409100	0.349136	0.078197	0.085637	0.411141	0.106481	0.310836	0.085214	0.220754	0.130732	0.130506	0.106571	0.247733	0.086361	0.376531	0.170055	0.704160	0.095801	0.234368	0.113858	0.412695	0.109468	0.277136	0.128808
3	0.511984	0.154546	0.178410	0.177984	0.305193	0.104614	0.242591	0.177443	0.406748	0.289012	0.192341	0.235507	0.415898	0.140835	0.347724	0.147168	0.418946	0.155394	0.256830	0.116196	0.691622	0.205869	0.191409	0.042141	0.457222	0.104364	0.328849	0.127186	0.172840	0.042674	0.378439	0.188383	0.301577	0.165362	0.133462	0.116616	0.293377	0.032330	0.251459	0.191954	0.348030	0.292520	0.224020	0.197869	0.246510	0.032106	0.253153	0.229234	0.198344	0.097674	0.122113	0.105428	0.261619	0.051386	0.089964	0.105795	0.296254	0.364094	0.089838	0.088439	0.403901	0.098759	0.306147	0.083475	0.189680	0.058299	0.140594	0.096943	0.234561	0.079558	0.333543	0.170377	0.609981	0.094515	0.244714	0.152847	0.439909	0.080402	0.299439	0.140664
4	0.466152	0.148275	0.194960	0.192421	0.311262	0.108687	0.209941	0.173007	0.415983	0.153497	0.217586	0.212066	0.433865	0.145511	0.344108	0.116398	0.416578	0.159469	0.261724	0.117172	0.626315	0.200637	0.190384	0.073730	0.450014	0.102601	0.262560	0.128925	0.161233	0.050581	0.412359	0.182265	0.313421	0.170038	0.184293	0.125627	0.197752	0.025926	0.246216	0.191549	0.355989	0.315352	0.233379	0.211822	0.255898	0.032553	0.244468	0.233294	0.172439	0.098544	0.143660	0.122414	0.253626	0.056658	0.121855	0.120521	0.162808	0.360588	0.144326	0.092428	0.325564	0.084779	0.301810	0.082058	0.183193	0.048932	0.132152	0.082195	0.213719	0.069388	0.305136	0.174216	0.320510	0.084598	0.273716	0.189001	0.460886	0.071590	0.276791	0.144203
5	0.465533	0.120318	0.213583	0.203691	0.296515	0.107812	0.207845	0.169019	0.421521	0.120020	0.221610	0.191087	0.397968	0.145695	0.302740	0.109257	0.418047	0.153212	0.298252	0.101193	0.411408	0.208961	0.173883	0.072563	0.463037	0.098552	0.264542	0.127557	0.159075	0.054959	0.406545	0.175914	0.327397	0.169069	0.184402	0.143495	0.197077	0.025321	0.258522	0.203590	0.353492	0.323038	0.229908	0.210125	0.266737	0.033772	0.221822	0.248847	0.171766	0.105561	0.160182	0.132101	0.245782	0.060981	0.183622	0.123917	0.168134	0.350756	0.159504	0.099431	0.286617	0.092477	0.314217	0.081554	0.228518	0.051825	0.152013	0.085039	0.194656	0.056755	0.320161	0.157920	0.305325	0.091994	0.225646	0.187196	0.462231	0.077541	0.259374	0.146211
6	0.468883	0.080266	0.264886	0.207945	0.292498	0.120924	0.201322	0.170001	0.416203	0.118232	0.214238	0.188847	0.399537	0.140600	0.245080	0.109199	0.453181	0.146064	0.275114	0.091620	0.411824	0.245958	0.175263	0.081020	0.572408	0.101496	0.241300	0.132902	0.156930	0.055927	0.408113	0.156085	0.327757	0.171310	0.190158	0.177912	0.201422	0.027591	0.260893	0.218973	0.338577	0.311125	0.222015	0.213620	0.267814	0.032699	0.214851	0.246581	0.201629	0.110701	0.162225	0.136448	0.189122	0.059419	0.203219	0.123847	0.182577	0.355015	0.206333	0.095744	0.246315	0.118665	0.311535	0.136875	0.288595	0.049315	0.172173	0.090683	0.156305	0.055418	0.346779	0.101314	0.288950	0.092383	0.280304	0.212453	0.454449	0.081319	0.277665	0.122944
