	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_01.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_02.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_03.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_04.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_05.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_06.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_07.c3d	170_P_T3_sh_L_D_A_08.c3d	170_P_T3_sh_L_D_A_08.c3d	170_P_T3_sh_L_D_A_08.c3d	170_P_T3_sh_L_D_A_08.c3d	170_P_T3_sh_L_D_A_08.c3d	170_P_T3_sh_L_D_A_08.c3d	170_P_T3_sh_L_D_A_08.c3d	170_P_T3_sh_L_D_A_08.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.384062	0.203295	0.301658	0.364590	0.533198	0.334563	0.324934	0.408869	0.080249	0.035601	0.214336	0.220584	0.173738	0.126232	0.235995	0.296299	0.330794	0.222248	0.205938	0.259796	0.755377	0.161123	0.297684	0.331839	0.225734	0.162791	0.259929	0.346769	0.564550	0.293610	0.426409	0.408330	0.247855	0.104038	0.330703	0.414599	0.442648	0.269120	0.238766	0.354616	0.225886	0.176726	0.555677	0.383114	0.286819	0.121475	0.254982	0.363028	0.207489	0.067853	0.287946	0.488966	0.397474	0.255402	0.357410	0.349539	0.242926	0.153435	0.192776	0.395628	0.478241	0.414388	0.233430	0.453678
2	0.383488	0.202321	0.314416	0.380223	0.569591	0.332992	0.338920	0.410469	0.079552	0.034135	0.215435	0.211425	0.158778	0.094070	0.227047	0.287555	0.326120	0.221203	0.193415	0.287324	0.761226	0.160925	0.301942	0.318792	0.206600	0.117320	0.270784	0.342132	0.620800	0.304809	0.425984	0.420676	0.231049	0.096973	0.359695	0.416996	0.459768	0.269306	0.237332	0.394582	0.206721	0.170553	0.557570	0.380605	0.310521	0.113722	0.252803	0.325786	0.209654	0.066342	0.289629	0.478090	0.315405	0.224921	0.365836	0.370554	0.244939	0.144429	0.186005	0.411609	0.516855	0.469497	0.228419	0.438408
3	0.381748	0.194956	0.320748	0.384638	0.619647	0.349510	0.347687	0.434736	0.079985	0.034082	0.219428	0.211012	0.176264	0.113762	0.222705	0.293831	0.312108	0.216166	0.177720	0.329922	0.754104	0.167189	0.325453	0.315452	0.203131	0.101815	0.350568	0.329374	0.645173	0.309010	0.444015	0.405131	0.234447	0.093963	0.370293	0.416286	0.482501	0.307396	0.236201	0.446652	0.226605	0.169020	0.556974	0.388081	0.312861	0.114553	0.238868	0.328416	0.206150	0.063599	0.284026	0.480031	0.278447	0.209628	0.419554	0.368333	0.248607	0.139755	0.192156	0.410856	0.547173	0.500664	0.225873	0.369763
4	0.382357	0.183110	0.325498	0.379894	0.670663	0.389473	0.322439	0.467088	0.072020	0.034933	0.217835	0.210961	0.182534	0.113820	0.225721	0.313237	0.262797	0.200986	0.177692	0.382261	0.745021	0.167292	0.327039	0.314771	0.208819	0.065611	0.375410	0.335867	0.613950	0.289450	0.469792	0.416020	0.240118	0.093270	0.355275	0.428726	0.419553	0.297122	0.222620	0.477238	0.227375	0.170911	0.558811	0.411727	0.318107	0.126820	0.246986	0.334654	0.162472	0.063891	0.245275	0.473884	0.242540	0.194836	0.422281	0.375330	0.229028	0.123544	0.193145	0.420662	0.579217	0.512102	0.225771	0.362192
5	0.375099	0.170961	0.323879	0.374959	0.679484	0.378940	0.285822	0.502509	0.077257	0.035510	0.211889	0.217104	0.178094	0.113922	0.235427	0.306791	0.217709	0.157696	0.176431	0.391289	0.711590	0.154248	0.355268	0.314078	0.223274	0.061149	0.368326	0.338978	0.569489	0.265010	0.469833	0.436224	0.237174	0.096031	0.373639	0.446276	0.377837	0.283984	0.182380	0.477980	0.227686	0.173069	0.562135	0.532335	0.320221	0.148622	0.252109	0.334827	0.123833	0.068455	0.247532	0.483899	0.236538	0.190277	0.378478	0.405819	0.195153	0.115087	0.200205	0.426749	0.589814	0.513502	0.226968	0.356338
6	0.370683	0.162917	0.327226	0.402688	0.692252	0.410096	0.283431	0.519359	0.115748	0.040193	0.197896	0.233356	0.171526	0.117006	0.271198	0.301135	0.243029	0.147194	0.173079	0.477500	0.658127	0.138971	0.409258	0.322168	0.229752	0.058805	0.371871	0.373607	0.549019	0.285193	0.447604	0.446538	0.227934	0.090697	0.376792	0.430935	0.381747	0.290931	0.177963	0.476642	0.246442	0.168994	0.558931	0.587675	0.337357	0.146296	0.247058	0.342663	0.114462	0.071323	0.242373	0.453145	0.235651	0.192140	0.335248	0.428048	0.225912	0.141428	0.239986	0.443331	0.589159	0.511678	0.163817	0.354461
7	0.301938	0.140265	0.329747	0.416372	0.755771	0.520791	0.317433	0.494604	0.132802	0.051022	0.221655	0.248180	0.168761	0.116493	0.296965	0.302727	0.280681	0.150626	0.169176	0.528771	0.650616	0.149269	0.478623	0.305922	0.221558	0.058282	0.370473	0.411983	0.540774	0.290481	0.403897	0.447522	0.227561	0.082332	0.374024	0.506902	0.345318	0.281856	0.194594	0.476716	0.255389	0.156940	0.519632	0.558732	0.338332	0.151039	0.240888	0.336364	0.116409	0.065129	0.250320	0.463829	0.234667	0.197561	0.328009	0.438639	0.265850	0.168394	0.278848	0.447148	0.584827	0.506836	0.168182	0.374690
8	0.193860	0.115886	0.330211	0.437670	0.768594	0.550832	0.349939	0.493123	0.143376	0.070726	0.228241	0.241332	0.171336	0.112044	0.308049	0.309274	0.297650	0.142178	0.191196	0.527807	0.633622	0.158902	0.506797	0.383968	0.215426	0.060663	0.374925	0.451862	0.540874	0.286511	0.386058	0.444183	0.217867	0.076187	0.390840	0.741790	0.306827	0.269075	0.218522	0.476157	0.253554	0.138769	0.468210	0.551627	0.354328	0.170975	0.240908	0.318820	0.115718	0.054885	0.254708	0.470104	0.240084	0.200219	0.308623	0.433583	0.282492	0.176171	0.288602	0.462274	0.584984	0.505357	0.193420	0.364815
9	0.193339	0.112832	0.303265	0.451520	0.750934	0.542587	0.349592	0.493632	0.145166	0.080484	0.223967	0.250958	0.169290	0.107286	0.303009	0.328504	0.314337	0.141170	0.221163	0.521962	0.566646	0.148312	0.511336	0.468480	0.201964	0.073765	0.403571	0.515812	0.535380	0.257421	0.383728	0.501750	0.212687	0.082286	0.413339	0.769035	0.278332	0.253840	0.217667	0.473240	0.252861	0.125701	0.449766	0.569364	0.365945	0.180111	0.241889	0.290414	0.111697	0.052469	0.237452	0.468533	0.279503	0.192704	0.321783	0.446962	0.287641	0.179309	0.274303	0.457129	0.581116	0.502780	0.223620	0.292573
10	0.167337	0.089074	0.275303	0.465882	0.740717	0.528952	0.318046	0.553571	0.156027	0.082831	0.214720	0.344703	0.157814	0.103054	0.306344	0.376663	0.349707	0.149208	0.228891	0.517741	0.511118	0.141049	0.505246	0.555953	0.195748	0.089294	0.449384	0.657781	0.602499	0.217229	0.520998	0.514214	0.216915	0.089315	0.438999	0.794929	0.267027	0.239992	0.207333	0.448302	0.253136	0.120795	0.443292	0.581069	0.367247	0.185284	0.235554	0.315043	0.119371	0.056300	0.240980	0.494137	0.299191	0.165377	0.374850	0.491158	0.292519	0.182236	0.273463	0.395652	0.557144	0.464399	0.228694	0.277766
11	0.198872	0.082746	0.297323	0.476205	0.740845	0.523426	0.319604	0.553549	0.168055	0.082835	0.205924	0.370419	0.153763	0.105253	0.308297	0.438833	0.352680	0.143843	0.230906	0.491431	0.529100	0.161719	0.546210	0.540347	0.198820	0.105186	0.499884	0.675886	0.630961	0.211854	0.645171	0.498785	0.208933	0.089419	0.455956	0.834665	0.265221	0.235150	0.216773	0.462076	0.254458	0.119031	0.396747	0.603008	0.371657	0.204090	0.209561	0.287737	0.182093	0.077317	0.251772	0.437277	0.288839	0.148130	0.404198	0.491477	0.294284	0.182920	0.296167	0.392868	0.501854	0.398999	0.226279	0.289222
12	0.254029	0.093915	0.319103	0.470601	0.709415	0.520651	0.324422	0.483326	0.183479	0.084938	0.226674	0.391041	0.222921	0.119659	0.373865	0.512916	0.355069	0.142969	0.232850	0.477051	0.604634	0.206370	0.639643	0.622767	0.202396	0.113086	0.522370	0.676196	0.627836	0.215179	0.668672	0.474910	0.209014	0.093399	0.458533	0.860107	0.265492	0.235610	0.243896	0.490758	0.240415	0.122296	0.341074	0.615093	0.363629	0.206166	0.209966	0.247683	0.196903	0.081870	0.254235	0.379972	0.276174	0.146934	0.405289	0.475850	0.310309	0.185837	0.316603	0.352459	0.501985	0.389070	0.210876	0.303972
13	0.289742	0.101340	0.313695	0.468360	0.682549	0.516115	0.324066	0.511777	0.214164	0.088918	0.306606	0.443993	0.304475	0.140198	0.460300	0.515627	0.345610	0.140545	0.256076	0.476075	0.692061	0.244668	0.692615	0.706338	0.219764	0.112679	0.527021	0.680312	0.628895	0.260887	0.677731	0.487043	0.199056	0.096678	0.505748	0.943113	0.266844	0.236242	0.244180	0.487769	0.229013	0.121222	0.290553	0.612187	0.373796	0.222397	0.222321	0.242552	0.199501	0.084849	0.230483	0.365590	0.262741	0.140780	0.409652	0.458666	0.316596	0.185892	0.326568	0.288877	0.442013	0.319000	0.206677	0.298369
