	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_01.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_02.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_03.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_04.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_05.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_06.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_07.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_08.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_09.c3d	174_P_T1_sh_L_ND_A_10.c3d	174_P_T1_sh_L_ND_A_10.c3d	174_P_T1_sh_L_ND_A_10.c3d	174_P_T1_sh_L_ND_A_10.c3d	174_P_T1_sh_L_ND_A_10.c3d	174_P_T1_sh_L_ND_A_10.c3d	174_P_T1_sh_L_ND_A_10.c3d	174_P_T1_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.235250	0.352536	0.088676	0.137259	0.561396	0.190744	0.084386	0.160824	0.312473	0.610081	0.083683	0.113246	0.591574	0.046997	0.136901	0.090233	0.318535	0.569181	0.048737	0.128780	0.579045	0.262460	0.090794	0.234577	0.149344	0.274227	0.170532	0.129195	0.512378	0.815331	0.090192	0.181611	0.210926	0.736597	0.473300	0.196450	0.409808	0.399304	0.086421	0.159762	0.214059	0.567102	0.097733	0.188156	0.306557	0.254409	0.114608	0.169775	0.168021	0.323913	0.172453	0.115224	0.328979	0.314183	0.079607	0.141076	0.624910	0.075775	0.152490	0.110464	0.704230	0.454155	0.054248	0.146026	0.178058	0.036123	0.089141	0.061599	0.244231	0.301767	0.098276	0.139298	0.166874	0.388991	0.104409	0.075990	0.150472	0.110316	0.112787	0.123817
2	0.191465	0.322119	0.100428	0.086659	0.553046	0.106482	0.091131	0.142361	0.338305	0.638421	0.174305	0.145503	0.482212	0.038980	0.132136	0.102805	0.313991	0.520831	0.048625	0.115266	0.574717	0.281476	0.090858	0.233449	0.117922	0.179221	0.155301	0.140301	0.487488	0.815798	0.089144	0.195472	0.215982	0.736995	0.409707	0.195976	0.413892	0.405206	0.093004	0.154058	0.142724	0.305838	0.091501	0.203214	0.328770	0.236790	0.120122	0.183015	0.152735	0.306449	0.175087	0.117833	0.329173	0.312607	0.079905	0.143700	0.732191	0.082515	0.155628	0.116031	0.687985	0.445243	0.054995	0.151391	0.164864	0.036276	0.093290	0.075439	0.242724	0.312477	0.102391	0.131216	0.167842	0.411749	0.104689	0.069514	0.124044	0.110123	0.115281	0.125174
3	0.157730	0.313018	0.097933	0.105199	0.553439	0.086475	0.095381	0.138864	0.430899	0.746725	0.244610	0.132263	0.237606	0.031901	0.131728	0.102287	0.229571	0.450512	0.039639	0.088158	0.571891	0.255254	0.088066	0.239202	0.114803	0.085552	0.140210	0.143617	0.423556	0.793761	0.094221	0.199962	0.216196	0.734373	0.376809	0.192106	0.416654	0.406736	0.094726	0.153907	0.099667	0.229490	0.099769	0.229849	0.336598	0.240948	0.140988	0.196627	0.144265	0.307458	0.170257	0.120329	0.328728	0.309378	0.077387	0.157617	0.924906	0.085223	0.162908	0.119106	0.654914	0.444717	0.061503	0.149914	0.149871	0.041936	0.091954	0.074999	0.236192	0.330840	0.100832	0.135763	0.164838	0.415739	0.106795	0.089091	0.174353	0.089720	0.118074	0.146954
4	0.199172	0.318173	0.112547	0.181212	0.582173	0.086290	0.135166	0.137205	0.446346	0.862590	0.268943	0.139132	0.082044	0.032097	0.134298	0.117074	0.173740	0.360943	0.045050	0.067464	0.549643	0.257045	0.091728	0.227761	0.076797	0.090685	0.127024	0.161071	0.363752	0.716231	0.089377	0.202019	0.203095	0.650337	0.386846	0.192136	0.426094	0.407017	0.108916	0.151715	0.094777	0.184464	0.115609	0.278969	0.319896	0.224198	0.158801	0.191767	0.139499	0.330389	0.153685	0.120914	0.322944	0.268546	0.061621	0.162119	0.976130	0.086742	0.149082	0.120755	0.608447	0.444887	0.068091	0.149838	0.116963	0.046250	0.085564	0.074363	0.229480	0.338746	0.075771	0.152740	0.122153	0.372405	0.114746	0.100070	0.201390	0.083396	0.127586	0.156957
5	0.176739	0.238174	0.100417	0.194765	0.614695	0.080877	0.142382	0.169639	0.410710	0.681178	0.268213	0.167694	0.088366	0.034219	0.121234	0.120156	0.155022	0.316376	0.052632	0.100205	0.496323	0.252219	0.100724	0.231457	0.081794	0.056472	0.083685	0.169735	0.271238	0.480383	0.068754	0.165695	0.196438	0.453213	0.390571	0.187663	0.445693	0.406343	0.117745	0.149876	0.096072	0.173101	0.138999	0.252771	0.310287	0.223814	0.159346	0.194733	0.137125	0.329389	0.140922	0.124076	0.304268	0.254752	0.055510	0.148843	0.989655	0.086984	0.112569	0.156342	0.567901	0.461613	0.071030	0.151776	0.101756	0.055971	0.088470	0.076719	0.226580	0.337391	0.064070	0.155118	0.126049	0.367229	0.116742	0.116485	0.204105	0.081792	0.142756	0.159240
6	0.164530	0.230877	0.101743	0.204963	0.499471	0.074215	0.181534	0.169199	0.385051	0.639877	0.271862	0.165969	0.096114	0.037302	0.115000	0.119848	0.151760	0.309466	0.067646	0.109235	0.432004	0.249915	0.102246	0.214117	0.076964	0.053170	0.105687	0.171535	0.167654	0.443433	0.068180	0.180881	0.174948	0.426441	0.330243	0.183092	0.437541	0.381787	0.120542	0.150736	0.104235	0.193882	0.139436	0.238627	0.310099	0.224202	0.156414	0.199862	0.142945	0.329898	0.144755	0.126880	0.260942	0.251576	0.066215	0.153888	1.006884	0.087769	0.104318	0.199655	0.561636	0.450179	0.072110	0.142871	0.092485	0.063091	0.133155	0.079452	0.225461	0.318781	0.063253	0.154110	0.130730	0.364111	0.117261	0.119606	0.198764	0.080553	0.142523	0.162124
