	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_02.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_03.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_04.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_05.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_07.c3d	199_P_T3_sh_R_D_A_08.c3d	199_P_T3_sh_R_D_A_08.c3d	199_P_T3_sh_R_D_A_08.c3d	199_P_T3_sh_R_D_A_08.c3d	199_P_T3_sh_R_D_A_08.c3d	199_P_T3_sh_R_D_A_08.c3d	199_P_T3_sh_R_D_A_08.c3d	199_P_T3_sh_R_D_A_08.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.124808	0.148481	0.189271	0.288340	0.077846	0.415290	0.179203	0.402762	0.318819	0.260938	0.164043	0.208326	0.139112	0.620303	0.143237	0.343679	0.437059	0.087223	0.083210	0.233112	0.083428	0.270384	0.201751	0.315939	0.274601	0.349690	0.234668	0.265048	0.075481	0.071661	0.151813	0.194616	0.271293	0.085240	0.160017	0.108182	0.053422	0.182412	0.176427	0.274520	0.152865	0.150751	0.117991	0.203552	0.160461	0.248315	0.053876	0.160220
2	0.093232	0.193103	0.160644	0.286694	0.078206	0.445230	0.160478	0.390095	0.318803	0.298610	0.162751	0.208627	0.144964	0.618437	0.147865	0.340289	0.417340	0.090249	0.075594	0.187964	0.084097	0.256647	0.212729	0.320847	0.231177	0.352625	0.255732	0.268863	0.073180	0.073281	0.137902	0.171760	0.232405	0.063997	0.145612	0.121471	0.071255	0.206234	0.175323	0.265023	0.147354	0.158438	0.118600	0.194390	0.128096	0.248067	0.050968	0.141829
3	0.073875	0.192002	0.150668	0.289223	0.078131	0.663089	0.122000	0.332086	0.318639	0.377715	0.154646	0.216433	0.156720	0.572560	0.154899	0.349409	0.398286	0.092696	0.067103	0.158713	0.082998	0.245169	0.214704	0.354560	0.187930	0.346828	0.291167	0.275707	0.068739	0.077728	0.119308	0.169862	0.212483	0.061509	0.119739	0.116248	0.080893	0.217885	0.166445	0.247757	0.143481	0.185235	0.120425	0.192430	0.105129	0.251391	0.050421	0.103071
4	0.071046	0.186996	0.148880	0.315500	0.078244	0.770178	0.123492	0.305796	0.321561	0.423373	0.157236	0.215291	0.197776	0.547337	0.278869	0.366920	0.370707	0.092344	0.053479	0.185111	0.081084	0.231501	0.208817	0.371708	0.065921	0.333984	0.293541	0.294049	0.063657	0.080687	0.098282	0.187337	0.176837	0.066988	0.117218	0.127183	0.081874	0.217619	0.148784	0.226109	0.110147	0.201351	0.119210	0.197785	0.100672	0.256923	0.039500	0.072858
5	0.064467	0.185406	0.130506	0.336437	0.081046	0.774687	0.138942	0.304509	0.324602	0.470924	0.146357	0.205611	0.261431	0.457288	0.325165	0.370674	0.363281	0.081035	0.048277	0.161453	0.080461	0.229509	0.205081	0.390456	0.057331	0.333841	0.294092	0.298383	0.055530	0.081184	0.088458	0.212432	0.109959	0.067208	0.131380	0.138849	0.079148	0.225836	0.140127	0.223918	0.081927	0.200797	0.117315	0.196539	0.077098	0.269006	0.028223	0.071222
6	0.051992	0.179156	0.121583	0.274440	0.080134	0.792695	0.154271	0.301973	0.318721	0.618354	0.137126	0.264089	0.354477	0.243293	0.323777	0.402234	0.340440	0.062667	0.048877	0.156547	0.080424	0.208464	0.226632	0.400986	0.067146	0.248280	0.298756	0.300964	0.048902	0.191279	0.088244	0.223382	0.067882	0.067338	0.157037	0.189838	0.077908	0.241169	0.149482	0.209199	0.074440	0.211385	0.148027	0.202561	0.070586	0.236449	0.099809	0.120152
7	0.049543	0.168460	0.128523	0.234962	0.068938	0.807943	0.155940	0.300091	0.324501	0.664329	0.137101	0.296339	0.446747	0.149859	0.334208	0.419573	0.324722	0.061289	0.048259	0.272578	0.079227	0.157836	0.233807	0.398720	0.067536	0.162250	0.233554	0.247201	0.047117	0.294411	0.100076	0.196068	0.067663	0.068865	0.164575	0.187576	0.078582	0.248353	0.180036	0.182355	0.074703	0.221020	0.142215	0.205316	0.047766	0.219337	0.183812	0.139943
