	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_01.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_02.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_03.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_04.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_05.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_06.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_07.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_09.c3d	101_F_P_sh_L_ND_A_10.c3d	101_F_P_sh_L_ND_A_10.c3d	101_F_P_sh_L_ND_A_10.c3d	101_F_P_sh_L_ND_A_10.c3d	101_F_P_sh_L_ND_A_10.c3d	101_F_P_sh_L_ND_A_10.c3d	101_F_P_sh_L_ND_A_10.c3d	101_F_P_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.197991	0.191054	0.281929	0.147346	0.295533	0.209615	0.191964	0.205823	0.201453	0.230441	0.324698	0.352211	0.406895	0.226720	0.206850	0.183149	0.195174	0.170443	0.715630	0.537096	0.173869	0.230462	0.209353	0.180005	0.126392	0.162255	0.440770	0.187999	0.159214	0.134950	0.241335	0.269614	0.064268	0.075489	0.573428	0.270595	0.304652	0.276144	0.341727	0.380538	0.099726	0.103948	0.315712	0.144709	0.163042	0.088188	0.240040	0.216614	0.234535	0.362533	0.857382	0.874107	0.239458	0.125970	0.054395	0.028063	0.126642	0.109381	0.450269	0.235915	0.204948	0.128878	0.288804	0.306230	0.272347	0.105175	0.337382	0.267637	0.180891	0.289111	0.257514	0.201138
2	0.199945	0.191669	0.341226	0.152856	0.283035	0.219907	0.217205	0.198700	0.206028	0.230229	0.353646	0.380956	0.411703	0.225895	0.197202	0.183376	0.216922	0.165884	0.690667	0.530081	0.184392	0.227826	0.202911	0.172781	0.212185	0.189674	0.410389	0.185785	0.151786	0.133229	0.238211	0.253466	0.063208	0.078107	0.583159	0.280159	0.308148	0.265768	0.325147	0.372059	0.115577	0.104045	0.319279	0.141548	0.162817	0.086340	0.234084	0.184675	0.242961	0.362629	0.830029	0.861140	0.231918	0.125587	0.055528	0.027721	0.132606	0.108952	0.431665	0.228205	0.184808	0.129794	0.304039	0.325328	0.254274	0.105871	0.397647	0.379947	0.182306	0.289815	0.272315	0.212006
3	0.197729	0.190514	0.387837	0.163204	0.271476	0.222384	0.229460	0.192072	0.209926	0.230175	0.388576	0.425839	0.413098	0.227042	0.193419	0.193419	0.237642	0.164459	0.673270	0.522069	0.190321	0.197893	0.197461	0.161311	0.266963	0.208441	0.407536	0.185948	0.159259	0.127103	0.241516	0.250528	0.064642	0.083327	0.588850	0.296105	0.308525	0.271826	0.319005	0.368672	0.122044	0.104520	0.371905	0.153020	0.161504	0.080548	0.230043	0.149775	0.243564	0.366117	0.773284	0.821313	0.216444	0.127356	0.055575	0.028158	0.120343	0.106818	0.429132	0.223351	0.144117	0.131681	0.331647	0.345457	0.255463	0.122234	0.513757	0.537733	0.178036	0.287262	0.280042	0.214954
4	0.189379	0.184364	0.416531	0.198502	0.232261	0.215872	0.230404	0.190122	0.210579	0.230475	0.424373	0.479554	0.402456	0.225857	0.191293	0.199161	0.244351	0.163516	0.678582	0.526238	0.191637	0.196745	0.189506	0.150547	0.271624	0.215255	0.427813	0.205145	0.165533	0.131682	0.226202	0.251601	0.067144	0.097309	0.587923	0.307085	0.298641	0.269529	0.318587	0.368204	0.121788	0.110364	0.492118	0.194410	0.162428	0.076583	0.228664	0.137994	0.247753	0.375237	0.747575	0.779387	0.205932	0.147930	0.054483	0.027980	0.114256	0.104731	0.438038	0.228075	0.123411	0.133921	0.362168	0.357959	0.262062	0.173215	0.637369	0.765657	0.176308	0.262647	0.278397	0.211947
5	0.186035	0.181620	0.417157	0.232317	0.235648	0.210225	0.236503	0.190299	0.216942	0.231543	0.458429	0.527133	0.378103	0.226701	0.185797	0.197535	0.246012	0.161890	0.701600	0.535294	0.200003	0.187172	0.182740	0.146792	0.271646	0.213248	0.450852	0.233556	0.168433	0.139113	0.195636	0.226696	0.070668	0.147010	0.570036	0.303580	0.290407	0.262892	0.316991	0.366752	0.124544	0.114895	0.558095	0.246230	0.162397	0.074419	0.230393	0.148933	0.260048	0.379654	0.742909	0.756104	0.205393	0.166515	0.047315	0.028458	0.112292	0.103898	0.444787	0.234426	0.120959	0.133475	0.373610	0.354615	0.222883	0.177674	0.729123	0.957562	0.180392	0.223905	0.280171	0.221090
6	0.183709	0.180987	0.417235	0.240505	0.235282	0.204362	0.248464	0.189947	0.237451	0.227037	0.487081	0.558040	0.391553	0.226704	0.191404	0.197836	0.265374	0.153919	0.740185	0.554591	0.203577	0.172967	0.174650	0.146917	0.269534	0.212231	0.458231	0.258891	0.164429	0.145708	0.178246	0.181010	0.096212	0.170686	0.547923	0.288482	0.290642	0.257971	0.308871	0.352749	0.133248	0.110621	0.576659	0.266881	0.157229	0.071364	0.240101	0.165467	0.285547	0.381609	0.757554	0.760091	0.223407	0.167243	0.041957	0.029771	0.114820	0.096689	0.446682	0.227907	0.128994	0.146615	0.376994	0.356663	0.207768	0.177976	0.757560	1.034385	0.214633	0.222792	0.287555	0.238508
