	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_02.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_03.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_04.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_05.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_08.c3d	103_F_P_sh_L_ND_A_10.c3d	103_F_P_sh_L_ND_A_10.c3d	103_F_P_sh_L_ND_A_10.c3d	103_F_P_sh_L_ND_A_10.c3d	103_F_P_sh_L_ND_A_10.c3d	103_F_P_sh_L_ND_A_10.c3d	103_F_P_sh_L_ND_A_10.c3d	103_F_P_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.653526	0.295369	0.297630	0.195854	0.287158	0.164905	0.581071	0.281036	0.443587	0.208210	0.372191	0.253573	0.188287	0.144719	0.491038	0.109790	0.584544	0.924695	0.412836	0.143198	0.289650	0.058570	0.181879	0.128587	0.444619	0.459852	0.491100	0.221872	0.286853	0.490941	0.255760	0.071756	0.525878	0.318146	0.330068	0.114450	0.306671	0.246195	0.233763	0.043424	0.598909	0.476031	0.419864	0.171037	0.255967	0.260132	0.231765	0.054889
2	0.647745	0.317368	0.297442	0.195226	0.307061	0.184914	0.581621	0.236173	0.439054	0.176108	0.381869	0.235948	0.256335	0.164810	0.529222	0.141770	0.585792	0.923342	0.377453	0.134318	0.318221	0.062317	0.169658	0.161080	0.439274	0.470201	0.497593	0.152148	0.234614	0.454974	0.285485	0.116681	0.525386	0.317863	0.330340	0.104791	0.207256	0.259908	0.201776	0.042000	0.616751	0.487113	0.410224	0.198082	0.252776	0.247472	0.213129	0.068408
3	0.622642	0.332846	0.294498	0.185965	0.340406	0.201929	0.558855	0.178147	0.430505	0.154266	0.401395	0.210225	0.265793	0.176319	0.546397	0.157909	0.584594	0.921997	0.349812	0.130467	0.344840	0.061914	0.164900	0.202194	0.437849	0.459723	0.497138	0.144901	0.272789	0.406486	0.285079	0.190805	0.523615	0.303543	0.329014	0.094977	0.292941	0.250759	0.197762	0.050166	0.648983	0.482030	0.405042	0.230846	0.261780	0.229537	0.207604	0.078497
4	0.598372	0.331948	0.295328	0.180246	0.341205	0.209030	0.526894	0.127352	0.395003	0.129842	0.408217	0.212216	0.263120	0.179357	0.548413	0.164302	0.584158	0.919290	0.338001	0.128237	0.347354	0.058826	0.159047	0.239846	0.465382	0.436106	0.498547	0.150023	0.260708	0.325415	0.283785	0.212251	0.510363	0.276458	0.324098	0.092798	0.326366	0.243279	0.314651	0.068208	0.561474	0.415594	0.506615	0.257581	0.270148	0.226036	0.205595	0.081269
5	0.597271	0.312734	0.284164	0.174442	0.342231	0.208737	0.485924	0.092458	0.330061	0.112418	0.408940	0.218578	0.259926	0.179707	0.547491	0.163851	0.559231	0.884874	0.336365	0.128045	0.402334	0.074215	0.158991	0.260583	0.490519	0.394685	0.516304	0.166308	0.301022	0.286473	0.285821	0.215618	0.476343	0.277575	0.320381	0.094402	0.385535	0.217236	0.408868	0.079098	0.486353	0.352033	0.551915	0.262648	0.269960	0.209106	0.226612	0.080844
6	0.559654	0.279078	0.275884	0.167782	0.341854	0.200839	0.473673	0.092761	0.348382	0.110657	0.404475	0.221819	0.248405	0.178478	0.546673	0.175032	0.506426	0.816014	0.339996	0.131267	0.432412	0.086522	0.224862	0.276837	0.503180	0.356305	0.536977	0.194095	0.336138	0.240934	0.282583	0.217229	0.426134	0.299218	0.316248	0.099487	0.524097	0.186422	0.490855	0.100202	0.470397	0.318848	0.530544	0.264505	0.268812	0.198458	0.238732	0.080618
7	0.387026	0.259813	0.276130	0.159504	0.340631	0.186745	0.473249	0.116069	0.363226	0.105250	0.384605	0.206981	0.242703	0.177202	0.538602	0.189272	0.489907	0.730217	0.341127	0.164056	0.454971	0.087778	0.296326	0.281445	0.487995	0.342157	0.549810	0.221244	0.335317	0.208426	0.294748	0.240387	0.404000	0.328547	0.264683	0.100206	0.526994	0.184817	0.614922	0.177108	0.484917	0.319765	0.521348	0.288516	0.263993	0.196378	0.247022	0.080036
