	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_01.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_02.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_03.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_05.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_07.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_08.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_09.c3d	108_F_P_sh_L_ND_A_10.c3d	108_F_P_sh_L_ND_A_10.c3d	108_F_P_sh_L_ND_A_10.c3d	108_F_P_sh_L_ND_A_10.c3d	108_F_P_sh_L_ND_A_10.c3d	108_F_P_sh_L_ND_A_10.c3d	108_F_P_sh_L_ND_A_10.c3d	108_F_P_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.332440	0.246348	0.534169	0.800806	0.318488	0.379213	0.396157	0.276679	0.199244	0.263766	0.357582	0.168557	0.203220	0.184824	0.251780	0.158751	0.364478	0.507663	0.694180	0.227322	0.965739	0.427888	0.294933	0.109923	0.200860	0.368985	0.404701	0.207448	0.266670	0.279860	0.258245	0.069788	0.288994	0.336407	0.378442	0.082539	0.303692	0.271793	0.524628	0.194501	0.226970	0.512337	0.412537	0.162156	0.350816	0.366480	0.445096	0.120987	0.180289	0.266529	0.481178	0.447119	0.527295	0.460082	0.342319	0.132931	0.243515	0.353332	0.442906	0.178974	0.608570	0.341940	0.321677	0.214474
2	0.333338	0.207205	0.534812	0.803278	0.321100	0.376472	0.406373	0.280121	0.201929	0.263964	0.339960	0.171574	0.164738	0.179540	0.254270	0.161306	0.368271	0.445439	0.695311	0.222140	1.024197	0.568267	0.280170	0.107347	0.197886	0.364026	0.382501	0.203665	0.276311	0.274718	0.234970	0.047544	0.286930	0.338953	0.374666	0.083021	0.304587	0.279922	0.469892	0.192674	0.208811	0.481891	0.398702	0.160915	0.352235	0.324132	0.415576	0.113698	0.192557	0.270353	0.508320	0.459249	0.520019	0.470477	0.337348	0.139518	0.256460	0.375426	0.510711	0.190059	0.595561	0.327395	0.358243	0.213539
3	0.299342	0.174194	0.536285	0.803068	0.337658	0.355424	0.404860	0.281408	0.199218	0.266958	0.343136	0.175095	0.176176	0.167523	0.270072	0.171691	0.329429	0.433918	0.691108	0.225047	1.159660	0.604306	0.255210	0.106556	0.206729	0.382406	0.339791	0.192284	0.279980	0.272642	0.210435	0.050680	0.282971	0.332485	0.366876	0.079041	0.304824	0.316232	0.456651	0.198260	0.243791	0.466419	0.398769	0.157903	0.353480	0.265303	0.288537	0.104984	0.241481	0.293296	0.504309	0.460872	0.526226	0.486226	0.348713	0.161391	0.265879	0.374261	0.530907	0.194739	0.597173	0.327824	0.401066	0.259416
4	0.268303	0.211002	0.546944	0.803139	0.275695	0.306936	0.389027	0.279613	0.214923	0.253910	0.361712	0.181075	0.171409	0.166973	0.327982	0.200440	0.345762	0.435402	0.688815	0.232205	1.213237	0.647933	0.246084	0.091973	0.219628	0.389261	0.327751	0.184942	0.275464	0.255939	0.213549	0.073044	0.277399	0.346476	0.354260	0.079192	0.309180	0.351278	0.464673	0.199871	0.273848	0.466108	0.392908	0.150748	0.349210	0.282206	0.239467	0.112339	0.249770	0.291556	0.495392	0.460972	0.468566	0.475641	0.388358	0.187552	0.291352	0.369931	0.548610	0.200430	0.598847	0.326510	0.423439	0.305774
5	0.251245	0.213996	0.521759	0.760897	0.264419	0.290772	0.390438	0.273647	0.220430	0.216267	0.394022	0.184933	0.171269	0.168634	0.392105	0.261766	0.388533	0.404906	0.687695	0.242843	1.207050	0.644696	0.214989	0.064137	0.219389	0.395493	0.307279	0.201942	0.265314	0.247511	0.234606	0.082616	0.307178	0.326192	0.330147	0.079382	0.305351	0.375266	0.433437	0.187829	0.258658	0.445977	0.401348	0.151601	0.334688	0.292607	0.229344	0.130320	0.252547	0.293510	0.475428	0.454451	0.456921	0.441054	0.417469	0.196638	0.302959	0.368143	0.590193	0.214302	0.602172	0.321615	0.439459	0.324912
6	0.258337	0.218927	0.455104	0.667813	0.267507	0.296313	0.406924	0.268091	0.203469	0.216739	0.368520	0.185813	0.174386	0.165437	0.430004	0.281859	0.375192	0.406082	0.673007	0.259884	1.176159	0.649589	0.162980	0.057848	0.198818	0.402977	0.268355	0.198995	0.267519	0.250049	0.248011	0.088870	0.311539	0.315973	0.300163	0.078366	0.253814	0.384910	0.387787	0.169357	0.257822	0.469234	0.418159	0.146199	0.352064	0.275119	0.249125	0.143846	0.248561	0.291589	0.460025	0.412287	0.453428	0.378693	0.392673	0.193918	0.315905	0.366846	0.598130	0.223238	0.580042	0.310305	0.447060	0.323561
7	0.268790	0.235723	0.413442	0.601237	0.270639	0.295362	0.423463	0.243309	0.202898	0.234852	0.334974	0.196380	0.184831	0.153092	0.440783	0.281556	0.364830	0.358173	0.617840	0.265707	1.167775	0.686351	0.238128	0.084558	0.185160	0.399071	0.282057	0.205684	0.272916	0.249380	0.242268	0.092637	0.321434	0.327039	0.325940	0.081811	0.151023	0.393933	0.312604	0.128598	0.307767	0.467305	0.404860	0.138678	0.408964	0.260248	0.239826	0.140555	0.251917	0.288862	0.494776	0.362092	0.445383	0.343155	0.365535	0.187856	0.337250	0.364914	0.584083	0.221752	0.577185	0.269815	0.451316	0.308070
8	0.284265	0.258624	0.397295	0.571838	0.278025	0.283807	0.391305	0.218294	0.240064	0.210966	0.364421	0.200842	0.201913	0.146827	0.452007	0.279325	0.359120	0.337099	0.550870	0.265827	1.028048	0.684287	0.271659	0.102185	0.184418	0.399904	0.349643	0.211541	0.272481	0.266724	0.241510	0.092575	0.326339	0.308566	0.333686	0.079459	0.137264	0.387123	0.299928	0.094128	0.318601	0.479222	0.401248	0.134055	0.407036	0.227637	0.236424	0.144302	0.256510	0.278742	0.513020	0.352218	0.408978	0.360285	0.386260	0.172651	0.337505	0.361369	0.575122	0.232655	0.563068	0.256982	0.424620	0.297448
9	0.317262	0.269956	0.381644	0.563629	0.291383	0.267721	0.364637	0.213708	0.276342	0.209397	0.410444	0.200532	0.220153	0.149068	0.455536	0.284794	0.377549	0.329086	0.471545	0.265741	0.992834	0.664412	0.283149	0.108634	0.185182	0.402974	0.415598	0.251118	0.301029	0.278471	0.230912	0.094074	0.325535	0.300865	0.334094	0.071638	0.141646	0.354121	0.298621	0.096719	0.318992	0.473177	0.406111	0.135935	0.407722	0.208538	0.261560	0.149604	0.259066	0.276631	0.514518	0.360031	0.431789	0.342372	0.411972	0.169021	0.331277	0.365345	0.600812	0.291459	0.530497	0.267100	0.398125	0.309373
10	0.325894	0.286638	0.393990	0.566086	0.299082	0.257003	0.357685	0.215295	0.309671	0.217103	0.428371	0.187646	0.220229	0.220922	0.476551	0.303030	0.373191	0.316813	0.467739	0.254853	0.992621	0.749534	0.285111	0.107386	0.187343	0.398926	0.424002	0.294964	0.291776	0.280806	0.248181	0.107285	0.333406	0.298313	0.354664	0.067530	0.166003	0.340162	0.293513	0.103553	0.305169	0.476024	0.427000	0.148363	0.341555	0.218878	0.316247	0.151243	0.258822	0.282117	0.502157	0.357353	0.432619	0.333717	0.407554	0.171391	0.325145	0.364814	0.607726	0.326599	0.489402	0.277264	0.397185	0.320781
11	0.331756	0.289855	0.384603	0.559431	0.299678	0.271489	0.356360	0.207322	0.303922	0.206115	0.458277	0.168762	0.236686	0.241777	0.521029	0.319479	0.390463	0.282728	0.351787	0.228868	0.992927	0.772310	0.313523	0.108735	0.188671	0.420376	0.417229	0.299271	0.290257	0.320689	0.294775	0.127510	0.328428	0.296065	0.388614	0.062510	0.184011	0.386803	0.321943	0.105798	0.303810	0.464047	0.529737	0.166201	0.332602	0.252829	0.331167	0.151235	0.256284	0.274971	0.488110	0.311639	0.436937	0.318626	0.431235	0.195773	0.290859	0.352737	0.607653	0.343641	0.485501	0.256446	0.385204	0.323195
12	0.332782	0.297335	0.362208	0.504813	0.309663	0.273852	0.341657	0.176383	0.307940	0.205472	0.475259	0.160928	0.223977	0.280079	0.517204	0.321573	0.374665	0.261743	0.299065	0.201633	0.991923	0.759973	0.340590	0.108754	0.200538	0.369810	0.434088	0.295895	0.307724	0.349336	0.314486	0.127332	0.324928	0.294330	0.386160	0.077799	0.229154	0.417930	0.308777	0.115921	0.297815	0.337657	0.577652	0.196952	0.340331	0.288101	0.375995	0.151726	0.259226	0.268904	0.435921	0.251852	0.421221	0.312148	0.492156	0.296570	0.291327	0.318462	0.609116	0.349572	0.356211	0.263469	0.362313	0.322875
13	0.325268	0.304378	0.326765	0.407880	0.267300	0.293796	0.340654	0.144231	0.354218	0.234065	0.489850	0.160572	0.260751	0.298469	0.517782	0.318709	0.371202	0.251610	0.244025	0.180223	0.950917	0.739428	0.345740	0.109313	0.197530	0.341010	0.468629	0.300083	0.297223	0.375538	0.346290	0.127590	0.344109	0.318230	0.401041	0.102874	0.249316	0.421359	0.299932	0.103284	0.307453	0.304504	0.563338	0.210583	0.330114	0.426432	0.402810	0.149228	0.286613	0.254116	0.350940	0.228330	0.422120	0.302219	0.547198	0.408799	0.290667	0.275102	0.595090	0.373334	0.252349	0.214601	0.363082	0.322828
