	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_01.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_02.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_03.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_04.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_06.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_07.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_08.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_09.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_10.c3d	110_F_P_sh_R_D_A_11.c3d	110_F_P_sh_R_D_A_11.c3d	110_F_P_sh_R_D_A_11.c3d	110_F_P_sh_R_D_A_11.c3d	110_F_P_sh_R_D_A_11.c3d	110_F_P_sh_R_D_A_11.c3d	110_F_P_sh_R_D_A_11.c3d	110_F_P_sh_R_D_A_11.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.417656	0.217938	0.075800	0.066741	0.747284	0.121526	0.106290	0.190736	0.634656	0.532551	0.267594	0.139694	0.483855	0.130917	0.370677	0.144196	0.479577	0.319156	0.113608	0.120838	0.509391	0.335677	0.278942	0.168254	0.575388	0.261423	0.186824	0.067928	0.348740	0.113095	0.121048	0.110667	0.396062	0.528473	0.183974	0.121621	0.086830	0.106517	0.216732	0.169114	0.364462	0.343823	0.128051	0.122293	0.735425	0.137677	0.263917	0.220983	0.156928	0.070647	0.138119	0.144395	0.407157	0.163111	0.165170	0.099957	0.375558	0.263317	0.053488	0.081357	0.549263	0.055732	0.168183	0.091842	0.387475	0.100431	0.356537	0.256352	0.589320	0.165114	0.155126	0.129838	0.064491	0.104388	0.260849	0.157732	0.302426	0.075418	0.220402	0.159369
2	0.417909	0.229491	0.088331	0.069748	0.748362	0.093086	0.121030	0.152645	0.636319	0.559095	0.266304	0.152983	0.418013	0.150097	0.365293	0.117290	0.458098	0.165435	0.113610	0.144123	0.512615	0.269327	0.278873	0.173754	0.503588	0.239802	0.178182	0.066377	0.345437	0.120443	0.128380	0.106388	0.391907	0.530376	0.179100	0.118562	0.089504	0.112526	0.214254	0.167159	0.364006	0.269546	0.140596	0.151359	0.706237	0.119394	0.265504	0.218951	0.153761	0.072891	0.130454	0.165028	0.400624	0.149566	0.172189	0.129758	0.399786	0.293835	0.053888	0.071189	0.536230	0.053656	0.160221	0.087779	0.375831	0.099738	0.360041	0.259206	0.602132	0.165127	0.147439	0.164412	0.068522	0.112670	0.255458	0.144510	0.302305	0.068016	0.226054	0.126269
3	0.420511	0.253078	0.088975	0.081666	0.748539	0.079820	0.128914	0.126715	0.641131	0.569267	0.259368	0.152222	0.376994	0.177832	0.385549	0.078319	0.219131	0.166911	0.104822	0.247009	0.419246	0.218052	0.273803	0.167588	0.416994	0.213115	0.147288	0.225759	0.337998	0.123354	0.151092	0.097880	0.365072	0.530804	0.141173	0.110389	0.093200	0.111221	0.204721	0.167058	0.355513	0.253997	0.153007	0.166242	0.694816	0.107882	0.267038	0.219047	0.151078	0.077250	0.169199	0.165127	0.386741	0.120641	0.174189	0.138253	0.461294	0.292733	0.055201	0.101636	0.530140	0.053748	0.158546	0.084537	0.362141	0.099139	0.374202	0.263262	0.601473	0.163091	0.167724	0.179684	0.070466	0.124551	0.230814	0.141792	0.301583	0.058039	0.216320	0.163671
4	0.424521	0.262675	0.088490	0.083294	0.750144	0.081056	0.128785	0.125310	0.619215	0.548967	0.290434	0.144066	0.155385	0.184270	0.329311	0.062175	0.217287	0.186994	0.089377	0.304327	0.396756	0.197531	0.271703	0.162083	0.403243	0.216631	0.110662	0.367772	0.336164	0.131646	0.165500	0.093996	0.337617	0.530778	0.127648	0.146779	0.093590	0.109864	0.202737	0.165011	0.323732	0.209314	0.154168	0.168341	0.690293	0.094953	0.262735	0.218074	0.137206	0.073286	0.183262	0.169773	0.281605	0.122830	0.219283	0.138263	0.515128	0.297804	0.076638	0.145134	0.528736	0.053839	0.152108	0.070409	0.307562	0.104912	0.381513	0.263202	0.601112	0.162055	0.213260	0.181275	0.071032	0.130767	0.188521	0.146670	0.301645	0.058916	0.244250	0.168887
5	0.374910	0.272113	0.093756	0.083012	0.748879	0.080838	0.124336	0.108015	0.554915	0.500673	0.253747	0.136233	0.161702	0.237263	0.345206	0.040564	0.213783	0.231553	0.104126	0.309603	0.392131	0.177612	0.271708	0.152114	0.394806	0.220384	0.146786	0.389611	0.336100	0.131075	0.167802	0.095933	0.226398	0.530325	0.126293	0.168525	0.091346	0.108868	0.203110	0.151950	0.331898	0.198343	0.180304	0.182254	0.667567	0.090529	0.255346	0.217703	0.119459	0.065949	0.187687	0.185862	0.214829	0.134305	0.314806	0.139029	0.520304	0.340451	0.099026	0.162606	0.521765	0.053315	0.147527	0.046663	0.212189	0.141543	0.379692	0.261578	0.600042	0.160715	0.219262	0.180704	0.068415	0.122231	0.177829	0.188489	0.282364	0.059966	0.246927	0.166962
6	0.343397	0.277680	0.139717	0.083925	0.740696	0.081152	0.123804	0.076392	0.536463	0.493469	0.238970	0.136084	0.124335	0.271094	0.346040	0.041478	0.196499	0.317613	0.146790	0.306518	0.370815	0.159056	0.261109	0.145815	0.259094	0.224562	0.235175	0.396765	0.334785	0.143065	0.164639	0.092086	0.201899	0.524316	0.141560	0.177422	0.079587	0.102104	0.204445	0.138479	0.376149	0.169998	0.206629	0.189997	0.667746	0.090188	0.254034	0.216147	0.117201	0.065368	0.191731	0.216419	0.208616	0.133586	0.334881	0.167798	0.514134	0.363085	0.103945	0.163552	0.469735	0.041822	0.136026	0.043751	0.265521	0.167452	0.375740	0.257454	0.594358	0.156233	0.238902	0.180089	0.069473	0.114707	0.162203	0.185679	0.189430	0.051127	0.240676	0.184619
