	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_02.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_03.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_04.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_05.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_06.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_07.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_08.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_09.c3d	112_F_P_sh_R_D_A_10.c3d	112_F_P_sh_R_D_A_10.c3d	112_F_P_sh_R_D_A_10.c3d	112_F_P_sh_R_D_A_10.c3d	112_F_P_sh_R_D_A_10.c3d	112_F_P_sh_R_D_A_10.c3d	112_F_P_sh_R_D_A_10.c3d	112_F_P_sh_R_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.436603	0.270669	0.596992	0.371301	0.309433	0.151828	0.472410	0.469559	0.586180	0.757984	0.333945	0.362720	0.240518	0.123029	0.644828	0.565732	0.749934	0.322372	0.427517	0.336022	0.222318	0.136634	0.170627	0.294488	0.230442	0.135205	0.391951	0.448135	0.336885	0.150177	0.237216	0.341699	0.321238	0.311126	0.333607	0.517972	0.118674	0.075546	0.299915	0.358198	0.253450	0.230370	0.344074	0.353406	0.188947	0.089450	0.395460	0.450415	0.346346	0.210727	0.327159	0.495188	0.164381	0.076013	0.453297	0.245674	0.348839	0.203100	0.281759	0.545759	0.069275	0.057203	0.143168	0.342486	0.354095	0.173320	0.235137	0.475610	0.048671	0.057357	0.180017	0.641648
2	0.447435	0.247491	0.595910	0.394850	0.302857	0.153639	0.515546	0.525028	0.498470	0.702875	0.348452	0.368931	0.263429	0.161449	0.653217	0.701242	0.764425	0.314157	0.426625	0.363755	0.217192	0.117732	0.162381	0.215967	0.225654	0.081311	0.393993	0.440822	0.324316	0.148296	0.233861	0.344425	0.311389	0.311156	0.352320	0.579432	0.125083	0.077738	0.327040	0.386022	0.240172	0.214208	0.374252	0.353781	0.182732	0.093456	0.399572	0.450475	0.359440	0.216668	0.332270	0.493773	0.163970	0.078012	0.456964	0.244726	0.353447	0.202989	0.280140	0.600084	0.076306	0.069435	0.142311	0.346662	0.352062	0.183299	0.235088	0.560674	0.055214	0.059496	0.193644	0.641791
3	0.449123	0.229960	0.562323	0.389138	0.284147	0.153802	0.541510	0.500226	0.441830	0.667879	0.334722	0.371716	0.267702	0.184617	0.671293	0.749335	0.765839	0.309187	0.427948	0.378627	0.216475	0.118182	0.165826	0.187548	0.223088	0.074143	0.390466	0.395887	0.274448	0.126278	0.239562	0.361242	0.315310	0.309207	0.360663	0.574700	0.130573	0.078121	0.342931	0.379220	0.240669	0.213808	0.484183	0.356705	0.178954	0.094903	0.432920	0.486178	0.368044	0.220833	0.336741	0.501461	0.164389	0.085005	0.457445	0.250443	0.410623	0.218959	0.287976	0.609118	0.076702	0.072402	0.141613	0.342766	0.368936	0.191945	0.240537	0.559750	0.056716	0.062127	0.187902	0.670393
4	0.452229	0.227124	0.493424	0.402621	0.276470	0.158081	0.545694	0.489295	0.433900	0.664830	0.332725	0.371247	0.260952	0.186034	0.673095	0.757264	0.742772	0.306631	0.456561	0.379475	0.227656	0.108301	0.162162	0.160646	0.214493	0.072827	0.388221	0.338528	0.201774	0.094735	0.241371	0.350199	0.314090	0.298173	0.364132	0.580787	0.135641	0.079031	0.345717	0.373190	0.237233	0.210392	0.595402	0.356903	0.174267	0.094800	0.469723	0.509873	0.372920	0.218930	0.340128	0.514717	0.160387	0.093171	0.455271	0.255435	0.407596	0.256892	0.319286	0.609820	0.072840	0.070975	0.135077	0.338428	0.374598	0.197631	0.243325	0.585039	0.057786	0.064247	0.191911	0.676068
5	0.464254	0.235064	0.421742	0.410380	0.288687	0.165430	0.587525	0.507761	0.358902	0.595156	0.325367	0.365232	0.249869	0.181124	0.672047	0.788078	0.617306	0.306565	0.491625	0.387209	0.221517	0.093402	0.171904	0.135693	0.205162	0.094464	0.427182	0.354327	0.117859	0.085335	0.239958	0.385957	0.291913	0.279222	0.364297	0.588004	0.140603	0.082162	0.361819	0.374598	0.233494	0.196494	0.622908	0.353376	0.166376	0.094983	0.487614	0.497696	0.402149	0.217038	0.321062	0.519697	0.156255	0.099655	0.454121	0.266953	0.400048	0.287845	0.350920	0.609693	0.074923	0.071848	0.144762	0.291879	0.373582	0.200913	0.225274	0.612938	0.057812	0.064395	0.216997	0.688035
6	0.474598	0.235168	0.411242	0.390342	0.292754	0.169803	0.628906	0.503301	0.322192	0.372024	0.281547	0.369455	0.245238	0.176705	0.682023	0.813600	0.426123	0.289248	0.504780	0.362764	0.206522	0.081168	0.170502	0.127932	0.232407	0.138698	0.428743	0.406921	0.098800	0.087069	0.266052	0.391274	0.256470	0.253750	0.360309	0.575258	0.139691	0.083074	0.426718	0.361475	0.224685	0.176258	0.624252	0.351733	0.156209	0.094399	0.499920	0.483558	0.459731	0.218328	0.279069	0.516801	0.162391	0.106575	0.447944	0.270887	0.387243	0.297347	0.361658	0.611842	0.078750	0.074701	0.147161	0.263834	0.358686	0.195583	0.220064	0.627817	0.058072	0.064374	0.213846	0.691718
