	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_01.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_02.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_03.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_05.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_06.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_07.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_08.c3d	150_P_T3_sh_L_ND_A_10.c3d	150_P_T3_sh_L_ND_A_10.c3d	150_P_T3_sh_L_ND_A_10.c3d	150_P_T3_sh_L_ND_A_10.c3d	150_P_T3_sh_L_ND_A_10.c3d	150_P_T3_sh_L_ND_A_10.c3d	150_P_T3_sh_L_ND_A_10.c3d	150_P_T3_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.524083	0.138328	0.312728	0.274367	0.281298	0.349159	0.530287	0.402520	0.486414	0.688932	0.378180	0.175976	0.253431	0.181512	0.268117	0.088916	0.415860	0.186489	0.350815	0.149856	0.259263	0.335389	0.492277	0.177699	1.044983	0.706745	0.317636	0.177466	0.280400	0.141587	0.455659	0.279948	0.424988	0.282111	0.235421	0.274304	0.471817	0.539957	0.421064	0.140169	0.442730	0.064615	0.278444	0.207205	0.379280	0.164989	0.399922	0.103910	0.440690	0.316134	0.232217	0.124514	0.504730	0.246438	0.280183	0.167633	0.327139	0.130901	0.358058	0.250344	0.329989	0.244595	0.263959	0.121258
2	0.522258	0.139308	0.320262	0.260471	0.295731	0.403047	0.526445	0.376590	0.479367	0.687461	0.373130	0.191939	0.262764	0.170559	0.266731	0.135180	0.417645	0.201784	0.288934	0.153684	0.246140	0.303728	0.490463	0.172837	1.047084	0.705872	0.306523	0.177546	0.258489	0.152868	0.454127	0.281295	0.441635	0.282918	0.244980	0.287195	0.456857	0.410669	0.416058	0.149975	0.405753	0.057492	0.289455	0.206503	0.397448	0.175911	0.354829	0.100323	0.457622	0.307294	0.235266	0.122620	0.507081	0.237633	0.299760	0.169504	0.299563	0.127342	0.335991	0.248822	0.324494	0.224914	0.260143	0.125908
3	0.524738	0.140930	0.315239	0.217914	0.299555	0.469024	0.503443	0.375628	0.479783	0.680665	0.369645	0.197013	0.265103	0.151478	0.266929	0.158767	0.416298	0.205071	0.239473	0.155809	0.188766	0.286338	0.480984	0.184611	1.047031	0.698628	0.305231	0.159897	0.256255	0.185821	0.469013	0.275786	0.422447	0.274862	0.261734	0.313250	0.421609	0.356470	0.415458	0.147692	0.408936	0.056076	0.284602	0.207031	0.400756	0.178471	0.347806	0.102401	0.444199	0.254610	0.238845	0.119637	0.507876	0.233221	0.304294	0.186687	0.326690	0.119545	0.330725	0.240121	0.324867	0.204413	0.247429	0.153562
4	0.545515	0.139997	0.329090	0.165817	0.319871	0.472980	0.461332	0.367871	0.471592	0.680777	0.321544	0.199597	0.287068	0.160799	0.272321	0.159051	0.415047	0.203649	0.291499	0.173331	0.175173	0.142470	0.465523	0.186351	1.049399	0.673901	0.288023	0.151703	0.256545	0.188335	0.440065	0.272027	0.326998	0.263671	0.266604	0.336317	0.422523	0.335064	0.413697	0.145881	0.411897	0.051858	0.281551	0.186920	0.400412	0.179335	0.371967	0.110298	0.454449	0.235969	0.241636	0.116433	0.476412	0.213210	0.321672	0.189814	0.331042	0.143543	0.333878	0.231001	0.327858	0.196522	0.229768	0.184895
5	0.538426	0.137282	0.329080	0.161292	0.349799	0.472427	0.423064	0.346413	0.481061	0.598302	0.227575	0.199653	0.346648	0.160871	0.283604	0.162534	0.401730	0.206125	0.352934	0.186397	0.170479	0.069231	0.462752	0.189856	1.031384	0.665179	0.191348	0.154193	0.268155	0.194575	0.418819	0.283168	0.312733	0.259433	0.264363	0.341780	0.416429	0.326919	0.412867	0.128012	0.319326	0.043447	0.279661	0.145250	0.399609	0.182695	0.381060	0.124741	0.458780	0.246903	0.241376	0.114326	0.443688	0.191416	0.356331	0.196947	0.346873	0.159071	0.317845	0.217346	0.337458	0.195411	0.212822	0.207770
6	0.475714	0.137692	0.279689	0.201931	0.344008	0.472463	0.425347	0.327699	0.478322	0.398698	0.155220	0.196105	0.357198	0.196476	0.279303	0.180277	0.406315	0.211070	0.365437	0.186421	0.147923	0.067335	0.467134	0.193336	0.984071	0.629897	0.087241	0.150673	0.266064	0.244181	0.416919	0.294818	0.316482	0.274435	0.258384	0.343470	0.321452	0.327530	0.429822	0.126313	0.236754	0.040243	0.275877	0.149206	0.395220	0.181615	0.370920	0.130620	0.446603	0.250391	0.227161	0.110566	0.373491	0.153877	0.361038	0.206530	0.371266	0.165534	0.290632	0.216010	0.400654	0.194681	0.203384	0.211798
7	0.441777	0.140059	0.260540	0.242202	0.346563	0.474000	0.439208	0.277101	0.448047	0.286120	0.129567	0.177981	0.361141	0.268527	0.264037	0.205182	0.452411	0.213008	0.365709	0.177081	0.175930	0.066812	0.478097	0.189505	0.864854	0.579873	0.098689	0.156356	0.259345	0.282339	0.401070	0.299240	0.339653	0.281461	0.260687	0.338182	0.279345	0.297601	0.458583	0.125846	0.211485	0.041791	0.259949	0.223317	0.383266	0.171787	0.352683	0.126949	0.454813	0.254119	0.184874	0.115886	0.303921	0.144663	0.446021	0.205036	0.394274	0.247412	0.283271	0.216156	0.393768	0.173161	0.187835	0.208014
8	0.452202	0.142222	0.261228	0.252602	0.348484	0.477497	0.443748	0.230447	0.388445	0.276903	0.130013	0.157476	0.445172	0.272105	0.262878	0.217031	0.449764	0.219880	0.354959	0.167926	0.182589	0.066365	0.477688	0.174934	0.842052	0.585927	0.117047	0.178969	0.231614	0.289775	0.386294	0.299398	0.344227	0.286300	0.272163	0.327324	0.274646	0.235285	0.462520	0.126768	0.206499	0.040117	0.274675	0.310201	0.362189	0.155762	0.340315	0.119543	0.413992	0.236617	0.183811	0.157475	0.258010	0.109040	0.564277	0.181369	0.429707	0.415615	0.278610	0.216596	0.389100	0.127384	0.185172	0.207867
9	0.525061	0.145016	0.270692	0.254176	0.348269	0.478166	0.399473	0.219899	0.334230	0.273822	0.121255	0.157467	0.534484	0.287322	0.277058	0.216854	0.438064	0.227734	0.349050	0.173019	0.161148	0.066382	0.471132	0.153993	0.842647	0.601695	0.128085	0.210923	0.241920	0.301713	0.418725	0.299503	0.344872	0.291037	0.357418	0.326163	0.270280	0.137658	0.418418	0.127615	0.195135	0.039409	0.297053	0.354016	0.353901	0.147099	0.339638	0.122466	0.358070	0.211785	0.159152	0.219042	0.257167	0.084197	0.641761	0.158323	0.449055	0.447383	0.236674	0.216876	0.385632	0.118409	0.192914	0.207150
10	0.555840	0.141116	0.296656	0.253200	0.338891	0.479653	0.310677	0.215384	0.317191	0.270492	0.133447	0.164407	0.602520	0.297318	0.281407	0.218482	0.407556	0.259347	0.346786	0.181728	0.151141	0.065891	0.444669	0.152559	0.815919	0.512896	0.149498	0.277127	0.252217	0.309833	0.475682	0.293027	0.363741	0.293698	0.422379	0.304396	0.272066	0.086257	0.377683	0.128690	0.193477	0.045299	0.345053	0.359063	0.353958	0.139250	0.357554	0.129480	0.355394	0.210706	0.153503	0.354477	0.275429	0.079515	0.652115	0.194504	0.450547	0.648192	0.226836	0.195572	0.381757	0.117179	0.186009	0.231684
11	0.504227	0.139173	0.334318	0.255285	0.308963	0.477895	0.244647	0.219882	0.311570	0.252127	0.137693	0.179704	0.634164	0.299443	0.322896	0.217079	0.358856	0.283455	0.367103	0.187870	0.155289	0.063027	0.412567	0.158972	0.638110	0.474425	0.155308	0.347323	0.251490	0.332078	0.463539	0.291822	0.377528	0.312701	0.442791	0.267842	0.266897	0.073603	0.369665	0.144587	0.195741	0.046717	0.387115	0.364408	0.346057	0.133824	0.377231	0.132520	0.395438	0.221490	0.179453	0.438974	0.318842	0.081174	0.640585	0.235363	0.449917	0.744173	0.211578	0.108046	0.344282	0.091626	0.225455	0.309571
12	0.483060	0.135473	0.363143	0.263781	0.314078	0.477156	0.267354	0.232039	0.293055	0.239597	0.211026	0.184052	0.636415	0.329744	0.343161	0.235725	0.334141	0.281047	0.399321	0.201767	0.185686	0.060650	0.408610	0.170690	0.536097	0.456346	0.189740	0.359599	0.258962	0.343282	0.453158	0.309098	0.378115	0.356773	0.436982	0.232609	0.262301	0.073991	0.340297	0.183949	0.199228	0.046164	0.409532	0.385625	0.358796	0.133286	0.379565	0.140254	0.416705	0.218109	0.221540	0.456391	0.314672	0.093710	0.636863	0.260885	0.437190	0.748163	0.189284	0.095394	0.326384	0.078128	0.328971	0.376253
13	0.507135	0.131080	0.368695	0.271064	0.306146	0.463225	0.273425	0.237004	0.286365	0.213398	0.273773	0.166961	0.692249	0.343743	0.352657	0.252488	0.343350	0.278377	0.452451	0.233178	0.195424	0.063451	0.418117	0.187189	0.465227	0.416147	0.318458	0.356166	0.221534	0.406496	0.476651	0.297100	0.374488	0.374084	0.420272	0.228656	0.243679	0.082473	0.296502	0.224213	0.199194	0.063830	0.405609	0.420188	0.360403	0.133806	0.370576	0.150224	0.424330	0.216414	0.239339	0.458457	0.316191	0.112307	0.640475	0.292028	0.450441	0.754664	0.151313	0.090733	0.349601	0.073591	0.422411	0.422229
