	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_03.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_04.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_06.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_07.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_08.c3d	155_P_T3_sh_R_D_A_09.c3d	155_P_T3_sh_R_D_A_09.c3d	155_P_T3_sh_R_D_A_09.c3d	155_P_T3_sh_R_D_A_09.c3d	155_P_T3_sh_R_D_A_09.c3d	155_P_T3_sh_R_D_A_09.c3d	155_P_T3_sh_R_D_A_09.c3d	155_P_T3_sh_R_D_A_09.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.154527	0.404973	0.423343	0.237003	0.130856	0.312779	0.260857	0.357998	0.299841	0.224963	0.320534	0.151926	0.103968	0.433710	0.420285	0.507583	0.608145	0.366123	0.240485	0.126202	0.134033	0.431507	0.245524	0.365436	0.081952	0.063651	0.169660	0.210292	0.209951	0.233913	0.266394	0.125572	0.331769	0.212533	0.311807	0.150902	0.088201	0.239511	0.274904	0.249696	0.249666	0.192170	0.181683	0.116276	0.110559	0.286193	0.300289	0.173480
2	0.161172	0.379280	0.425403	0.224223	0.152377	0.325623	0.207984	0.370547	0.299919	0.221152	0.322509	0.154682	0.098019	0.514839	0.432233	0.507212	0.580847	0.346566	0.243595	0.155156	0.143343	0.441545	0.243201	0.359158	0.080910	0.063191	0.168971	0.212983	0.183105	0.221723	0.302533	0.112412	0.336356	0.218077	0.347313	0.151167	0.103051	0.239583	0.283804	0.266196	0.247754	0.187877	0.186252	0.127782	0.108670	0.222740	0.221037	0.189736
3	0.174687	0.317092	0.425163	0.222676	0.153098	0.331288	0.276249	0.369940	0.288587	0.212113	0.299527	0.153911	0.092676	0.529991	0.447609	0.501313	0.561702	0.322336	0.268928	0.163554	0.154631	0.442013	0.234725	0.350972	0.079135	0.062948	0.178382	0.207935	0.143908	0.219102	0.301317	0.116451	0.338784	0.228539	0.393614	0.146417	0.103616	0.219529	0.291559	0.270378	0.246771	0.186195	0.186435	0.142657	0.111230	0.179303	0.230936	0.245182
4	0.189382	0.321684	0.428101	0.222333	0.153649	0.312374	0.332170	0.370955	0.247031	0.214755	0.243111	0.147024	0.123381	0.625524	0.450796	0.483074	0.527373	0.319315	0.285966	0.154603	0.161262	0.448470	0.223844	0.337981	0.080029	0.063037	0.179520	0.198983	0.146035	0.222883	0.330324	0.119546	0.342486	0.231858	0.429559	0.157541	0.102155	0.212723	0.299180	0.268460	0.245105	0.183863	0.189502	0.152435	0.090956	0.169305	0.235492	0.298743
5	0.194571	0.328298	0.429870	0.220594	0.165345	0.348971	0.348686	0.369838	0.208342	0.202721	0.208587	0.122080	0.130072	0.649921	0.444971	0.460345	0.505537	0.275471	0.256734	0.153650	0.162211	0.406442	0.223330	0.325496	0.082494	0.062907	0.175483	0.195486	0.142098	0.197691	0.360693	0.152093	0.340582	0.214698	0.434033	0.182647	0.101810	0.149162	0.328399	0.283359	0.243503	0.181862	0.190633	0.153308	0.090939	0.142599	0.191628	0.368966
6	0.195260	0.329175	0.408070	0.214417	0.167625	0.349017	0.362266	0.367459	0.201592	0.188851	0.207078	0.119197	0.131688	0.618451	0.426542	0.428329	0.489395	0.209140	0.263288	0.153506	0.152565	0.285017	0.232648	0.321347	0.083416	0.062798	0.159326	0.187357	0.138010	0.182681	0.372128	0.154310	0.339284	0.195864	0.427417	0.206240	0.100336	0.135957	0.330243	0.282797	0.239202	0.181166	0.177288	0.155029	0.091092	0.141167	0.168238	0.430629
7	0.202592	0.325185	0.377479	0.193918	0.165878	0.345266	0.378871	0.364899	0.204045	0.176904	0.200868	0.123133	0.132491	0.581375	0.415698	0.395969	0.340434	0.124666	0.291576	0.149087	0.150745	0.241626	0.242937	0.350494	0.082843	0.059423	0.143866	0.178554	0.138406	0.167233	0.407016	0.180106	0.337029	0.194831	0.456720	0.214216	0.099086	0.102700	0.348801	0.241105	0.233829	0.178333	0.175623	0.156134	0.091798	0.143705	0.177207	0.496286
