	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.332291	0.483329	0.303612	0.226521	0.585419	0.574357	0.216918	0.163670	0.077323	0.057261	0.216656	0.169916	0.352452	0.417995	0.167039	0.146912	0.168779	0.125512	0.427842	0.412122	0.292924	0.310030	0.204837	0.215777	0.075220	0.058991	0.224740	0.399175	0.440697	0.223974	0.172626	0.163783	0.054757	0.179243	0.314869	0.233912	0.348061	0.220562	0.207452	0.173015	0.150218	0.243009	0.269811	0.151824	0.346173	0.346763	0.172193	0.042729
2	0.331726	0.481966	0.313795	0.235413	0.585159	0.572335	0.219361	0.164810	0.102213	0.115996	0.249821	0.226115	0.352808	0.444504	0.214786	0.193966	0.187706	0.135568	0.456644	0.436607	0.300284	0.317045	0.226270	0.205012	0.092384	0.069318	0.243691	0.418662	0.419584	0.203809	0.171083	0.159205	0.055239	0.169680	0.311447	0.244655	0.360899	0.186638	0.186182	0.165796	0.148097	0.239865	0.263228	0.163881	0.296226	0.429243	0.179958	0.044587
3	0.346587	0.481179	0.345723	0.241388	0.591115	0.618651	0.214114	0.164971	0.136099	0.119090	0.291467	0.272205	0.353889	0.441158	0.223117	0.221917	0.193920	0.139176	0.442364	0.494604	0.317455	0.317288	0.264611	0.195058	0.113380	0.082296	0.288587	0.437530	0.446976	0.239983	0.172602	0.150028	0.061246	0.161411	0.310481	0.247429	0.335924	0.160110	0.157425	0.136635	0.150416	0.235691	0.234691	0.160320	0.391500	0.476080	0.179174	0.037584
4	0.349260	0.474454	0.363612	0.240774	0.593109	0.668563	0.188129	0.158576	0.155388	0.120344	0.304794	0.297695	0.359224	0.436174	0.227465	0.227557	0.194520	0.139259	0.436166	0.501482	0.337432	0.324727	0.288643	0.196372	0.117838	0.093949	0.310820	0.446184	0.489889	0.242949	0.175854	0.134599	0.063356	0.157249	0.311932	0.247411	0.362754	0.175201	0.151994	0.087951	0.150492	0.221571	0.233728	0.160172	0.453288	0.520766	0.182417	0.043656
5	0.347078	0.468128	0.362213	0.233639	0.602024	0.668096	0.200197	0.148212	0.157913	0.120180	0.294400	0.300168	0.367698	0.435559	0.241850	0.241286	0.195675	0.137196	0.471827	0.519234	0.365243	0.338271	0.302219	0.201513	0.117980	0.110706	0.306804	0.445054	0.516965	0.240403	0.184747	0.114720	0.063330	0.156584	0.315699	0.261229	0.382012	0.179633	0.152038	0.072495	0.144135	0.217067	0.237385	0.158418	0.453139	0.556472	0.200331	0.047404
6	0.344006	0.463591	0.367251	0.232860	0.581226	0.668071	0.204393	0.137928	0.159494	0.120296	0.304235	0.309413	0.353160	0.396612	0.246566	0.260683	0.196199	0.132105	0.516621	0.613507	0.377483	0.319596	0.303565	0.191336	0.124668	0.120460	0.305078	0.449024	0.518005	0.275798	0.191841	0.095861	0.064318	0.153014	0.322230	0.275512	0.389909	0.173027	0.155193	0.071947	0.142167	0.208908	0.239454	0.158261	0.454464	0.559194	0.221102	0.046886
7	0.350910	0.463779	0.380117	0.248442	0.555434	0.655984	0.204117	0.133678	0.163665	0.120554	0.320368	0.333357	0.354298	0.390644	0.249901	0.270283	0.202715	0.132154	0.496632	0.652856	0.377429	0.306972	0.299694	0.206965	0.136053	0.125315	0.299172	0.454202	0.540567	0.289322	0.182432	0.087989	0.064562	0.146319	0.325601	0.277765	0.385029	0.176619	0.169696	0.087184	0.134146	0.197032	0.237207	0.160396	0.457173	0.558393	0.220704	0.046904
