	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_01.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_04.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_06.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_07.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_08.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_09.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_10.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_11.c3d	120_F_P_sh_L_ND_A_13.c3d	120_F_P_sh_L_ND_A_13.c3d	120_F_P_sh_L_ND_A_13.c3d	120_F_P_sh_L_ND_A_13.c3d	120_F_P_sh_L_ND_A_13.c3d	120_F_P_sh_L_ND_A_13.c3d	120_F_P_sh_L_ND_A_13.c3d	120_F_P_sh_L_ND_A_13.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.284722	0.473834	0.246794	0.206160	0.058400	0.082134	0.211480	0.159146	0.305748	0.455414	0.116812	0.164749	0.176062	0.210081	0.178994	0.095719	0.173966	0.274812	0.200637	0.174269	0.147450	0.163286	0.096253	0.087788	0.079354	0.183214	0.085501	0.039290	0.188150	0.257626	0.112240	0.105729	0.204163	0.252326	0.108315	0.109824	0.072174	0.075948	0.216097	0.170465	0.328510	0.589507	0.294208	0.311806	0.198053	0.074974	0.298479	0.240666	0.265266	0.371245	0.385421	0.315034	0.084856	0.109767	0.317569	0.170936	0.231219	0.393303	0.156925	0.177447	0.146633	0.263369	0.125012	0.145611	0.353602	0.853830	0.303897	0.192520	0.064994	0.130890	0.073556	0.058371
2	0.284875	0.472016	0.248525	0.218629	0.063789	0.095023	0.207112	0.165563	0.305821	0.457308	0.118409	0.165137	0.171780	0.211870	0.180146	0.093945	0.196113	0.287482	0.200311	0.174234	0.147151	0.161680	0.101637	0.098529	0.081714	0.176947	0.093598	0.061080	0.219053	0.275457	0.109254	0.116297	0.227107	0.279810	0.106654	0.111212	0.074003	0.076668	0.214579	0.171069	0.336629	0.638397	0.310206	0.312431	0.198622	0.074630	0.304534	0.244110	0.267159	0.377433	0.432513	0.333496	0.095107	0.104319	0.339710	0.171552	0.203826	0.381273	0.197730	0.186348	0.193541	0.298176	0.124754	0.139884	0.360127	0.853543	0.301914	0.179872	0.056601	0.121222	0.069429	0.064057
3	0.290235	0.469434	0.248505	0.231022	0.063107	0.100906	0.200672	0.171942	0.305652	0.456964	0.120316	0.165738	0.153501	0.192055	0.181872	0.093732	0.207345	0.300920	0.200797	0.174068	0.143697	0.160260	0.104503	0.107938	0.082593	0.169279	0.127612	0.098888	0.252569	0.281232	0.118765	0.133314	0.228201	0.305279	0.106535	0.120440	0.079866	0.082162	0.214298	0.172972	0.329277	0.646259	0.331972	0.317216	0.198473	0.074012	0.299004	0.238393	0.269092	0.395122	0.468709	0.363732	0.115785	0.108864	0.346846	0.170793	0.172095	0.353286	0.225169	0.202810	0.228528	0.350265	0.123487	0.136736	0.386454	0.864410	0.312099	0.164371	0.062997	0.103357	0.069825	0.071457
4	0.302594	0.509097	0.249033	0.236089	0.063183	0.101590	0.199365	0.176715	0.306729	0.457144	0.123553	0.166741	0.133400	0.167035	0.185092	0.093687	0.205148	0.314281	0.196911	0.174647	0.142210	0.161082	0.106467	0.108572	0.084908	0.169784	0.153667	0.135277	0.262688	0.281797	0.117218	0.138982	0.220223	0.294313	0.109905	0.130313	0.086464	0.086184	0.212796	0.172979	0.328351	0.641363	0.356319	0.337772	0.198526	0.072443	0.290071	0.227836	0.266889	0.408614	0.495972	0.392620	0.136517	0.124941	0.350141	0.172355	0.163864	0.304927	0.237320	0.221521	0.247903	0.381319	0.125888	0.138903	0.423142	0.891895	0.341117	0.159951	0.069701	0.088213	0.077988	0.077448
5	0.319424	0.529472	0.254135	0.235058	0.062582	0.099590	0.199474	0.175744	0.302173	0.455124	0.123798	0.164597	0.133439	0.171081	0.188740	0.091897	0.203352	0.300022	0.185828	0.168659	0.153375	0.174705	0.105188	0.107338	0.081003	0.174507	0.164454	0.163683	0.264011	0.281588	0.116952	0.139417	0.223904	0.279961	0.108777	0.130186	0.089645	0.091558	0.207776	0.170483	0.347292	0.643272	0.369867	0.362545	0.198061	0.071713	0.280498	0.224032	0.259796	0.410924	0.518012	0.404203	0.144418	0.142485	0.348450	0.171733	0.160164	0.289892	0.239679	0.233620	0.251704	0.387388	0.123826	0.131376	0.454640	0.927336	0.362334	0.161678	0.076802	0.080799	0.078468	0.078601
6	0.330973	0.522882	0.246180	0.237019	0.064215	0.102165	0.199384	0.169178	0.294492	0.451333	0.123510	0.157441	0.153438	0.199684	0.189801	0.093103	0.206833	0.297752	0.161723	0.151372	0.169575	0.223330	0.100792	0.103636	0.079815	0.177781	0.168755	0.179075	0.263670	0.278562	0.117534	0.139334	0.236137	0.308482	0.111438	0.129059	0.087141	0.094195	0.196237	0.159567	0.378807	0.678449	0.374991	0.377532	0.195144	0.072747	0.264431	0.222520	0.242702	0.408774	0.524243	0.403605	0.145510	0.150532	0.338431	0.165544	0.135680	0.288537	0.235326	0.231657	0.251682	0.388853	0.111781	0.108773	0.473946	0.947985	0.372387	0.167750	0.078646	0.074433	0.075197	0.077425
