	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_02.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_04.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_05.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_06.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_07.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_08.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_09.c3d	122_F_P_sh_R_D_A_10.c3d	122_F_P_sh_R_D_A_10.c3d	122_F_P_sh_R_D_A_10.c3d	122_F_P_sh_R_D_A_10.c3d	122_F_P_sh_R_D_A_10.c3d	122_F_P_sh_R_D_A_10.c3d	122_F_P_sh_R_D_A_10.c3d	122_F_P_sh_R_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.148535	0.316864	0.494938	0.252096	0.111642	0.271458	0.241035	0.233049	0.178090	0.365924	0.274458	0.220221	0.150429	0.214633	0.135585	0.294063	0.141564	0.254172	0.317575	0.377739	0.132272	0.114021	0.582433	0.458374	0.183983	0.103652	0.270045	0.320254	0.128658	0.330142	0.231267	0.248455	0.113924	0.371593	0.412982	0.342022	0.128280	0.150252	0.271609	0.327244	0.149068	0.395755	0.271024	0.393165	0.135321	0.288535	0.369026	0.223966	0.175462	0.272298	0.634211	0.293767	0.200254	0.190345	0.303350	0.307437	0.395664	0.202345	0.272670	0.287054	0.183022	0.247586	0.208361	0.233486
2	0.163247	0.304591	0.500088	0.249873	0.121376	0.275774	0.260303	0.218346	0.196656	0.344765	0.281746	0.220003	0.154966	0.210067	0.136290	0.297327	0.133063	0.243773	0.318088	0.389817	0.102813	0.124092	0.573559	0.512404	0.178573	0.100584	0.198635	0.314932	0.106928	0.241352	0.222567	0.256033	0.136865	0.357586	0.443355	0.344061	0.133368	0.141667	0.268181	0.363541	0.148720	0.399132	0.307392	0.393303	0.138753	0.264535	0.372992	0.225565	0.199208	0.275343	0.633936	0.261194	0.201389	0.190592	0.333466	0.287892	0.403248	0.186122	0.275419	0.290212	0.185867	0.257444	0.204754	0.231916
3	0.164460	0.294248	0.497260	0.256313	0.122890	0.263794	0.235194	0.215590	0.235275	0.271610	0.288940	0.218532	0.150389	0.189445	0.144196	0.286202	0.122640	0.230271	0.317317	0.393212	0.090851	0.113639	0.541434	0.532540	0.177667	0.088202	0.193908	0.310239	0.103678	0.174873	0.220841	0.252840	0.157857	0.346424	0.475710	0.336737	0.153418	0.142422	0.259319	0.367768	0.151502	0.406594	0.327292	0.377893	0.143692	0.249281	0.379525	0.226980	0.229192	0.275262	0.634459	0.220741	0.201832	0.185222	0.328191	0.357398	0.420628	0.166687	0.292141	0.290303	0.184293	0.256024	0.261832	0.202588
4	0.159077	0.298075	0.487377	0.258428	0.125103	0.266703	0.198887	0.216713	0.241519	0.244057	0.287440	0.161132	0.136394	0.161840	0.178316	0.261955	0.123618	0.229200	0.312191	0.386312	0.089972	0.136327	0.521120	0.530193	0.175246	0.076375	0.173689	0.250192	0.103444	0.141195	0.217909	0.248493	0.156695	0.341262	0.484818	0.327343	0.267787	0.143802	0.230269	0.368233	0.137794	0.413472	0.349929	0.377995	0.144755	0.196601	0.433374	0.223946	0.270011	0.268792	0.627283	0.217667	0.202994	0.164263	0.340360	0.376375	0.429172	0.164854	0.281522	0.301702	0.183017	0.246603	0.268091	0.215820
5	0.186124	0.299069	0.474726	0.246261	0.125156	0.279305	0.198038	0.245800	0.251945	0.235259	0.303660	0.121862	0.127635	0.158564	0.219044	0.249720	0.134682	0.229563	0.313944	0.385510	0.094116	0.153536	0.539345	0.518671	0.174284	0.075956	0.171448	0.232552	0.105178	0.140383	0.201078	0.240706	0.159782	0.349509	0.487999	0.320871	0.351284	0.140397	0.211725	0.371335	0.138692	0.419928	0.364349	0.379983	0.146095	0.197707	0.478143	0.216943	0.307472	0.265183	0.604155	0.203421	0.203780	0.146290	0.342992	0.380472	0.394520	0.167076	0.275566	0.305017	0.181278	0.246490	0.284917	0.233842
6	0.208017	0.290087	0.478782	0.244095	0.128629	0.278143	0.199385	0.255463	0.269234	0.232090	0.330546	0.120313	0.125229	0.165586	0.243674	0.269310	0.150627	0.224213	0.313010	0.388173	0.112776	0.157454	0.540753	0.522218	0.171415	0.073091	0.173688	0.235246	0.109282	0.140283	0.216644	0.243060	0.159367	0.363801	0.487969	0.322793	0.358390	0.129429	0.205795	0.380377	0.145106	0.412702	0.366696	0.374101	0.138663	0.202672	0.501573	0.215936	0.321852	0.277468	0.600208	0.185455	0.204694	0.138051	0.338781	0.363642	0.395330	0.168850	0.277735	0.334361	0.180960	0.265432	0.308819	0.232912
7	0.208108	0.262485	0.452226	0.234209	0.127211	0.244252	0.182814	0.237901	0.293918	0.239069	0.359841	0.119576	0.125701	0.174785	0.237629	0.274472	0.151571	0.217338	0.324732	0.393464	0.134651	0.157582	0.503907	0.533829	0.163566	0.073593	0.201776	0.239925	0.105502	0.151787	0.201724	0.255698	0.159036	0.379759	0.488420	0.314836	0.359076	0.126106	0.201320	0.411637	0.147777	0.377337	0.362828	0.350810	0.130919	0.238315	0.493859	0.210037	0.322722	0.298947	0.538562	0.177362	0.204671	0.133822	0.329852	0.356513	0.496609	0.170115	0.277865	0.343753	0.178019	0.272335	0.306814	0.238524
8	0.217265	0.249722	0.405237	0.243026	0.120498	0.214176	0.174631	0.309484	0.306732	0.251366	0.369050	0.117581	0.121809	0.185884	0.254439	0.275646	0.151886	0.207564	0.359246	0.392425	0.164517	0.156423	0.425196	0.496608	0.159116	0.098397	0.223106	0.259895	0.098764	0.164881	0.207003	0.255545	0.160240	0.392568	0.489745	0.317266	0.371940	0.118724	0.217020	0.488572	0.169437	0.296460	0.354265	0.298039	0.135645	0.269576	0.505566	0.219096	0.323394	0.309195	0.462908	0.149670	0.204028	0.138208	0.328233	0.355973	0.584030	0.157918	0.254065	0.344813	0.183025	0.268109	0.299961	0.276822
9	0.233512	0.256144	0.376006	0.258789	0.117685	0.229301	0.183460	0.409356	0.308668	0.257410	0.346615	0.124409	0.149692	0.195437	0.286915	0.289363	0.153367	0.199946	0.362936	0.361915	0.180707	0.153679	0.428350	0.456636	0.158488	0.161678	0.224713	0.247370	0.100058	0.158239	0.200477	0.253052	0.168044	0.399314	0.469237	0.322176	0.392358	0.119024	0.248306	0.543637	0.180513	0.205139	0.343912	0.279770	0.136032	0.290031	0.530737	0.216956	0.331891	0.312676	0.419112	0.147674	0.200021	0.154906	0.325544	0.353247	0.597354	0.124698	0.236895	0.361571	0.191813	0.269374	0.300992	0.350934
10	0.242859	0.257545	0.364069	0.246587	0.117540	0.230992	0.233189	0.412728	0.305164	0.246071	0.335914	0.138959	0.173707	0.198138	0.292146	0.298003	0.148500	0.201021	0.364100	0.327675	0.182279	0.153071	0.453805	0.502881	0.153525	0.217515	0.226052	0.255311	0.099925	0.142830	0.177722	0.288528	0.170042	0.403603	0.449132	0.324284	0.402955	0.118306	0.281490	0.565628	0.173858	0.204991	0.313991	0.268851	0.123841	0.298534	0.572011	0.221814	0.343255	0.305674	0.390901	0.144880	0.193838	0.160673	0.313619	0.353055	0.595783	0.099029	0.230674	0.376175	0.188146	0.270666	0.301284	0.390029
11	0.243752	0.250953	0.355143	0.231834	0.112754	0.233793	0.239875	0.416604	0.304756	0.233396	0.337126	0.140621	0.175804	0.184966	0.296689	0.292239	0.144110	0.215482	0.372397	0.319047	0.235230	0.158078	0.466106	0.508168	0.140872	0.280455	0.223698	0.265939	0.101450	0.142177	0.172816	0.304434	0.178242	0.404597	0.437366	0.319887	0.407200	0.117685	0.334425	0.568220	0.173864	0.195601	0.308926	0.261673	0.120217	0.299038	0.579880	0.222102	0.338613	0.299643	0.391291	0.151045	0.184148	0.158154	0.308142	0.375432	0.606539	0.092477	0.221856	0.376763	0.185438	0.270603	0.303128	0.404509
12	0.250232	0.250043	0.323926	0.265515	0.104056	0.255769	0.235726	0.431614	0.305769	0.242302	0.336680	0.141994	0.172026	0.181626	0.299268	0.290658	0.140034	0.219865	0.364346	0.313378	0.337649	0.167336	0.388562	0.505407	0.121904	0.294903	0.221011	0.258734	0.106363	0.142835	0.182880	0.288842	0.233857	0.395327	0.459779	0.325576	0.408325	0.119615	0.351588	0.584618	0.180105	0.200662	0.307571	0.221435	0.121134	0.295653	0.577594	0.231162	0.328797	0.293656	0.371488	0.188732	0.178728	0.154569	0.308921	0.390629	0.608921	0.093796	0.219959	0.372142	0.185761	0.278862	0.300563	0.408346
13	0.252507	0.234678	0.297577	0.271388	0.102741	0.256234	0.209944	0.435215	0.312084	0.246253	0.332872	0.147031	0.175225	0.177830	0.300049	0.296802	0.128916	0.203366	0.348337	0.284180	0.360481	0.183371	0.358099	0.479008	0.117486	0.296432	0.217542	0.247649	0.105105	0.151897	0.189057	0.274530	0.279504	0.392167	0.461196	0.325057	0.406359	0.120079	0.354283	0.629584	0.179498	0.215647	0.306454	0.161205	0.124983	0.299686	0.573746	0.249790	0.319372	0.274038	0.364125	0.246624	0.177828	0.152822	0.311440	0.394633	0.619700	0.095831	0.245403	0.370023	0.176423	0.294621	0.307347	0.407121
