	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_1.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_10.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_2.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_3.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_4.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_5.c3d	123_F_P_sh_R_D_A_7.c3d	123_F_P_sh_R_D_A_7.c3d	123_F_P_sh_R_D_A_7.c3d	123_F_P_sh_R_D_A_7.c3d	123_F_P_sh_R_D_A_7.c3d	123_F_P_sh_R_D_A_7.c3d	123_F_P_sh_R_D_A_7.c3d	123_F_P_sh_R_D_A_7.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.122183	0.142499	0.220026	0.261407	0.265882	0.240034	0.275718	0.293429	0.046138	0.160425	0.168571	0.325428	0.243147	0.226158	0.237493	0.194731	0.258856	0.177420	0.206644	0.311008	0.253709	0.252601	0.462450	0.354410	0.580394	0.206457	0.218940	0.266581	0.416550	0.233210	0.352691	0.468909	0.109143	0.192250	0.295241	0.658447	0.150699	0.504511	0.287743	0.309277	0.247520	0.141287	0.144530	0.235357	0.269385	0.278117	0.293151	0.228979	0.146937	0.693127	0.131667	0.163291	0.381748	0.147379	0.208328	0.249332
2	0.123855	0.139323	0.205423	0.255266	0.254661	0.327315	0.257800	0.287612	0.050450	0.192376	0.164428	0.297265	0.288518	0.227399	0.236180	0.206526	0.262284	0.168178	0.222433	0.315909	0.244214	0.254949	0.470690	0.385996	0.599509	0.189007	0.248523	0.250981	0.429039	0.232858	0.351775	0.477725	0.113850	0.196509	0.288325	0.658412	0.181211	0.493238	0.232671	0.311849	0.259860	0.144244	0.127081	0.199546	0.252655	0.274613	0.289553	0.212415	0.181272	0.653632	0.143770	0.158095	0.375677	0.138453	0.177965	0.239593
3	0.123603	0.136777	0.193437	0.255501	0.251455	0.381818	0.256116	0.301308	0.045117	0.212580	0.149571	0.257198	0.331823	0.241193	0.234683	0.226156	0.264553	0.161393	0.226716	0.314549	0.230470	0.261408	0.452639	0.406118	0.607376	0.197660	0.276871	0.265596	0.429768	0.232719	0.353013	0.494732	0.122055	0.200423	0.287549	0.625854	0.186202	0.491860	0.237846	0.307371	0.262613	0.149089	0.120284	0.182193	0.233383	0.273198	0.273105	0.222799	0.188902	0.431186	0.205308	0.181389	0.382534	0.129518	0.178552	0.213254
4	0.123263	0.133166	0.192306	0.270332	0.256581	0.569918	0.230517	0.308311	0.043730	0.216263	0.148042	0.250601	0.346551	0.304860	0.247122	0.238494	0.258753	0.160946	0.235325	0.286696	0.224853	0.278008	0.433552	0.428394	0.608871	0.212884	0.300546	0.307864	0.431817	0.248242	0.347729	0.505004	0.131994	0.199992	0.287279	0.581400	0.225532	0.502713	0.213979	0.282977	0.253699	0.149032	0.118949	0.173498	0.232907	0.274109	0.225602	0.219154	0.185066	0.348992	0.261043	0.204695	0.375643	0.124483	0.174509	0.165721
5	0.131818	0.127846	0.184274	0.293697	0.258557	0.583478	0.193580	0.289531	0.042614	0.212014	0.148064	0.254603	0.359224	0.319349	0.269280	0.241901	0.240180	0.162146	0.229280	0.261908	0.248709	0.294046	0.418151	0.432804	0.604560	0.228587	0.312327	0.363068	0.456387	0.263654	0.288685	0.507559	0.138222	0.183969	0.287752	0.576927	0.285284	0.515254	0.211309	0.278747	0.242712	0.148346	0.116548	0.169155	0.233778	0.274057	0.218304	0.215618	0.182746	0.324656	0.264261	0.189663	0.383550	0.122381	0.170578	0.139708
6	0.160871	0.119341	0.173651	0.317473	0.261189	0.611469	0.161016	0.249278	0.066406	0.206849	0.147435	0.252663	0.367313	0.321659	0.271987	0.235126	0.205081	0.162548	0.228701	0.257446	0.291849	0.308505	0.403425	0.430012	0.591549	0.239415	0.318916	0.378784	0.491037	0.287435	0.274134	0.505490	0.134702	0.156026	0.287125	0.579484	0.312671	0.507894	0.206948	0.292058	0.233043	0.144895	0.137246	0.174441	0.243253	0.267218	0.218374	0.219726	0.187187	0.226496	0.266298	0.183994	0.409823	0.121910	0.165879	0.146251
