	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_02.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_04.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_05.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_08.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_09.c3d	127_M_P_sh_L_ND_A_10.c3d	127_M_P_sh_L_ND_A_10.c3d	127_M_P_sh_L_ND_A_10.c3d	127_M_P_sh_L_ND_A_10.c3d	127_M_P_sh_L_ND_A_10.c3d	127_M_P_sh_L_ND_A_10.c3d	127_M_P_sh_L_ND_A_10.c3d	127_M_P_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.285787	0.383054	0.194918	0.171259	0.537807	0.591754	0.069718	0.145144	0.262212	0.381825	0.153046	0.138118	0.165870	0.304511	0.086009	0.076746	0.223213	0.219564	0.245388	0.150798	0.535226	0.160944	0.144312	0.077284	0.119537	0.078248	0.145534	0.120212	0.450739	0.237299	0.198641	0.119197	0.213025	0.313926	0.138888	0.078341	0.270373	0.152431	0.162715	0.065309	0.154792	0.247452	0.091307	0.120234	0.596037	0.460467	0.182004	0.093245
2	0.295503	0.394686	0.193145	0.172880	0.420409	0.597235	0.074134	0.146315	0.279226	0.409645	0.149810	0.123241	0.158771	0.169450	0.101999	0.081381	0.221415	0.218266	0.245262	0.147131	0.494028	0.172871	0.150390	0.073811	0.122908	0.071659	0.138801	0.122844	0.449107	0.235453	0.180745	0.109161	0.208767	0.306131	0.135314	0.075296	0.287732	0.162626	0.158065	0.066434	0.188964	0.280877	0.094418	0.114861	0.559864	0.419137	0.188929	0.089426
3	0.297533	0.395781	0.201318	0.172198	0.413933	0.546896	0.122780	0.147468	0.313170	0.431804	0.142402	0.117296	0.157115	0.096301	0.105988	0.082353	0.217022	0.218040	0.246642	0.140598	0.319477	0.201764	0.166690	0.070132	0.123112	0.068533	0.142069	0.123367	0.433818	0.222965	0.172370	0.091853	0.218527	0.301022	0.114702	0.076145	0.313941	0.175341	0.158266	0.067115	0.222369	0.310766	0.107005	0.106110	0.520680	0.380730	0.194581	0.081457
4	0.282007	0.396096	0.214404	0.171946	0.413920	0.526629	0.176807	0.154484	0.331085	0.436927	0.136660	0.130748	0.136608	0.157439	0.118078	0.083760	0.214135	0.239407	0.242987	0.132232	0.274644	0.203502	0.180276	0.070304	0.120552	0.067979	0.155186	0.121058	0.423142	0.140506	0.169381	0.075632	0.228952	0.310831	0.091588	0.077455	0.315181	0.177732	0.162222	0.065645	0.253026	0.318223	0.118108	0.106439	0.507561	0.381992	0.197669	0.087933
5	0.271565	0.396518	0.228562	0.171642	0.414863	0.513667	0.181329	0.144392	0.331366	0.436954	0.136221	0.160622	0.127063	0.244000	0.124213	0.089132	0.214687	0.313833	0.242396	0.123275	0.280111	0.217027	0.183550	0.070808	0.114075	0.065991	0.174026	0.124131	0.421720	0.128800	0.169021	0.071197	0.239879	0.314170	0.098668	0.090346	0.379660	0.173526	0.162613	0.062098	0.270762	0.320832	0.131090	0.107010	0.431071	0.315342	0.178411	0.093940
6	0.235847	0.389985	0.233248	0.164932	0.419411	0.494521	0.199400	0.119892	0.338710	0.432188	0.134289	0.176019	0.126309	0.243331	0.126244	0.096180	0.199495	0.377570	0.235670	0.121959	0.307721	0.256332	0.190428	0.073633	0.103393	0.054933	0.199697	0.128356	0.427270	0.128115	0.153116	0.071364	0.248107	0.370233	0.106044	0.108327	0.523079	0.174096	0.170412	0.059985	0.271832	0.297160	0.133565	0.108377	0.445367	0.280844	0.141833	0.104438
7	0.194127	0.364308	0.230562	0.142193	0.442920	0.477496	0.212002	0.108466	0.342431	0.319015	0.137276	0.176501	0.149179	0.279325	0.126357	0.109080	0.197974	0.386774	0.213254	0.121917	0.316586	0.287627	0.193190	0.070825	0.094293	0.047246	0.207436	0.140840	0.418461	0.124860	0.127799	0.065251	0.254057	0.378506	0.108404	0.122966	0.572869	0.176925	0.180932	0.059999	0.264051	0.296439	0.133041	0.108695	0.461033	0.283405	0.132133	0.112294
