	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_02.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_04.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_06.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_07.c3d	302_At_T1_sh_ND_08.c3d	302_At_T1_sh_ND_08.c3d	302_At_T1_sh_ND_08.c3d	302_At_T1_sh_ND_08.c3d	302_At_T1_sh_ND_08.c3d	302_At_T1_sh_ND_08.c3d	302_At_T1_sh_ND_08.c3d	302_At_T1_sh_ND_08.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.259986	0.356223	0.081788	0.221512	0.195626	0.186129	0.067898	0.066998	0.179697	0.396130	0.053705	0.122483	0.564560	0.419728	0.060907	0.059340	0.094860	0.115208	0.082268	0.217488	0.276550	0.186841	0.060147	0.157257	0.131614	0.133773	0.072686	0.106577	0.308945	0.244858	0.052875	0.157324	0.096066	0.087263	0.046031	0.195074	0.357210	0.361217	0.054109	0.090747
2	0.235935	0.251055	0.084824	0.220248	0.196660	0.188008	0.066989	0.080699	0.179713	0.371824	0.048559	0.127488	0.566954	0.419797	0.059538	0.048024	0.089288	0.109601	0.092626	0.211935	0.323492	0.223273	0.062702	0.151025	0.090840	0.111950	0.080113	0.100752	0.218434	0.185489	0.053346	0.155423	0.078266	0.075018	0.055120	0.199572	0.370433	0.372493	0.049936	0.092398
3	0.230685	0.225361	0.087796	0.228458	0.195390	0.187716	0.057786	0.086791	0.156381	0.295779	0.046481	0.125815	0.540314	0.389228	0.059337	0.047730	0.093549	0.108037	0.094727	0.199308	0.334718	0.234482	0.062449	0.144763	0.111379	0.146807	0.101611	0.100403	0.120879	0.119589	0.058101	0.144056	0.078502	0.073898	0.082722	0.195154	0.371409	0.375058	0.053024	0.108472
4	0.229292	0.222136	0.099819	0.260975	0.189783	0.179895	0.065296	0.086918	0.117239	0.213619	0.047529	0.125891	0.467997	0.338576	0.057458	0.056046	0.085069	0.100751	0.090562	0.196649	0.319467	0.229408	0.062824	0.149226	0.110845	0.148219	0.116499	0.100878	0.089093	0.080197	0.070825	0.132901	0.079267	0.077110	0.085797	0.203476	0.365934	0.370083	0.055815	0.120907
5	0.234896	0.230255	0.104123	0.296579	0.165290	0.155222	0.081052	0.088694	0.106655	0.168428	0.049425	0.149608	0.406669	0.318722	0.102322	0.083337	0.082486	0.106915	0.091865	0.196430	0.320111	0.227409	0.065162	0.154787	0.105868	0.143062	0.126295	0.098292	0.088896	0.065154	0.100623	0.137942	0.078791	0.078305	0.086596	0.210252	0.340119	0.352462	0.066618	0.118185
6	0.234375	0.231668	0.112828	0.303132	0.122556	0.109790	0.088076	0.093149	0.111069	0.158884	0.048707	0.145414	0.394021	0.305447	0.173561	0.112099	0.074163	0.097818	0.091544	0.199191	0.321210	0.228155	0.064133	0.157805	0.104979	0.142885	0.156343	0.113428	0.085468	0.060166	0.124429	0.147816	0.078449	0.079729	0.086238	0.191597	0.286907	0.315484	0.103636	0.123647
7	0.215091	0.207375	0.109528	0.255828	0.099189	0.083870	0.088552	0.103173	0.106703	0.155716	0.047099	0.142213	0.188576	0.133633	0.202324	0.140452	0.063116	0.083776	0.092183	0.205353	0.321899	0.227720	0.062387	0.150927	0.104703	0.143734	0.168824	0.164598	0.084173	0.059691	0.130467	0.147837	0.070062	0.077521	0.116184	0.181820	0.256300	0.279175	0.119903	0.127543
8	0.204022	0.191453	0.110401	0.229858	0.080945	0.079772	0.100802	0.108767	0.077292	0.141482	0.048843	0.153679	0.191421	0.144704	0.207105	0.143665	0.059105	0.076816	0.097337	0.177332	0.320605	0.226266	0.071507	0.133880	0.107724	0.147244	0.168330	0.164622	0.081638	0.063564	0.140203	0.146384	0.055152	0.067928	0.135018	0.214667	0.233312	0.257295	0.119695	0.127295
