	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_01.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_03.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_04.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_05.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_06.c3d	302_At_T2_sh_ND_10.c3d	302_At_T2_sh_ND_10.c3d	302_At_T2_sh_ND_10.c3d	302_At_T2_sh_ND_10.c3d	302_At_T2_sh_ND_10.c3d	302_At_T2_sh_ND_10.c3d	302_At_T2_sh_ND_10.c3d	302_At_T2_sh_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.516519	0.499133	0.153145	0.348749	0.285997	0.316985	0.247239	0.132740	0.153530	0.100046	0.089845	0.155027	0.429272	0.277417	0.111539	0.088995	0.247328	0.197850	0.112813	0.115685	0.126934	0.147829	0.228606	0.120082	0.465262	0.719000	0.208587	0.186657	0.036295	0.157971	0.286198	0.362432	0.454910	0.686376	0.084211	0.248524	0.421959	0.275260	0.151313	0.053113	0.169276	0.293300	0.093604	0.119188	0.193193	0.101144	0.156178	0.067335
2	0.509603	0.497446	0.154646	0.350169	0.214373	0.228008	0.272116	0.155593	0.166805	0.114237	0.086901	0.153451	0.467508	0.304139	0.110374	0.105139	0.244936	0.195705	0.108522	0.110791	0.123391	0.140222	0.248160	0.137838	0.444791	0.656355	0.221035	0.206958	0.035823	0.157555	0.212569	0.345548	0.415820	0.609001	0.083280	0.284925	0.409774	0.280766	0.147739	0.049565	0.144800	0.215666	0.133533	0.162986	0.187098	0.114890	0.154784	0.070707
3	0.481781	0.465185	0.159088	0.384922	0.185567	0.156901	0.304032	0.152835	0.169778	0.115467	0.062035	0.132320	0.463220	0.301099	0.110071	0.123431	0.243163	0.193246	0.103546	0.108413	0.118950	0.130538	0.270057	0.158471	0.424982	0.596574	0.230003	0.219386	0.035872	0.157133	0.206435	0.292147	0.409223	0.604644	0.108025	0.289623	0.438332	0.315504	0.149403	0.050297	0.135865	0.155309	0.137868	0.166222	0.159247	0.109049	0.169952	0.077027
4	0.329126	0.341867	0.160529	0.454711	0.186854	0.168055	0.312864	0.152022	0.169042	0.116299	0.061384	0.105919	0.419972	0.282664	0.110035	0.133700	0.236209	0.191005	0.132832	0.110029	0.109799	0.110214	0.349888	0.157065	0.402875	0.550353	0.233039	0.223703	0.036646	0.154354	0.230036	0.192010	0.398862	0.604394	0.116281	0.292090	0.479051	0.347179	0.181412	0.060653	0.111527	0.113516	0.144522	0.169862	0.145034	0.105610	0.185010	0.079397
5	0.277247	0.312408	0.164323	0.490208	0.194875	0.190432	0.316894	0.157450	0.160942	0.105676	0.143919	0.190612	0.355637	0.262015	0.111996	0.136026	0.222737	0.194591	0.178246	0.101678	0.074471	0.070256	0.382482	0.157256	0.397865	0.551012	0.191465	0.214547	0.037205	0.145572	0.235001	0.139099	0.386990	0.583498	0.116219	0.293649	0.492537	0.349981	0.218776	0.070620	0.059954	0.071279	0.149154	0.197333	0.140168	0.104928	0.181830	0.083701
6	0.253635	0.321003	0.165037	0.492594	0.193581	0.193641	0.334860	0.161166	0.163170	0.104792	0.294060	0.220647	0.344172	0.260892	0.135458	0.136239	0.209843	0.198955	0.184653	0.093542	0.054047	0.065804	0.416949	0.153793	0.398160	0.522943	0.148604	0.192731	0.036425	0.136307	0.215699	0.134641	0.302126	0.413733	0.112621	0.271955	0.475976	0.334173	0.216373	0.082820	0.059995	0.077019	0.195802	0.226482	0.126792	0.104488	0.186570	0.084721
7	0.231835	0.311202	0.167287	0.492950	0.194116	0.192010	0.340542	0.170344	0.172319	0.116418	0.301746	0.216128	0.340481	0.260914	0.144268	0.140840	0.127257	0.139605	0.187361	0.105754	0.057465	0.080638	0.425512	0.133265	0.296144	0.356778	0.145445	0.178945	0.037930	0.123879	0.185085	0.136597	0.190474	0.246150	0.096500	0.231062	0.432706	0.318862	0.206679	0.088481	0.060617	0.084178	0.197047	0.227143	0.122970	0.094104	0.198867	0.093894
8	0.219757	0.282648	0.170168	0.498553	0.194622	0.192854	0.341155	0.181796	0.162002	0.115817	0.320203	0.249657	0.337186	0.255058	0.167036	0.155946	0.081323	0.123577	0.190377	0.117569	0.057199	0.078187	0.398041	0.120776	0.162698	0.201760	0.162236	0.201038	0.040773	0.103641	0.190262	0.137624	0.129430	0.183771	0.087220	0.225639	0.420702	0.335545	0.201144	0.088693	0.056033	0.081067	0.200562	0.228847	0.105677	0.082824	0.199197	0.101314
