	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_01.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_02.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_03.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_04.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_05.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_06.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_07.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_08.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_09.c3d	305_At_T2_sh_ND_10.c3d	305_At_T2_sh_ND_10.c3d	305_At_T2_sh_ND_10.c3d	305_At_T2_sh_ND_10.c3d	305_At_T2_sh_ND_10.c3d	305_At_T2_sh_ND_10.c3d	305_At_T2_sh_ND_10.c3d	305_At_T2_sh_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.790781	0.597826	0.360275	0.554405	0.055683	0.044860	0.473249	0.199823	0.257153	0.420757	0.179740	0.279876	0.099912	0.134916	0.233116	0.090091	0.060784	0.090383	0.510804	0.272261	0.112595	0.133567	0.349683	0.167664	0.106256	0.274917	0.275910	0.227627	0.069293	0.111596	0.243233	0.098742	0.126354	0.157366	0.359170	0.189731	0.102133	0.225459	0.293544	0.162391	0.078280	0.055075	0.282555	0.379103	0.104911	0.084153	0.491916	0.336523	0.110890	0.314696	0.282040	0.254004	0.080663	0.110038	0.308819	0.333243	0.209197	0.175826	0.383937	0.141875	0.091725	0.129363	0.605476	0.141479	0.083414	0.073413	0.464865	0.291048	0.125203	0.136869	0.277688	0.182035	0.076429	0.090904	0.515008	0.354928	0.093908	0.146245	0.339936	0.109545
2	0.788723	0.601555	0.412838	0.580238	0.053176	0.044491	0.471318	0.235644	0.252108	0.397040	0.214917	0.270474	0.093807	0.101318	0.242798	0.094071	0.060064	0.081248	0.457396	0.360377	0.109648	0.132307	0.341721	0.165201	0.081706	0.274019	0.281952	0.234609	0.073181	0.108865	0.245231	0.096310	0.126700	0.151969	0.384437	0.186685	0.106757	0.240527	0.301530	0.170989	0.068840	0.054896	0.290266	0.409756	0.112571	0.100387	0.567636	0.335679	0.106721	0.299542	0.275087	0.336574	0.084542	0.110198	0.318772	0.329770	0.212577	0.173500	0.409206	0.133868	0.085672	0.119925	0.628723	0.158923	0.091884	0.070837	0.559813	0.292517	0.115414	0.129035	0.254300	0.188284	0.079926	0.096681	0.539599	0.368196	0.077482	0.145949	0.326549	0.108898
3	0.789434	0.607303	0.439918	0.588247	0.052606	0.043259	0.472636	0.273535	0.249504	0.390303	0.233768	0.246833	0.092887	0.090572	0.248279	0.094329	0.061693	0.077747	0.443024	0.394171	0.110436	0.138156	0.309719	0.164114	0.080414	0.253574	0.289254	0.233479	0.072148	0.100030	0.246156	0.084799	0.124738	0.148537	0.417960	0.191916	0.108918	0.255882	0.322122	0.164108	0.063637	0.059966	0.299051	0.424478	0.128813	0.116536	0.613151	0.324913	0.103175	0.282249	0.251225	0.404976	0.083024	0.109057	0.307746	0.332970	0.212146	0.177516	0.430390	0.132649	0.080187	0.108244	0.632685	0.165007	0.101371	0.073537	0.610877	0.290742	0.097912	0.118571	0.238061	0.189575	0.084130	0.100797	0.550144	0.363102	0.064284	0.136637	0.281711	0.110874
4	0.790199	0.614275	0.441332	0.591749	0.052541	0.042335	0.478222	0.275941	0.223560	0.369474	0.232526	0.231846	0.086686	0.090255	0.245351	0.096751	0.063751	0.076264	0.456769	0.395701	0.111678	0.138880	0.257425	0.160405	0.069346	0.171468	0.295872	0.240709	0.071430	0.090717	0.258218	0.087791	0.123181	0.146532	0.433529	0.187671	0.111500	0.261979	0.343000	0.151853	0.063912	0.067366	0.292293	0.426083	0.139234	0.122659	0.608158	0.258671	0.101115	0.262097	0.227016	0.424114	0.083904	0.124802	0.286657	0.330406	0.205373	0.177819	0.439679	0.232422	0.078087	0.103353	0.633974	0.162248	0.103392	0.074986	0.622237	0.295239	0.089486	0.117988	0.239211	0.179964	0.086539	0.102307	0.536115	0.342290	0.046159	0.091193	0.323923	0.116806
5	0.784189	0.622259	0.437206	0.588936	0.051561	0.039560	0.452072	0.272449	0.137653	0.252989	0.221097	0.235463	0.065364	0.076066	0.210872	0.112667	0.068440	0.079478	0.450107	0.397298	0.104387	0.132258	0.201014	0.139963	0.060032	0.136839	0.301184	0.300483	0.071990	0.080841	0.263493	0.091394	0.121007	0.144926	0.442575	0.176589	0.110578	0.259628	0.358293	0.147492	0.070410	0.073828	0.290065	0.421996	0.136579	0.120255	0.604848	0.188257	0.105268	0.245098	0.218917	0.425252	0.083524	0.126197	0.271419	0.319999	0.202862	0.178027	0.438572	0.313503	0.078174	0.100131	0.640483	0.162151	0.101486	0.076050	0.619835	0.322529	0.094758	0.123220	0.241480	0.160314	0.087966	0.101918	0.508797	0.322565	0.042868	0.056022	0.399101	0.115987
6	0.760493	0.626456	0.435747	0.524794	0.051289	0.040022	0.424963	0.272747	0.106099	0.159720	0.219522	0.238005	0.048970	0.053931	0.205576	0.120357	0.075315	0.084091	0.423593	0.402049	0.085520	0.110621	0.162854	0.114497	0.058056	0.136157	0.302268	0.351305	0.072010	0.066242	0.268542	0.095598	0.120037	0.143085	0.439266	0.176408	0.105555	0.250607	0.363695	0.147486	0.069697	0.074116	0.290363	0.410418	0.133563	0.120116	0.643141	0.186536	0.112130	0.231702	0.217940	0.426044	0.086372	0.125430	0.272339	0.308599	0.195738	0.166211	0.445636	0.319803	0.077325	0.097189	0.644332	0.175096	0.097845	0.078076	0.645178	0.354334	0.088554	0.116636	0.231706	0.155069	0.087690	0.101156	0.478803	0.309030	0.042876	0.055255	0.407276	0.093740
