	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_01.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_02.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_03.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_04.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_05.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_06.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_07.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_08.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_09.c3d	306_At_T1_ih_ND_10.c3d	306_At_T1_ih_ND_10.c3d	306_At_T1_ih_ND_10.c3d	306_At_T1_ih_ND_10.c3d	306_At_T1_ih_ND_10.c3d	306_At_T1_ih_ND_10.c3d	306_At_T1_ih_ND_10.c3d	306_At_T1_ih_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.214473	0.010482	0.281255	0.252863	0.591144	0.106708	0.347216	0.173232	0.351346	0.134024	0.230726	0.280428	0.187707	0.135613	0.172966	0.195407	0.372495	0.072582	0.338122	0.273925	0.450474	0.189203	0.339033	0.302115	0.230405	0.150820	0.228478	0.179893	0.402741	0.232163	0.336096	0.241415	0.544685	0.338433	0.742346	0.603669	0.248020	0.092725	0.187882	0.123719	0.979494	0.148573	0.451046	0.460807	0.245138	0.384103	0.639856	0.245690	0.629592	0.178643	0.293162	0.242702	0.126116	0.342014	0.371267	0.249460	0.703461	0.048643	0.123588	0.120749	0.125763	0.380455	0.166454	0.089515	0.258090	0.116549	0.669123	0.458167	0.233238	1.066744	0.248459	0.148691	0.383017	0.029600	0.470757	0.521977	0.101778	0.417558	0.253374	0.155620
2	0.211404	0.013598	0.260997	0.253936	0.561848	0.102843	0.342389	0.172481	0.360287	0.132768	0.234691	0.252316	0.188590	0.132077	0.171183	0.194231	0.356898	0.066830	0.327094	0.265815	0.453663	0.188563	0.336278	0.303242	0.282713	0.167498	0.193722	0.178608	0.402235	0.239271	0.388270	0.332666	0.566450	0.360040	0.777853	0.617152	0.249334	0.088681	0.181769	0.162952	0.909490	0.150890	0.551661	0.623166	0.263194	0.414796	0.621745	0.244526	0.653281	0.165874	0.277935	0.235770	0.124761	0.362132	0.371221	0.255320	0.722407	0.048418	0.124491	0.122201	0.126158	0.389734	0.150494	0.072169	0.202035	0.133729	0.620892	0.493497	0.227768	1.076639	0.242672	0.176879	0.362120	0.028414	0.470604	0.531159	0.101631	0.423250	0.277391	0.158340
3	0.231484	0.015659	0.231875	0.265221	0.525618	0.098729	0.323764	0.144045	0.351054	0.130384	0.228011	0.247932	0.170883	0.136234	0.195765	0.192867	0.339736	0.060961	0.335339	0.264870	0.452432	0.188996	0.320079	0.305785	0.326387	0.186444	0.190377	0.176655	0.413772	0.247524	0.421878	0.411872	0.562496	0.373004	0.773241	0.616649	0.249332	0.087038	0.162876	0.189280	0.659855	0.151797	0.592697	0.679174	0.273138	0.440962	0.563275	0.237509	0.647245	0.149379	0.265008	0.229600	0.132998	0.377039	0.319227	0.254085	0.732971	0.048120	0.126562	0.128181	0.127735	0.396048	0.150261	0.063905	0.177914	0.162804	0.569981	0.502962	0.227490	1.111180	0.238387	0.176367	0.332983	0.028698	0.470665	0.542547	0.095177	0.424811	0.306374	0.161256
4	0.251568	0.016732	0.206699	0.278752	0.441910	0.094483	0.311079	0.115237	0.351125	0.127348	0.202410	0.209429	0.144760	0.147170	0.191959	0.195302	0.335278	0.057106	0.368411	0.308449	0.453408	0.187206	0.276964	0.302822	0.343683	0.206505	0.192922	0.177022	0.444180	0.258929	0.435193	0.451584	0.554170	0.379224	0.815815	0.630899	0.250491	0.089512	0.163971	0.192437	0.380719	0.151932	0.601838	0.685585	0.272714	0.460294	0.459868	0.210845	0.580770	0.130105	0.269728	0.225611	0.149047	0.377936	0.245430	0.238513	0.757483	0.048320	0.127258	0.129891	0.127449	0.396864	0.146641	0.063099	0.180448	0.202275	0.550350	0.491631	0.227054	1.154355	0.222178	0.172599	0.311778	0.035072	0.483895	0.557608	0.094788	0.425226	0.335614	0.170199
5	0.254087	0.017581	0.217148	0.313618	0.374489	0.087063	0.310496	0.112965	0.346002	0.124224	0.191697	0.184221	0.151066	0.161602	0.181775	0.196228	0.334939	0.058913	0.403581	0.387992	0.455096	0.181307	0.203037	0.282859	0.368808	0.226966	0.190234	0.177044	0.446910	0.271555	0.430630	0.451471	0.550439	0.380937	0.921651	0.652981	0.253859	0.098583	0.170810	0.194577	0.289861	0.152208	0.602432	0.683013	0.270874	0.473917	0.387238	0.181969	0.544417	0.110075	0.314640	0.229782	0.148937	0.370834	0.193385	0.205552	0.756932	0.050265	0.125124	0.116959	0.123266	0.394240	0.133352	0.061741	0.212741	0.242833	0.559994	0.479128	0.225204	1.184677	0.211118	0.172100	0.309073	0.050955	0.522311	0.579248	0.086376	0.433320	0.345243	0.179358
6	0.254031	0.018860	0.224989	0.352489	0.370655	0.079107	0.303836	0.101031	0.325751	0.125478	0.188528	0.183857	0.140300	0.175628	0.193105	0.187960	0.326665	0.069219	0.404375	0.416250	0.442396	0.170430	0.136821	0.245528	0.396944	0.246340	0.174636	0.174250	0.446135	0.281492	0.421046	0.441364	0.508396	0.379708	0.999827	0.673508	0.251560	0.115745	0.171052	0.199610	0.287410	0.155683	0.613894	0.679097	0.270566	0.482818	0.370887	0.195191	0.537901	0.094424	0.376684	0.241255	0.148769	0.383073	0.180671	0.179719	0.758592	0.055934	0.131025	0.116412	0.120986	0.389751	0.111466	0.058638	0.215112	0.279104	0.580630	0.478547	0.257571	1.177221	0.211237	0.168601	0.306546	0.069224	0.576881	0.594178	0.082177	0.455617	0.341178	0.183537
