	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_01.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_02.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_03.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_04.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_05.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_07.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_08.c3d	313_At_T2_sh_R_ND_10.c3d	313_At_T2_sh_R_ND_10.c3d	313_At_T2_sh_R_ND_10.c3d	313_At_T2_sh_R_ND_10.c3d	313_At_T2_sh_R_ND_10.c3d	313_At_T2_sh_R_ND_10.c3d	313_At_T2_sh_R_ND_10.c3d	313_At_T2_sh_R_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.181829	0.243065	0.152385	0.217756	0.051807	0.212293	0.117842	0.152968	0.099823	0.190246	0.083238	0.093848	0.039054	0.093392	0.197338	0.197043	0.247406	0.499230	0.064128	0.244063	0.036267	0.091650	0.168077	0.189456	0.104070	0.370500	0.120052	0.108360	0.184435	0.315620	0.296946	0.373387	0.156507	0.345023	0.066610	0.144407	0.079567	0.308383	0.144650	0.309194	0.124575	0.265594	0.074456	0.185086	0.090366	0.238588	0.121690	0.150390	0.081666	0.211659	0.151571	0.220484	0.033177	0.119563	0.089653	0.190589	0.056383	0.164623	0.062289	0.207479	0.072448	0.165645	0.143075	0.149546
2	0.183670	0.275110	0.154217	0.242727	0.051101	0.210683	0.118843	0.148384	0.097089	0.179655	0.097388	0.093786	0.044918	0.109743	0.203899	0.194028	0.240445	0.468590	0.067685	0.245551	0.038196	0.101301	0.169809	0.190199	0.082429	0.319712	0.130194	0.124526	0.190835	0.277347	0.311060	0.367381	0.156116	0.304197	0.070307	0.218310	0.069183	0.281994	0.145260	0.315840	0.112525	0.247212	0.073187	0.178729	0.095992	0.238472	0.120119	0.175117	0.081041	0.226747	0.124268	0.229919	0.037610	0.126876	0.092685	0.186861	0.046475	0.161059	0.056068	0.228176	0.076002	0.171279	0.152528	0.143864
3	0.183217	0.287510	0.154804	0.225049	0.045685	0.182274	0.115799	0.150828	0.083117	0.143879	0.096476	0.098876	0.068822	0.149710	0.204893	0.182383	0.169458	0.404867	0.070663	0.258316	0.038105	0.134932	0.165230	0.198938	0.087129	0.272437	0.130491	0.165634	0.221963	0.243779	0.291359	0.356468	0.129700	0.226471	0.079308	0.239748	0.069255	0.286092	0.164006	0.327546	0.111231	0.210041	0.075001	0.125377	0.095133	0.238440	0.128037	0.186630	0.079906	0.228430	0.117814	0.235623	0.034597	0.122692	0.101333	0.209846	0.049962	0.179247	0.062698	0.233514	0.072936	0.186148	0.150243	0.150102
4	0.182317	0.291959	0.155485	0.209699	0.036027	0.123302	0.113833	0.152871	0.054830	0.106430	0.112037	0.102863	0.067042	0.149359	0.195910	0.200215	0.098245	0.347526	0.073641	0.259639	0.039887	0.150716	0.138796	0.216265	0.112096	0.284369	0.126221	0.304833	0.223248	0.305246	0.248913	0.379026	0.085085	0.181065	0.077541	0.261277	0.058604	0.241977	0.168736	0.317738	0.095771	0.195146	0.161968	0.149283	0.107354	0.246479	0.136537	0.176125	0.078718	0.242949	0.116763	0.242502	0.035218	0.101375	0.099546	0.187391	0.048653	0.204587	0.066748	0.250037	0.070385	0.187285	0.152157	0.152529
5	0.171096	0.289545	0.149594	0.215896	0.035236	0.119768	0.122198	0.159374	0.054543	0.107547	0.125790	0.112197	0.073544	0.170100	0.177087	0.267203	0.096844	0.339634	0.076876	0.240800	0.045187	0.149931	0.105441	0.225663	0.133263	0.299921	0.126473	0.537619	0.203920	0.355781	0.279351	0.466246	0.066720	0.163766	0.079023	0.261781	0.050597	0.214858	0.156535	0.245778	0.083430	0.201219	0.266249	0.156348	0.108706	0.243203	0.099824	0.188807	0.075079	0.212950	0.111804	0.259062	0.032464	0.091336	0.103440	0.157595	0.048671	0.195152	0.076039	0.280292	0.070158	0.186528	0.163395	0.173199
6	0.166792	0.300226	0.147971	0.242438	0.036758	0.105355	0.138394	0.168437	0.055636	0.099441	0.125139	0.119285	0.073441	0.170959	0.150360	0.271080	0.131790	0.370372	0.075623	0.225872	0.055564	0.212346	0.094500	0.220201	0.152054	0.378076	0.139802	0.553934	0.205770	0.363488	0.301791	0.481248	0.067877	0.170459	0.072035	0.300729	0.050126	0.211321	0.149118	0.248417	0.063537	0.203805	0.272528	0.150163	0.103839	0.209734	0.113927	0.323717	0.068169	0.189834	0.100043	0.260970	0.032348	0.090505	0.125821	0.201146	0.057068	0.219814	0.082829	0.306298	0.070023	0.185757	0.210268	0.235319
7	0.165420	0.300174	0.138105	0.256060	0.057096	0.111465	0.137342	0.162487	0.054957	0.090966	0.137970	0.119534	0.076380	0.185932	0.161398	0.280674	0.139531	0.452092	0.056695	0.221771	0.057615	0.219257	0.092117	0.189613	0.154490	0.479746	0.152970	0.656548	0.210372	0.416750	0.296414	0.474963	0.068805	0.165767	0.071104	0.309125	0.048583	0.181508	0.172367	0.248378	0.058227	0.204752	0.281751	0.144556	0.095674	0.184071	0.212646	0.321085	0.050775	0.174590	0.096659	0.279056	0.032817	0.087472	0.138228	0.211816	0.052239	0.212456	0.113622	0.289696	0.069853	0.163626	0.355376	0.244004
8	0.136476	0.282235	0.119697	0.257807	0.079241	0.116067	0.146068	0.158201	0.048764	0.072266	0.150093	0.100858	0.082700	0.173114	0.214963	0.297701	0.133824	0.460793	0.053096	0.260688	0.071685	0.221662	0.086719	0.161320	0.154501	0.483548	0.149405	0.727918	0.213182	0.462161	0.304303	0.506985	0.068557	0.172425	0.123795	0.327294	0.044403	0.145368	0.182813	0.229567	0.059184	0.204168	0.342011	0.148775	0.083995	0.169029	0.230043	0.387318	0.037835	0.162178	0.094285	0.270981	0.032693	0.088106	0.145083	0.215367	0.051595	0.208770	0.121098	0.270447	0.069884	0.139589	0.385616	0.254233
9	0.133649	0.289382	0.120047	0.301546	0.098100	0.119717	0.148628	0.166340	0.039429	0.053028	0.155553	0.095332	0.093013	0.174036	0.401868	0.283924	0.142117	0.473585	0.051209	0.291521	0.073134	0.221802	0.084190	0.162133	0.160557	0.510657	0.153589	0.736134	0.218235	0.473712	0.296973	0.484245	0.063736	0.170732	0.130137	0.348526	0.032886	0.121896	0.178159	0.167772	0.056273	0.174824	0.372415	0.157767	0.078680	0.151545	0.232074	0.391035	0.041125	0.162018	0.104551	0.290521	0.032581	0.078603	0.172340	0.268723	0.051262	0.204948	0.126660	0.289054	0.077587	0.129211	0.396248	0.267445
10	0.105199	0.289206	0.124836	0.497346	0.110592	0.134589	0.159543	0.201144	0.035375	0.049570	0.139716	0.094701	0.114296	0.137844	0.445538	0.284012	0.148326	0.485761	0.054651	0.250855	0.072236	0.216984	0.085948	0.168313	0.169521	0.526069	0.148639	0.744705	0.220302	0.479059	0.274457	0.522867	0.059393	0.153232	0.164657	0.320636	0.032689	0.132483	0.171236	0.158795	0.057721	0.162186	0.376107	0.158308	0.073218	0.140857	0.255470	0.425918	0.040919	0.156225	0.116797	0.287448	0.031860	0.073512	0.203381	0.328872	0.055611	0.204325	0.150196	0.317214	0.088123	0.120568	0.418157	0.268684
11	0.068188	0.250224	0.198508	0.548266	0.112435	0.137299	0.165608	0.211671	0.031599	0.048640	0.137614	0.098695	0.148136	0.161700	0.557218	0.335178	0.151498	0.494817	0.055286	0.244379	0.069857	0.210943	0.111623	0.174554	0.177611	0.553903	0.173822	0.747412	0.211298	0.485663	0.248035	0.549998	0.055206	0.118593	0.202315	0.324294	0.044297	0.159426	0.165568	0.135377	0.062468	0.165362	0.368601	0.191018	0.057482	0.122122	0.266643	0.450687	0.047749	0.147732	0.139315	0.283679	0.026785	0.053636	0.203413	0.355694	0.063863	0.206145	0.172094	0.309300	0.089508	0.136997	0.500775	0.266743
12	0.064864	0.236444	0.238097	0.576081	0.115158	0.140303	0.173595	0.216706	0.029175	0.049490	0.143247	0.116068	0.186826	0.181684	0.694079	0.315021	0.154962	0.497753	0.051648	0.229956	0.068119	0.209224	0.111693	0.175302	0.184435	0.572260	0.184431	0.755265	0.187123	0.480370	0.261674	0.567646	0.054169	0.106343	0.212082	0.293839	0.045793	0.152208	0.148514	0.165731	0.056809	0.158277	0.304139	0.185866	0.049259	0.104997	0.278144	0.463094	0.073552	0.236853	0.152397	0.295366	0.044670	0.069425	0.214024	0.340308	0.070927	0.221783	0.173862	0.294638	0.104837	0.133475	0.556993	0.296579
13	0.065155	0.228308	0.252815	0.647586	0.120115	0.139117	0.166926	0.216702	0.031979	0.055466	0.138142	0.120464	0.202848	0.182097	0.729137	0.313964	0.155157	0.498200	0.055851	0.229078	0.070432	0.211662	0.110084	0.171430	0.187111	0.578927	0.181115	0.754616	0.138472	0.442036	0.277214	0.574822	0.054008	0.113321	0.223794	0.292683	0.052890	0.183497	0.160146	0.179721	0.047448	0.142171	0.282973	0.184962	0.041815	0.093456	0.283967	0.423132	0.076844	0.243497	0.181164	0.301298	0.046329	0.070740	0.227339	0.341753	0.068346	0.211313	0.180122	0.295285	0.110141	0.129826	0.582400	0.345379
