	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_01.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_02.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_03.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_04.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_05.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_06.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_07.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_08.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_09.c3d	314_At_T1_sh_L_ND_10.c3d	314_At_T1_sh_L_ND_10.c3d	314_At_T1_sh_L_ND_10.c3d	314_At_T1_sh_L_ND_10.c3d	314_At_T1_sh_L_ND_10.c3d	314_At_T1_sh_L_ND_10.c3d	314_At_T1_sh_L_ND_10.c3d	314_At_T1_sh_L_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.069803	0.099505	0.130772	0.104221	0.854642	0.590660	0.111067	0.056890	0.026940	0.069148	0.024278	0.048443	0.029009	0.141905	0.115122	0.154362	0.351928	0.133436	0.038557	0.021733	0.114818	0.220869	0.077349	0.115155	0.052107	0.126474	0.065251	0.043858	0.035221	0.079847	0.055957	0.069831	0.136046	0.120193	0.044847	0.078618	0.063957	0.088218	0.117583	0.034713	0.220417	0.124756	0.080119	0.189502	0.033262	0.067684	0.066418	0.120138	0.103961	0.219301	0.022095	0.055868	0.124926	0.137363	0.073082	0.072593	0.107663	0.171104	0.017787	0.065656	0.053420	0.075845	0.061348	0.103195	0.059486	0.123399	0.149875	0.148922	0.093594	0.255161	0.083046	0.119542	0.282673	0.322112	0.020634	0.117619	0.093953	0.091290	0.071859	0.052754
2	0.072727	0.121163	0.155874	0.108485	0.708791	0.552489	0.121736	0.055327	0.031995	0.071292	0.066399	0.128132	0.066846	0.166774	0.119045	0.156364	0.399924	0.150786	0.042289	0.027857	0.059265	0.164782	0.079505	0.119781	0.048439	0.128019	0.061816	0.040628	0.034327	0.104582	0.062559	0.069147	0.159818	0.138360	0.045690	0.092962	0.090524	0.097876	0.115149	0.040239	0.273570	0.122047	0.075601	0.111760	0.033855	0.068476	0.066396	0.120472	0.105183	0.233168	0.018750	0.061245	0.126533	0.135893	0.081328	0.067824	0.087715	0.172026	0.031811	0.066042	0.065217	0.066813	0.061674	0.113147	0.059858	0.117357	0.149109	0.159348	0.096249	0.248325	0.084850	0.119454	0.372446	0.323507	0.020747	0.117851	0.089339	0.114925	0.073265	0.055064
3	0.103730	0.122258	0.157594	0.113888	0.683412	0.448486	0.110940	0.063723	0.060124	0.079637	0.111550	0.184914	0.078651	0.185624	0.118797	0.161393	0.389912	0.144485	0.044606	0.036107	0.055878	0.128267	0.073868	0.138326	0.043366	0.125644	0.045378	0.032191	0.028053	0.133155	0.064332	0.061024	0.171577	0.139789	0.046429	0.131262	0.106252	0.119904	0.113866	0.046966	0.275500	0.096438	0.041719	0.037674	0.035333	0.067079	0.065402	0.119898	0.107810	0.237562	0.018949	0.060641	0.118475	0.140599	0.089253	0.052382	0.085776	0.163893	0.037551	0.070425	0.075914	0.059131	0.064027	0.119920	0.064519	0.113309	0.118555	0.159828	0.080750	0.221208	0.080465	0.122576	0.368204	0.322335	0.025032	0.117811	0.087634	0.152129	0.071922	0.056281
4	0.142218	0.121112	0.158423	0.108505	0.334052	0.178804	0.106567	0.071367	0.079502	0.096357	0.123866	0.229673	0.079615	0.214086	0.119371	0.158427	0.297045	0.135285	0.046971	0.059898	0.052009	0.131062	0.074023	0.142882	0.052979	0.178001	0.032846	0.031587	0.027427	0.144641	0.064196	0.046146	0.171721	0.188379	0.052643	0.133452	0.133459	0.110322	0.100891	0.048086	0.268893	0.095486	0.041217	0.036546	0.035323	0.068694	0.062136	0.090622	0.114089	0.242109	0.018521	0.058907	0.090389	0.160106	0.089025	0.045010	0.093397	0.180939	0.038634	0.074439	0.076029	0.059343	0.064923	0.118950	0.056917	0.075171	0.086080	0.156319	0.068166	0.197245	0.077598	0.128563	0.385819	0.323571	0.031558	0.156043	0.089056	0.174564	0.068808	0.057066
5	0.286997	0.130190	0.158883	0.109229	0.132291	0.152876	0.095595	0.089787	0.084310	0.103598	0.162373	0.259238	0.087521	0.240073	0.166653	0.159858	0.248197	0.122486	0.061430	0.077855	0.083810	0.174426	0.074611	0.144131	0.054734	0.178170	0.072416	0.033492	0.025506	0.147663	0.062776	0.052005	0.167649	0.186545	0.056648	0.133645	0.168696	0.111742	0.099024	0.052311	0.290593	0.094585	0.042393	0.043754	0.030892	0.073717	0.062739	0.092460	0.114377	0.241601	0.018480	0.058986	0.066713	0.183070	0.092005	0.050427	0.103050	0.199363	0.039546	0.105162	0.077827	0.060932	0.066092	0.111409	0.054177	0.050355	0.085026	0.102797	0.066521	0.172958	0.079941	0.122484	0.387801	0.351622	0.046216	0.164739	0.083116	0.177538	0.068853	0.070163
6	0.374483	0.173099	0.146496	0.109723	0.121995	0.164950	0.098216	0.098233	0.087130	0.109715	0.166462	0.260378	0.090720	0.247412	0.198000	0.148225	0.199943	0.079525	0.091976	0.084060	0.093622	0.193528	0.065380	0.159522	0.059861	0.198886	0.078847	0.035066	0.022861	0.143420	0.078581	0.058753	0.168719	0.190130	0.056327	0.131755	0.185099	0.118847	0.100331	0.060511	0.359607	0.108415	0.077559	0.076632	0.032855	0.091532	0.054360	0.121845	0.114750	0.236299	0.020217	0.047652	0.056678	0.185220	0.099184	0.057184	0.086286	0.199300	0.078028	0.110130	0.083424	0.065772	0.074635	0.113606	0.043647	0.045864	0.086915	0.154287	0.067860	0.125963	0.079193	0.118880	0.380686	0.328606	0.052342	0.178547	0.080233	0.179583	0.063221	0.083353
