	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_01.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_02.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_03.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_04.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_05.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_06.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_07.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_08.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_09.c3d	320_At_T2_sh_ND_L_10.c3d	320_At_T2_sh_ND_L_10.c3d	320_At_T2_sh_ND_L_10.c3d	320_At_T2_sh_ND_L_10.c3d	320_At_T2_sh_ND_L_10.c3d	320_At_T2_sh_ND_L_10.c3d	320_At_T2_sh_ND_L_10.c3d	320_At_T2_sh_ND_L_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.154762	0.142520	0.220367	0.366321	0.211058	0.285325	0.467176	0.392364	0.416184	0.449863	0.277375	0.344458	0.490381	0.251400	0.422415	0.391538	0.150553	0.127062	0.294869	0.233134	0.350918	0.302511	0.336753	0.454648	0.131290	0.202093	0.468610	0.499978	0.265157	0.220479	0.421862	0.468740	0.257084	0.218781	0.360345	0.216102	0.486245	0.343473	0.376175	0.295154	0.078664	0.113090	0.276538	0.268847	0.337442	0.250249	0.313584	0.517306	0.075625	0.087731	0.364194	0.448930	0.174480	0.239983	0.445526	0.267343	0.153864	0.185101	0.312360	0.338617	0.377518	0.337998	0.342713	0.278035	0.108724	0.077688	0.224667	0.383618	0.270217	0.228492	0.516589	0.251382	0.411030	0.277595	0.277866	0.219258	0.547401	0.467302	0.552051	0.196458
2	0.192213	0.199567	0.206901	0.388759	0.207076	0.208252	0.489319	0.354334	0.414991	0.424001	0.272558	0.311095	0.510444	0.272799	0.412718	0.430591	0.122463	0.102606	0.255614	0.239061	0.353319	0.300750	0.412755	0.440214	0.103350	0.123179	0.434752	0.493737	0.264507	0.222073	0.445044	0.467225	0.261786	0.213848	0.346402	0.231097	0.515104	0.387637	0.390507	0.296582	0.082434	0.116668	0.286719	0.282173	0.328625	0.250130	0.303212	0.519696	0.078344	0.092750	0.375530	0.467948	0.201276	0.253591	0.453287	0.271441	0.183157	0.211847	0.312912	0.357502	0.302468	0.212703	0.343064	0.281964	0.094290	0.074978	0.217327	0.405456	0.279211	0.247437	0.531302	0.244651	0.410429	0.278253	0.275865	0.216780	0.544962	0.431944	0.546349	0.181433
3	0.370848	0.277065	0.176607	0.433816	0.204526	0.164837	0.497674	0.324853	0.388277	0.345404	0.241381	0.305349	0.520790	0.282477	0.377658	0.438020	0.109154	0.094524	0.244659	0.240363	0.338437	0.287239	0.466422	0.423317	0.102618	0.095956	0.428804	0.488263	0.258469	0.228052	0.452497	0.469164	0.273194	0.236456	0.329719	0.256338	0.524015	0.373644	0.393718	0.288857	0.094215	0.123218	0.279056	0.307900	0.319453	0.245986	0.302212	0.521977	0.089641	0.104065	0.386968	0.466348	0.211718	0.255069	0.451263	0.275214	0.211973	0.241991	0.321982	0.367625	0.225293	0.143451	0.342428	0.272787	0.113249	0.079815	0.281036	0.416445	0.299743	0.254981	0.524979	0.247573	0.413762	0.285395	0.276094	0.208330	0.454459	0.353383	0.537760	0.162946
4	0.575943	0.299316	0.177164	0.430596	0.223397	0.183589	0.480720	0.312644	0.342899	0.254526	0.245750	0.244840	0.499975	0.276770	0.340272	0.435595	0.108808	0.094719	0.247379	0.227398	0.299822	0.257084	0.469272	0.403609	0.103561	0.096004	0.424918	0.496914	0.228169	0.210999	0.436118	0.485355	0.360614	0.297448	0.290286	0.270557	0.407380	0.284512	0.396890	0.288799	0.109095	0.133487	0.264589	0.334299	0.311452	0.242307	0.302541	0.527471	0.090089	0.108681	0.378593	0.462513	0.211153	0.253489	0.443736	0.288543	0.226466	0.255314	0.346703	0.366995	0.206185	0.136546	0.395887	0.265535	0.125684	0.080238	0.421707	0.422730	0.323518	0.252433	0.522183	0.256616	0.417832	0.301591	0.254130	0.198262	0.283883	0.274246	0.529383	0.151319
5	0.648646	0.374532	0.187725	0.403433	0.220625	0.175944	0.428329	0.305184	0.293118	0.227487	0.268366	0.148616	0.470139	0.290939	0.329388	0.427936	0.103519	0.094620	0.242000	0.182249	0.286184	0.241225	0.453773	0.398669	0.101368	0.104679	0.426811	0.508041	0.209027	0.198852	0.428047	0.502715	0.401933	0.311837	0.264715	0.334530	0.337432	0.264259	0.393015	0.293139	0.151764	0.156799	0.251287	0.349826	0.311060	0.242750	0.313374	0.529053	0.092771	0.125225	0.339515	0.465587	0.210680	0.252095	0.471218	0.300358	0.232604	0.258067	0.350992	0.364204	0.209579	0.139956	0.500642	0.263038	0.125811	0.074616	0.480378	0.423672	0.333842	0.277761	0.523322	0.261657	0.425346	0.308996	0.192862	0.198241	0.242433	0.248312	0.551875	0.170358
6	0.669162	0.386152	0.195815	0.395821	0.222706	0.213711	0.370288	0.306390	0.243609	0.221241	0.256985	0.117679	0.461301	0.290675	0.329763	0.419684	0.111590	0.103819	0.230400	0.162640	0.286744	0.239417	0.450865	0.403358	0.092544	0.106932	0.413104	0.504905	0.206255	0.197427	0.428810	0.511441	0.409583	0.305147	0.259156	0.363658	0.337162	0.257955	0.380342	0.292663	0.194468	0.182380	0.232799	0.356913	0.307934	0.236926	0.346939	0.530886	0.111944	0.157711	0.345558	0.468076	0.208492	0.239672	0.527106	0.303546	0.232493	0.253363	0.350461	0.358675	0.210461	0.140081	0.590394	0.260295	0.135417	0.073176	0.485447	0.434151	0.343710	0.294343	0.547024	0.273818	0.410827	0.285843	0.182268	0.190205	0.233294	0.225579	0.607501	0.214450
