	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_01.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_02.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_03.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_04.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_05.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_06.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_07.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_08.c3d	324_At_T1_sh_L_ND_09.c3d	324_At_T1_sh_L_ND_09.c3d	324_At_T1_sh_L_ND_09.c3d	324_At_T1_sh_L_ND_09.c3d	324_At_T1_sh_L_ND_09.c3d	324_At_T1_sh_L_ND_09.c3d	324_At_T1_sh_L_ND_09.c3d	324_At_T1_sh_L_ND_09.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.629845	0.055362	0.211528	0.143977	0.430181	0.033029	0.693310	0.261403	0.709388	0.105595	0.214709	0.163139	0.160435	0.016812	0.504539	0.263838	0.459797	0.039214	0.584484	0.247591	0.223706	0.020791	0.993099	0.170605	0.424562	0.079038	0.162971	0.072831	0.160282	0.028521	0.469650	0.251473	0.355460	0.051976	0.222517	0.066045	0.126191	0.009505	0.558926	0.310555	0.657633	0.066704	0.428395	0.236051	0.199268	0.019185	0.276900	0.259398	0.597406	0.047205	0.273214	0.154334	0.101894	0.024956	0.492426	0.229425	0.555679	0.055254	0.191641	0.180984	0.069124	0.012942	0.315873	0.443270	0.404978	0.031942	0.161147	0.190872	0.316019	0.022936	0.617712	0.512458
2	0.635058	0.057060	0.239620	0.144097	0.431863	0.033029	0.741328	0.298148	0.680763	0.102362	0.215157	0.159578	0.156681	0.015786	0.494894	0.262390	0.453759	0.037315	0.589051	0.249370	0.222271	0.020784	1.017251	0.170797	0.377947	0.080345	0.168914	0.059600	0.105779	0.023756	0.500874	0.295385	0.348578	0.050943	0.205126	0.071998	0.123448	0.010205	0.557535	0.320260	0.647822	0.064573	0.429694	0.223295	0.186564	0.018601	0.294973	0.260267	0.618737	0.047995	0.272283	0.166581	0.101893	0.024965	0.495126	0.229228	0.555987	0.055142	0.221048	0.182418	0.090907	0.014822	0.435306	0.510510	0.439090	0.031889	0.166981	0.190034	0.312172	0.021822	0.639304	0.504716
3	0.660537	0.058673	0.244867	0.131271	0.434682	0.033122	0.752050	0.297476	0.627576	0.096327	0.248295	0.156401	0.149795	0.014259	0.505288	0.273289	0.438709	0.036652	0.585573	0.249370	0.221808	0.021174	1.031919	0.177759	0.379813	0.082932	0.182603	0.072006	0.071103	0.021401	0.549339	0.294594	0.303209	0.046462	0.206191	0.088795	0.086117	0.010072	0.570267	0.317228	0.533276	0.053564	0.427240	0.226060	0.172398	0.017373	0.314111	0.259262	0.627001	0.048223	0.269132	0.183298	0.099893	0.024260	0.496584	0.229091	0.540955	0.052170	0.228700	0.189016	0.102460	0.015154	0.546170	0.529087	0.403962	0.030802	0.175976	0.202054	0.298345	0.019234	0.650264	0.435657
4	0.692689	0.061438	0.247678	0.128062	0.439387	0.033299	0.753199	0.271085	0.587142	0.089239	0.249384	0.179143	0.143477	0.013883	0.531739	0.294479	0.426636	0.034272	0.561400	0.245303	0.210095	0.020282	1.041905	0.180000	0.380087	0.083157	0.199557	0.094490	0.075972	0.021689	0.616999	0.311417	0.248090	0.032852	0.214760	0.100519	0.077309	0.009709	0.601084	0.286979	0.415501	0.040425	0.400109	0.226121	0.158510	0.016526	0.319586	0.259713	0.628079	0.048203	0.271287	0.182323	0.097297	0.021991	0.497119	0.228431	0.521639	0.049182	0.227141	0.191126	0.103411	0.015017	0.577835	0.529658	0.426388	0.032682	0.188328	0.220045	0.267497	0.016361	0.640090	0.321513
5	0.694504	0.061005	0.258243	0.128123	0.441101	0.032385	0.753544	0.269859	0.553466	0.085206	0.242731	0.186172	0.140401	0.014459	0.566902	0.300648	0.421648	0.032419	0.524156	0.218089	0.196776	0.018371	1.042320	0.185200	0.372804	0.081582	0.203313	0.098607	0.077594	0.023229	0.659407	0.316830	0.248646	0.027429	0.205058	0.107391	0.077595	0.009103	0.617971	0.239857	0.379071	0.035540	0.368512	0.225497	0.159912	0.016781	0.319773	0.261629	0.624009	0.047547	0.276499	0.185352	0.096907	0.021128	0.496884	0.234772	0.504792	0.048580	0.228819	0.193481	0.103421	0.015238	0.581679	0.528097	0.439332	0.033101	0.183898	0.222581	0.226200	0.013486	0.547885	0.276095
6	0.658926	0.057520	0.243168	0.123942	0.440676	0.031695	0.766798	0.272347	0.534120	0.084815	0.231186	0.185462	0.142044	0.014698	0.618373	0.302312	0.419093	0.032532	0.495208	0.220134	0.184033	0.018333	1.042207	0.193310	0.337920	0.078572	0.219472	0.098476	0.130895	0.029031	0.663810	0.315454	0.251852	0.027376	0.195832	0.105303	0.077623	0.009302	0.573418	0.239078	0.379698	0.033416	0.347523	0.231812	0.172111	0.016934	0.324592	0.265512	0.607420	0.044853	0.286343	0.190874	0.090054	0.020563	0.486577	0.241566	0.498699	0.048276	0.236717	0.189608	0.103477	0.015410	0.582916	0.552526	0.439516	0.032860	0.175971	0.221910	0.201984	0.012970	0.420254	0.284881
