	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_01.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_02.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_03.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_07.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_08.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_09.c3d	325_At_T1_sh_L_ND_10.c3d	325_At_T1_sh_L_ND_10.c3d	325_At_T1_sh_L_ND_10.c3d	325_At_T1_sh_L_ND_10.c3d	325_At_T1_sh_L_ND_10.c3d	325_At_T1_sh_L_ND_10.c3d	325_At_T1_sh_L_ND_10.c3d	325_At_T1_sh_L_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.551050	0.799856	0.408896	0.326450	0.480983	0.440946	0.160935	0.117667	0.737319	0.386495	0.287121	0.188193	0.276648	0.557827	0.148120	0.109697	0.671278	0.564795	0.154324	0.092412	0.190749	0.224866	0.289612	0.177112	1.243468	0.504701	0.320930	0.211176	0.187860	0.511415	0.225320	0.137253	0.798905	0.296864	0.204823	0.178423	0.552383	0.239499	0.320716	0.178069	0.547269	0.583922	0.124195	0.195048	0.162083	0.210986	0.261841	0.142260	0.688910	0.434337	0.249121	0.126092	0.231109	0.425992	0.098219	0.054311
2	0.581392	0.798331	0.443587	0.319752	0.645280	0.508003	0.197568	0.145144	0.744628	0.388344	0.288391	0.173759	0.224525	0.624826	0.149219	0.115685	0.598943	0.578875	0.155306	0.080666	0.206705	0.231475	0.298857	0.166421	1.201533	0.503414	0.315803	0.209432	0.214001	0.549407	0.245337	0.188402	0.787955	0.277363	0.182016	0.171463	0.298507	0.216749	0.354251	0.180622	0.531462	0.586101	0.105146	0.189061	0.172742	0.221635	0.329091	0.133828	0.649786	0.420235	0.262779	0.137702	0.394759	0.540463	0.105734	0.051588
3	0.561354	0.797833	0.444635	0.323009	0.728228	0.527273	0.268233	0.160035	0.748731	0.382544	0.295460	0.156762	0.220073	0.602428	0.151911	0.129655	0.557634	0.576627	0.149283	0.075102	0.206402	0.231338	0.310331	0.172146	1.185986	0.492252	0.304213	0.214389	0.227452	0.532938	0.266093	0.192107	0.759233	0.273227	0.182213	0.157905	0.168516	0.202864	0.378791	0.178299	0.530136	0.591677	0.118102	0.180898	0.211465	0.291458	0.376878	0.138259	0.610410	0.418616	0.269959	0.144943	0.437230	0.565221	0.115756	0.063432
4	0.554247	0.771036	0.432623	0.324006	0.726252	0.496485	0.309356	0.155028	0.749876	0.364470	0.307210	0.163007	0.230704	0.670864	0.170957	0.196457	0.612524	0.535247	0.134496	0.087544	0.198114	0.248109	0.317074	0.175634	1.189017	0.479121	0.288134	0.220755	0.226006	0.532242	0.275783	0.194366	0.718985	0.253130	0.222650	0.153925	0.125762	0.217618	0.378805	0.186758	0.528701	0.592319	0.135619	0.179639	0.207892	0.339083	0.376173	0.150110	0.612913	0.380011	0.270314	0.146717	0.422804	0.519635	0.134225	0.073718
5	0.519799	0.719525	0.431490	0.298732	0.764661	0.506190	0.316332	0.145523	0.739668	0.348435	0.316328	0.175820	0.232340	0.710084	0.209249	0.209807	0.589664	0.476794	0.140438	0.116896	0.179076	0.255586	0.318822	0.162094	1.181796	0.476243	0.284860	0.224886	0.209574	0.531195	0.286471	0.193048	0.702396	0.243990	0.261308	0.159518	0.122576	0.215756	0.366124	0.212129	0.507505	0.565718	0.130366	0.186468	0.210779	0.454505	0.384434	0.143484	0.622887	0.316423	0.269431	0.147379	0.394162	0.507973	0.165002	0.076373
6	0.518589	0.701676	0.432259	0.256388	0.812921	0.507057	0.322517	0.136475	0.743514	0.343637	0.326438	0.186514	0.232826	0.711599	0.206496	0.220354	0.532588	0.468640	0.161431	0.150497	0.176095	0.285724	0.321962	0.160057	1.144463	0.463183	0.284695	0.224967	0.169506	0.504520	0.264012	0.197617	0.770856	0.287023	0.304113	0.168304	0.110870	0.217700	0.304087	0.228011	0.450567	0.545999	0.125738	0.187495	0.204939	0.466388	0.365447	0.146316	0.621896	0.233671	0.264622	0.147570	0.394048	0.496465	0.199326	0.074624
