	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_02.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_03.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_04.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_05.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_06.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_07.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_08.c3d	327_At_T1_sh_L_ND_10.c3d	327_At_T1_sh_L_ND_10.c3d	327_At_T1_sh_L_ND_10.c3d	327_At_T1_sh_L_ND_10.c3d	327_At_T1_sh_L_ND_10.c3d	327_At_T1_sh_L_ND_10.c3d	327_At_T1_sh_L_ND_10.c3d	327_At_T1_sh_L_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.260803	0.561147	0.116017	0.069523	0.392559	0.242636	0.149207	0.274616	0.237355	0.481837	0.302282	0.185740	0.633646	0.769522	0.229524	0.288969	0.672622	0.582932	0.214729	0.169092	0.585074	0.649517	0.209697	0.260614	0.073544	0.220057	0.139486	0.234017	0.252817	0.387137	0.284114	0.301729	0.204169	0.309507	0.134808	0.121033	0.152880	0.494347	0.149927	0.237566	0.145865	0.549326	0.104144	0.157900	0.504924	0.452219	0.252738	0.124478	0.377666	0.482158	0.120939	0.266610	0.177270	0.339109	0.172725	0.119865	0.245759	0.337443	0.130496	0.190621	0.177897	0.667684	0.235561	0.247250
2	0.241536	0.512333	0.114710	0.094729	0.379441	0.251228	0.126107	0.228848	0.239967	0.472273	0.306049	0.213610	0.621291	0.756681	0.226026	0.279785	0.587415	0.523460	0.203044	0.131894	0.651697	0.702251	0.209290	0.246325	0.076835	0.196962	0.138458	0.237481	0.247380	0.378007	0.285010	0.308699	0.209777	0.336559	0.135379	0.131917	0.150541	0.495255	0.151904	0.233483	0.163151	0.503237	0.101450	0.197804	0.429009	0.366167	0.265003	0.138569	0.325138	0.365228	0.124585	0.258742	0.176690	0.312471	0.181162	0.124549	0.247912	0.381597	0.128567	0.190326	0.160631	0.575513	0.246982	0.221858
3	0.268823	0.502441	0.114705	0.111877	0.371821	0.254227	0.119430	0.181071	0.224307	0.431144	0.305909	0.219796	0.659522	0.786312	0.228767	0.297913	0.581817	0.525865	0.198757	0.146656	0.658198	0.704991	0.218699	0.244684	0.083723	0.201543	0.132623	0.209477	0.231579	0.381273	0.209443	0.330278	0.207689	0.334304	0.135009	0.149775	0.142297	0.492773	0.139095	0.227511	0.160646	0.489157	0.104098	0.227977	0.365543	0.324035	0.268575	0.143867	0.249557	0.374765	0.123030	0.249629	0.173184	0.306343	0.197237	0.167281	0.256134	0.429932	0.130469	0.185073	0.153831	0.527928	0.232188	0.200879
4	0.233261	0.436881	0.109836	0.128229	0.294902	0.258993	0.127521	0.203193	0.212500	0.314247	0.312045	0.233070	0.711601	0.901172	0.232383	0.321474	0.418295	0.469354	0.200004	0.159927	0.659929	0.723191	0.213112	0.258738	0.080930	0.185780	0.141083	0.198658	0.178950	0.322808	0.185889	0.339707	0.206698	0.329495	0.134008	0.171414	0.142737	0.482900	0.135786	0.234817	0.162617	0.382356	0.104934	0.234025	0.362011	0.370517	0.268969	0.130255	0.211211	0.391269	0.122679	0.242609	0.158921	0.303343	0.191485	0.199718	0.276086	0.458192	0.111898	0.169647	0.144213	0.533024	0.220821	0.182693
5	0.217732	0.316799	0.130088	0.133135	0.252338	0.258451	0.132475	0.215079	0.247610	0.270678	0.327509	0.241298	0.801229	1.079039	0.236420	0.338218	0.301224	0.476499	0.196674	0.154071	0.661640	0.730553	0.191077	0.247336	0.084391	0.186554	0.166533	0.206339	0.122577	0.231906	0.192987	0.334575	0.209096	0.340874	0.132284	0.182084	0.140710	0.481065	0.159052	0.250183	0.176586	0.342203	0.096708	0.231909	0.368007	0.443638	0.263806	0.131106	0.211731	0.390608	0.121997	0.245533	0.144138	0.298339	0.184142	0.206760	0.298020	0.488540	0.107588	0.165085	0.117751	0.525672	0.218899	0.160583
6	0.217695	0.333278	0.134389	0.139068	0.247192	0.292278	0.176312	0.215174	0.244202	0.241507	0.309320	0.244111	0.833140	1.103693	0.241471	0.329427	0.279671	0.452456	0.196826	0.151455	0.668293	0.847302	0.193507	0.227304	0.085523	0.196557	0.190523	0.181210	0.120543	0.230199	0.213276	0.349660	0.201838	0.340220	0.144353	0.175584	0.141581	0.479489	0.202188	0.246484	0.175531	0.333639	0.097033	0.214583	0.365569	0.455190	0.267655	0.131723	0.202432	0.352673	0.123321	0.254827	0.127436	0.301613	0.187099	0.200528	0.318542	0.498599	0.126475	0.168334	0.087147	0.449472	0.218827	0.160552
7	0.216058	0.332370	0.137678	0.209552	0.230767	0.309987	0.189902	0.196308	0.253528	0.237795	0.305778	0.240930	0.832869	1.081159	0.242442	0.294154	0.208908	0.506127	0.193664	0.153207	0.673027	0.884166	0.198552	0.222509	0.088296	0.193486	0.194045	0.186487	0.083419	0.222277	0.224343	0.366002	0.200943	0.342021	0.148057	0.167164	0.141581	0.496141	0.218518	0.239263	0.172227	0.293540	0.097815	0.247821	0.364643	0.461712	0.305499	0.172610	0.140351	0.338078	0.138628	0.249808	0.104201	0.290278	0.177716	0.204112	0.309497	0.480867	0.146622	0.163096	0.091068	0.363942	0.229437	0.211227
8	0.215267	0.334139	0.195725	0.314714	0.201872	0.303643	0.190965	0.192855	0.261444	0.238099	0.300987	0.257535	0.834155	1.080263	0.262067	0.285436	0.174395	0.546557	0.194493	0.158396	0.669474	0.880002	0.216991	0.220354	0.094318	0.224472	0.190397	0.239256	0.057614	0.224324	0.222547	0.369398	0.193822	0.338615	0.148921	0.207545	0.145224	0.488014	0.218361	0.246330	0.163994	0.243489	0.141586	0.334863	0.357157	0.468095	0.303930	0.216608	0.093940	0.332148	0.120871	0.233346	0.100355	0.277967	0.183900	0.227908	0.340515	0.511291	0.152293	0.200024	0.089644	0.361156	0.222725	0.252551
9	0.209866	0.326018	0.342059	0.346317	0.190147	0.293520	0.202764	0.223533	0.265080	0.234793	0.353433	0.279213	0.832013	1.075223	0.280941	0.286438	0.172571	0.625543	0.225738	0.190168	0.649808	0.864217	0.233803	0.217093	0.081834	0.228133	0.175719	0.237579	0.057323	0.233372	0.229307	0.359798	0.157246	0.304213	0.142925	0.236964	0.128013	0.420620	0.217739	0.246370	0.152542	0.215998	0.150560	0.358295	0.345485	0.486423	0.260211	0.221912	0.067722	0.336738	0.123033	0.207159	0.073740	0.231813	0.202823	0.285774	0.410077	0.664422	0.154210	0.259148	0.092012	0.342753	0.279071	0.268587
10	0.194392	0.308739	0.369797	0.349438	0.134395	0.292566	0.209738	0.224927	0.267524	0.246056	0.367363	0.298661	0.814737	1.059462	0.324802	0.300416	0.171641	0.651276	0.280533	0.252802	0.577579	0.782519	0.219296	0.208165	0.073544	0.244503	0.180448	0.258288	0.056912	0.259895	0.224849	0.377074	0.152808	0.321244	0.108511	0.238438	0.113715	0.384976	0.224518	0.228811	0.144591	0.195009	0.154960	0.359545	0.309035	0.485051	0.265888	0.220477	0.069556	0.341568	0.110304	0.213314	0.075707	0.259164	0.217313	0.367506	0.429447	0.790768	0.176680	0.278843	0.094715	0.281314	0.413248	0.270849
11	0.191997	0.301736	0.368863	0.348534	0.106708	0.313937	0.211364	0.221400	0.271240	0.266448	0.365452	0.312685	0.767111	1.008296	0.347165	0.282854	0.179498	0.701570	0.293580	0.276919	0.504066	0.729390	0.205453	0.233006	0.088984	0.251775	0.185816	0.280000	0.056995	0.264886	0.220109	0.434161	0.184755	0.324225	0.136525	0.241927	0.123211	0.369962	0.268621	0.214314	0.144473	0.171352	0.169744	0.365620	0.301035	0.507339	0.347986	0.217265	0.069872	0.331861	0.115084	0.215177	0.085215	0.273443	0.213841	0.405142	0.414596	0.844731	0.230400	0.274488	0.104226	0.285256	0.531591	0.303650
12	0.171711	0.259787	0.384779	0.343378	0.106594	0.312301	0.236542	0.243781	0.274334	0.270236	0.358887	0.317534	0.689649	0.927279	0.427086	0.293657	0.181661	0.698792	0.285464	0.281162	0.476313	0.721655	0.232814	0.249845	0.093577	0.271320	0.183239	0.278814	0.065079	0.262116	0.216235	0.538337	0.230109	0.303169	0.203800	0.248258	0.113503	0.276412	0.320328	0.197473	0.144910	0.157649	0.203170	0.373328	0.196383	0.510913	0.489013	0.213383	0.068480	0.332509	0.129800	0.211908	0.094945	0.278781	0.221128	0.406373	0.405211	0.861059	0.329951	0.268027	0.114244	0.304558	0.545219	0.412003
13	0.117927	0.208398	0.440190	0.337154	0.105188	0.305872	0.241456	0.321415	0.282481	0.276502	0.378305	0.304660	0.610748	0.843179	0.508255	0.304161	0.176750	0.698908	0.287831	0.279543	0.466246	0.704618	0.249435	0.232381	0.106235	0.274023	0.180404	0.275342	0.084460	0.270792	0.223760	0.622319	0.233217	0.294842	0.213170	0.254905	0.100848	0.248984	0.318746	0.171459	0.153420	0.192374	0.219323	0.388856	0.158996	0.511730	0.545929	0.215844	0.063942	0.329385	0.127828	0.206899	0.102187	0.288492	0.259583	0.412050	0.404984	0.862656	0.369140	0.263706	0.142452	0.339166	0.571497	0.471837
