	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.154950	0.090961	0.315016	0.262970	0.181525	0.298270	0.273412	0.246193	0.478917	0.323486	0.228258	0.151118	0.168519	0.630207	0.210154	0.271668	0.412359	0.389851	0.261059	0.224777	0.163103	0.273571	0.203327	0.343075	0.075157	0.272849	0.209070	0.172509	0.276735	0.649646	0.206434	0.320805	0.234740	0.285259	0.327129	0.126560	0.210541	0.477914	0.116608	0.229477	0.150992	0.292171	0.178298	0.140911	0.179843	0.441589	0.110226	0.210075
2	0.117120	0.088134	0.330959	0.292665	0.180532	0.300734	0.250586	0.212862	0.477214	0.297123	0.221825	0.154704	0.141971	0.519945	0.214885	0.292616	0.382462	0.380561	0.259508	0.219243	0.138466	0.311884	0.213276	0.373189	0.086722	0.185120	0.242594	0.172789	0.237922	0.578656	0.236816	0.318681	0.231908	0.301701	0.294775	0.084992	0.203992	0.479559	0.138304	0.241256	0.124397	0.239082	0.187542	0.164663	0.182337	0.444003	0.106287	0.220752
3	0.099089	0.087360	0.358155	0.300638	0.178801	0.307200	0.244910	0.211215	0.407536	0.282999	0.214024	0.146281	0.174003	0.517172	0.210154	0.329042	0.377954	0.381755	0.256969	0.217977	0.166789	0.371553	0.241778	0.374586	0.122415	0.216628	0.233944	0.171521	0.231469	0.500431	0.333771	0.323553	0.234938	0.301055	0.212124	0.094510	0.174282	0.480970	0.137270	0.220907	0.116135	0.223469	0.209323	0.168556	0.175931	0.430104	0.098070	0.213728
4	0.117790	0.108021	0.352191	0.311723	0.177088	0.291685	0.235991	0.229695	0.372679	0.276554	0.182595	0.151190	0.210473	0.515387	0.266570	0.370413	0.362186	0.357574	0.184120	0.211057	0.164380	0.374783	0.240930	0.378377	0.147816	0.293367	0.229555	0.179675	0.179180	0.459048	0.344221	0.323534	0.224106	0.296770	0.191749	0.132433	0.192375	0.527115	0.134201	0.207752	0.125153	0.225547	0.209923	0.168734	0.173905	0.437889	0.099233	0.259419
5	0.148419	0.237902	0.324637	0.313208	0.179312	0.292919	0.218061	0.199054	0.289790	0.271423	0.191551	0.166555	0.209412	0.509246	0.423271	0.443950	0.330948	0.391815	0.172013	0.194455	0.160040	0.373459	0.247805	0.378366	0.150012	0.329577	0.235335	0.172154	0.151404	0.324806	0.347799	0.324543	0.218337	0.255723	0.195491	0.136348	0.219831	0.577976	0.218807	0.359437	0.117938	0.226056	0.211672	0.197291	0.180266	0.451168	0.131676	0.266652
6	0.153338	0.275056	0.292307	0.316571	0.150759	0.271036	0.205824	0.203926	0.181213	0.218542	0.210881	0.202391	0.218204	0.556188	0.437347	0.443814	0.164425	0.335683	0.179015	0.195520	0.163872	0.442199	0.314400	0.376764	0.154967	0.338860	0.238065	0.170452	0.099731	0.262527	0.338448	0.327777	0.230080	0.280128	0.184400	0.142956	0.210240	0.598910	0.306503	0.484519	0.122770	0.218196	0.199271	0.198192	0.313639	0.535963	0.326332	0.322236
7	0.164794	0.295720	0.291874	0.341671	0.119343	0.226601	0.229298	0.254684	0.159664	0.216614	0.176949	0.205825	0.230969	0.568380	0.477973	0.463974	0.133738	0.337114	0.164085	0.178840	0.186324	0.578841	0.345956	0.321781	0.167572	0.347330	0.221762	0.175597	0.109484	0.236702	0.352346	0.331201	0.222888	0.275661	0.175162	0.142493	0.220922	0.623516	0.360353	0.555577	0.113281	0.192658	0.278988	0.455570	0.319537	0.487739	0.515833	0.342175
