	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_01.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_02.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_04.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_05.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_06.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_07.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_08.c3d	202_C_T2_ih_ND_10.c3d	202_C_T2_ih_ND_10.c3d	202_C_T2_ih_ND_10.c3d	202_C_T2_ih_ND_10.c3d	202_C_T2_ih_ND_10.c3d	202_C_T2_ih_ND_10.c3d	202_C_T2_ih_ND_10.c3d	202_C_T2_ih_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.222374	0.155431	0.204255	0.122972	0.171850	0.125245	0.220507	0.118713	0.222445	0.116776	0.252023	0.075980	0.286860	0.126120	0.258877	0.134525	0.272491	0.232039	0.257736	0.148466	0.523201	0.253166	0.140884	0.176324	0.205070	0.115896	0.245096	0.152767	0.092480	0.118107	0.268596	0.103076	0.102587	0.182499	0.153935	0.127536	0.304421	0.180844	0.250835	0.135382	0.115703	0.236609	0.117649	0.095994	0.037439	0.044764	0.286355	0.191747	0.383155	0.359830	0.239749	0.162817	0.376611	0.213331	0.302169	0.239987	0.060325	0.152696	0.367483	0.256659	0.060740	0.051085	0.349951	0.092512
2	0.223157	0.158311	0.205005	0.154102	0.144235	0.111912	0.221110	0.105944	0.226710	0.117722	0.250971	0.073550	0.284992	0.117128	0.257661	0.134311	0.267254	0.231775	0.283994	0.203916	0.540658	0.257532	0.132762	0.162383	0.218486	0.115353	0.250073	0.152778	0.129102	0.118968	0.248603	0.090926	0.088839	0.180089	0.161849	0.149238	0.286077	0.234056	0.224164	0.101490	0.132346	0.247272	0.114755	0.106750	0.031420	0.039489	0.286496	0.191302	0.361009	0.342009	0.233859	0.146206	0.374229	0.211083	0.305339	0.231563	0.061780	0.149122	0.363817	0.238565	0.073097	0.054075	0.321983	0.085622
3	0.223912	0.157538	0.206404	0.194153	0.081699	0.099712	0.225996	0.106526	0.229399	0.119363	0.222506	0.073890	0.272739	0.111652	0.248558	0.137559	0.266645	0.226978	0.287286	0.247507	0.540890	0.258464	0.141646	0.156258	0.222640	0.115886	0.251437	0.152380	0.134717	0.136261	0.180768	0.054346	0.082494	0.152866	0.167763	0.169998	0.281714	0.261516	0.214599	0.124118	0.132109	0.219794	0.125536	0.129413	0.023477	0.029996	0.283099	0.182384	0.361332	0.341980	0.236730	0.145172	0.389333	0.200973	0.308798	0.187563	0.064802	0.133988	0.346794	0.191904	0.081870	0.055912	0.305103	0.088013
4	0.222624	0.162580	0.208972	0.251053	0.081280	0.134704	0.223920	0.105581	0.239853	0.118162	0.193241	0.088229	0.272574	0.104670	0.239773	0.142417	0.223784	0.216575	0.262200	0.247653	0.541677	0.257947	0.181521	0.150434	0.225957	0.126964	0.251749	0.152591	0.144472	0.132705	0.176375	0.045388	0.076539	0.130181	0.223095	0.171308	0.190817	0.248659	0.214518	0.153232	0.138561	0.193935	0.243334	0.261769	0.023594	0.029385	0.276299	0.153889	0.358569	0.330532	0.234033	0.146277	0.329247	0.167839	0.290446	0.133601	0.063344	0.133486	0.332157	0.220540	0.083307	0.067815	0.297005	0.088475
5	0.242038	0.176329	0.213104	0.256178	0.112744	0.133925	0.210012	0.103922	0.234324	0.116730	0.284760	0.088923	0.179003	0.066934	0.234808	0.141499	0.216969	0.214480	0.244901	0.244138	0.534019	0.245324	0.192772	0.139088	0.228421	0.128747	0.252300	0.162024	0.159884	0.116958	0.204927	0.065872	0.077753	0.127846	0.316340	0.189058	0.091130	0.227777	0.213477	0.151972	0.177602	0.171733	0.342691	0.306431	0.025962	0.029246	0.229728	0.137277	0.344864	0.294316	0.247418	0.175597	0.287091	0.138506	0.208512	0.107900	0.062440	0.121696	0.320498	0.222382	0.091529	0.078290	0.294863	0.080110
6	0.274248	0.178086	0.214840	0.263066	0.113937	0.134401	0.196295	0.114055	0.233464	0.127688	0.336570	0.085577	0.087508	0.060395	0.207115	0.135308	0.204261	0.208403	0.265157	0.248406	0.490504	0.214491	0.200838	0.131902	0.230629	0.129090	0.254734	0.170936	0.201917	0.129742	0.272896	0.071161	0.075610	0.125113	0.373904	0.198337	0.076795	0.235310	0.199209	0.147034	0.155185	0.147450	0.374351	0.321489	0.025612	0.028730	0.232228	0.142703	0.315327	0.232488	0.341470	0.363733	0.281731	0.117728	0.156382	0.103509	0.057841	0.072666	0.312036	0.218751	0.137642	0.096512	0.261441	0.076433
7	0.278587	0.179610	0.217216	0.269947	0.114911	0.127102	0.223626	0.117612	0.207720	0.133433	0.337591	0.087003	0.082579	0.112315	0.166877	0.124123	0.192795	0.115346	0.299777	0.267704	0.434989	0.189344	0.223386	0.129901	0.235232	0.131310	0.255994	0.160273	0.207169	0.152085	0.301703	0.078824	0.077546	0.125064	0.387291	0.197937	0.073617	0.239159	0.232333	0.156361	0.184276	0.138499	0.380281	0.358695	0.026318	0.033522	0.245812	0.148655	0.256222	0.229363	0.391860	0.484902	0.279000	0.090054	0.156123	0.103416	0.058517	0.068764	0.310291	0.248208	0.154326	0.100584	0.179715	0.100727
8	0.255068	0.179319	0.235769	0.276807	0.113532	0.136351	0.238050	0.107218	0.163877	0.115388	0.351590	0.121636	0.082923	0.128385	0.153681	0.126349	0.177815	0.047161	0.315482	0.275952	0.394894	0.175584	0.241114	0.138559	0.245185	0.130205	0.272299	0.150380	0.219038	0.203469	0.302577	0.096210	0.079714	0.125627	0.390959	0.211478	0.070855	0.239491	0.226444	0.158816	0.197089	0.128154	0.478048	0.389619	0.022618	0.044936	0.246154	0.145290	0.259182	0.275222	0.398332	0.496193	0.271157	0.088735	0.160602	0.116231	0.058360	0.058982	0.314904	0.287741	0.156504	0.100719	0.112364	0.114780
9	0.246789	0.175516	0.254299	0.280939	0.105783	0.135929	0.241093	0.096047	0.173126	0.120490	0.371987	0.141978	0.106793	0.182436	0.148031	0.136252	0.141536	0.050146	0.325110	0.276430	0.376868	0.173797	0.239418	0.140507	0.265206	0.132391	0.303061	0.153325	0.227489	0.208121	0.295345	0.094181	0.078010	0.124763	0.448883	0.229950	0.068793	0.232332	0.207122	0.172666	0.209828	0.133607	0.544760	0.390292	0.023334	0.047950	0.234486	0.155464	0.261445	0.306167	0.391769	0.500127	0.262815	0.085171	0.153549	0.113090	0.058658	0.050942	0.315494	0.314075	0.169284	0.108176	0.079298	0.116638
10	0.234169	0.168789	0.240993	0.283098	0.104580	0.138583	0.277854	0.090930	0.169459	0.117880	0.402588	0.142627	0.132382	0.205272	0.147115	0.138788	0.101193	0.055742	0.321835	0.284637	0.354925	0.152383	0.258062	0.129629	0.292770	0.132404	0.327161	0.138879	0.213047	0.205400	0.294420	0.093738	0.077662	0.124743	0.572187	0.261538	0.062214	0.225103	0.185489	0.173088	0.205813	0.111277	0.556768	0.391832	0.044191	0.098556	0.227665	0.197515	0.261627	0.314994	0.391940	0.516228	0.198043	0.071289	0.169948	0.122939	0.058086	0.046696	0.315290	0.319235	0.228343	0.136544	0.078783	0.116007
11	0.232341	0.166662	0.214251	0.286556	0.109720	0.148535	0.274192	0.092602	0.162414	0.116570	0.407727	0.177330	0.137732	0.209153	0.119203	0.143790	0.081938	0.047904	0.302705	0.302037	0.316245	0.132832	0.257679	0.120035	0.307619	0.130639	0.339635	0.127957	0.202712	0.221657	0.290572	0.094700	0.079789	0.117003	0.674072	0.286571	0.060098	0.209793	0.191295	0.174055	0.199351	0.086274	0.558417	0.390589	0.089048	0.220650	0.217725	0.207027	0.261615	0.317212	0.418866	0.531672	0.151776	0.047585	0.189518	0.130490	0.058868	0.046894	0.314440	0.318702	0.296967	0.150308	0.082672	0.115039
12	0.212308	0.144346	0.214624	0.288510	0.110983	0.151419	0.271553	0.100984	0.160050	0.116098	0.407733	0.181542	0.136119	0.209018	0.151450	0.170014	0.085157	0.047956	0.279086	0.329088	0.310523	0.128944	0.273728	0.114126	0.315572	0.131156	0.342924	0.127353	0.199930	0.246045	0.269320	0.124799	0.090781	0.121592	0.716185	0.307607	0.049137	0.119967	0.191707	0.172566	0.195785	0.083147	0.549997	0.377039	0.104790	0.256808	0.206685	0.208519	0.262417	0.314893	0.440948	0.535360	0.131516	0.049180	0.194978	0.132022	0.056037	0.047366	0.297303	0.315864	0.323363	0.150514	0.085252	0.124481
13	0.186889	0.127149	0.228719	0.298748	0.109448	0.118598	0.266506	0.107422	0.138091	0.112880	0.400388	0.176861	0.142549	0.211972	0.219782	0.184350	0.086750	0.050633	0.254557	0.322464	0.253170	0.111890	0.294539	0.113173	0.310854	0.127814	0.335965	0.128542	0.181582	0.262206	0.265130	0.147227	0.092701	0.119726	0.725930	0.325727	0.051290	0.103540	0.192521	0.157310	0.190522	0.078373	0.499214	0.294864	0.106603	0.260616	0.204864	0.220303	0.265777	0.308776	0.451454	0.539665	0.078188	0.058204	0.192292	0.132038	0.053688	0.050595	0.257294	0.315647	0.324695	0.156878	0.081638	0.131892
14	0.184085	0.125905	0.240497	0.302454	0.084018	0.116887	0.271062	0.105118	0.112134	0.109990	0.350888	0.189832	0.160468	0.218930	0.274859	0.186812	0.084605	0.054850	0.243228	0.285316	0.192182	0.103690	0.298787	0.112164	0.300230	0.126235	0.315864	0.132227	0.170149	0.259625	0.216343	0.147928	0.090924	0.096391	0.726727	0.335739	0.054920	0.094946	0.200592	0.141998	0.156467	0.066812	0.451405	0.294641	0.111238	0.271141	0.203043	0.234005	0.269141	0.304373	0.450963	0.545990	0.090584	0.071675	0.191039	0.130683	0.045629	0.045935	0.192091	0.329300	0.394167	0.201306	0.091208	0.130378
