	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.239131	0.684548	0.187750	0.161310	0.549564	0.684784	0.165484	0.347001	0.129809	0.268495	0.274326	0.163980	0.419786	0.468752	0.196898	0.327755	0.134937	0.155676	0.260944	0.169425	0.092918	0.102174	0.326038	0.234373	0.355001	0.485575	0.161206	0.166601	0.118283	0.409910	0.226309	0.229010	0.125350	0.168889	0.256373	0.106924	0.089952	0.148505	0.485672	0.277585	0.179604	0.348856	0.297176	0.250807	0.241287	0.251695	0.343683	0.391894	0.086526	0.161000	0.225860	0.176641	0.141573	0.238427	0.159508	0.228142
2	0.193839	0.680245	0.181225	0.174308	0.513308	0.686230	0.148233	0.344719	0.145999	0.298445	0.289960	0.173175	0.470233	0.476685	0.178756	0.321266	0.131666	0.161891	0.247808	0.154567	0.091095	0.128794	0.341559	0.253075	0.346097	0.482547	0.146951	0.168427	0.124640	0.381478	0.192632	0.246870	0.113459	0.176899	0.225860	0.103610	0.073052	0.142958	0.474540	0.284196	0.182725	0.367219	0.332704	0.260607	0.254596	0.251649	0.313143	0.377996	0.082047	0.146831	0.227185	0.176692	0.102309	0.222667	0.156237	0.228300
3	0.144078	0.627781	0.169346	0.184534	0.480709	0.676946	0.141173	0.339330	0.170519	0.295572	0.303762	0.178906	0.470797	0.462539	0.165509	0.315759	0.131402	0.166802	0.258964	0.157918	0.097749	0.157279	0.330072	0.254278	0.349191	0.473842	0.308542	0.165381	0.136723	0.383270	0.196219	0.245374	0.097003	0.178978	0.231128	0.106350	0.075263	0.145645	0.457767	0.271070	0.193354	0.354725	0.329227	0.263539	0.257039	0.256623	0.342155	0.345694	0.108192	0.182085	0.228694	0.176083	0.075984	0.219732	0.275676	0.221740
4	0.155284	0.449163	0.131949	0.194123	0.451253	0.663517	0.162709	0.306526	0.173718	0.254327	0.309454	0.181824	0.447586	0.412759	0.185441	0.315959	0.109017	0.118902	0.291318	0.172613	0.108067	0.169399	0.266433	0.282568	0.307938	0.272387	0.342172	0.193515	0.137221	0.385070	0.204081	0.268606	0.064399	0.169306	0.240456	0.141940	0.062841	0.112664	0.454951	0.309963	0.208240	0.342526	0.346863	0.266033	0.257488	0.260399	0.465995	0.305051	0.115908	0.283462	0.213810	0.173244	0.072082	0.212237	0.469410	0.216264
5	0.181018	0.270172	0.074279	0.200549	0.313018	0.578961	0.169923	0.299003	0.193957	0.283655	0.317451	0.170509	0.434961	0.401152	0.182508	0.325605	0.101824	0.136300	0.275189	0.208238	0.106743	0.191581	0.266784	0.289037	0.249300	0.264670	0.383110	0.232048	0.105893	0.382625	0.203465	0.304042	0.062191	0.163791	0.232982	0.184277	0.057389	0.123366	0.448785	0.354099	0.230463	0.331800	0.381832	0.277364	0.263723	0.258129	0.518251	0.301210	0.129874	0.377932	0.187734	0.131043	0.071268	0.208364	0.569158	0.232207
6	0.184876	0.222139	0.135917	0.240017	0.257476	0.558182	0.222706	0.303184	0.190252	0.299033	0.333414	0.139820	0.420059	0.377662	0.203264	0.276559	0.083666	0.139045	0.265805	0.255725	0.106177	0.200072	0.279856	0.420316	0.235852	0.223885	0.381277	0.236481	0.105925	0.354355	0.203402	0.317084	0.047801	0.146521	0.216754	0.197949	0.077956	0.230834	0.400163	0.356232	0.234889	0.308481	0.393948	0.298912	0.267937	0.260066	0.521758	0.276820	0.146176	0.382623	0.169276	0.112580	0.069709	0.205257	0.605781	0.232357
