	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_01.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_02.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_03.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_04.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_05.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_07.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_08.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_09.c3d	213_C_T2_sh_ND_10.c3d	213_C_T2_sh_ND_10.c3d	213_C_T2_sh_ND_10.c3d	213_C_T2_sh_ND_10.c3d	213_C_T2_sh_ND_10.c3d	213_C_T2_sh_ND_10.c3d	213_C_T2_sh_ND_10.c3d	213_C_T2_sh_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.057242	0.161777	0.279080	0.245003	0.115731	0.042200	0.154653	0.202894	0.177038	0.418570	0.188822	0.152659	0.057625	0.063653	0.123670	0.234021	0.069404	0.137556	0.154406	0.115352	0.212798	0.180271	0.165499	0.451394	0.037469	0.099445	0.157992	0.214838	0.066622	0.205233	0.211400	0.464882	0.057077	0.112931	0.213157	0.475419	0.037505	0.023224	0.231514	0.509271	0.142291	0.051135	0.179285	0.142042	0.048396	0.143802	0.137984	0.283236	0.055316	0.047539	0.201506	0.317140	0.611439	0.296517	0.196368	0.145288	0.157870	0.203958	0.206721	0.314579	0.213971	0.182807	0.152756	0.350220	0.063772	0.054474	0.248601	0.152458	0.113441	0.054028	0.166526	0.177388
2	0.059836	0.165985	0.281568	0.246489	0.221290	0.059675	0.194260	0.183780	0.156731	0.420250	0.189631	0.149301	0.059531	0.061308	0.124428	0.268712	0.069043	0.123466	0.163788	0.138260	0.213012	0.180183	0.166245	0.517163	0.037247	0.089067	0.153852	0.217702	0.070285	0.174759	0.212640	0.453222	0.046068	0.095162	0.220588	0.459436	0.055910	0.039911	0.222978	0.517283	0.127608	0.041585	0.185040	0.178902	0.046866	0.199271	0.137689	0.281343	0.057992	0.048292	0.208665	0.324026	0.528468	0.266864	0.195340	0.135259	0.156055	0.204876	0.216914	0.347077	0.215464	0.182213	0.152079	0.345600	0.065019	0.054462	0.275043	0.154047	0.111089	0.060170	0.160457	0.162072
3	0.063743	0.168246	0.287723	0.243154	0.314338	0.065299	0.209019	0.186405	0.150377	0.429142	0.192510	0.143415	0.059118	0.061018	0.140760	0.281975	0.075081	0.115448	0.181398	0.161671	0.198670	0.179309	0.172162	0.543787	0.041865	0.080287	0.166504	0.226454	0.071198	0.143495	0.211441	0.459358	0.039678	0.082578	0.206465	0.454253	0.057608	0.044980	0.209598	0.514271	0.117025	0.037930	0.184680	0.178033	0.041970	0.223598	0.111478	0.274151	0.061458	0.045200	0.190020	0.322751	0.503770	0.257797	0.200230	0.135105	0.149890	0.191404	0.256385	0.353343	0.204424	0.168858	0.151370	0.344611	0.065872	0.057123	0.324984	0.160653	0.100294	0.093215	0.168347	0.171580
4	0.066070	0.167932	0.292525	0.241615	0.340181	0.065369	0.217638	0.162427	0.149083	0.436397	0.190457	0.139937	0.056846	0.059198	0.143803	0.285973	0.085311	0.110621	0.210947	0.177244	0.172813	0.174966	0.176487	0.521411	0.043518	0.072040	0.200329	0.227142	0.070614	0.150649	0.231837	0.446279	0.035426	0.069575	0.220541	0.460906	0.057826	0.045608	0.200793	0.550069	0.108315	0.034998	0.175199	0.179917	0.048736	0.246374	0.108961	0.293613	0.061587	0.039188	0.180823	0.317986	0.488378	0.254530	0.218532	0.145370	0.122599	0.146830	0.307437	0.354611	0.168941	0.140793	0.152517	0.462321	0.065190	0.059766	0.358787	0.165252	0.109538	0.110756	0.214112	0.183765
5	0.067671	0.166589	0.293535	0.241420	0.340414	0.072384	0.217244	0.126985	0.148942	0.436909	0.189726	0.139458	0.056071	0.060327	0.142405	0.287492	0.091035	0.099808	0.241097	0.202224	0.176867	0.151158	0.177631	0.467718	0.043804	0.063791	0.227650	0.229342	0.069478	0.157828	0.282293	0.391044	0.035166	0.055190	0.288947	0.466254	0.059744	0.046618	0.224623	0.588414	0.089498	0.034483	0.175173	0.182537	0.037612	0.253004	0.130134	0.286244	0.062650	0.033779	0.171178	0.313272	0.434244	0.228897	0.230008	0.187521	0.110362	0.127824	0.396956	0.364801	0.137930	0.107623	0.201728	0.513167	0.064972	0.063275	0.375797	0.186886	0.111771	0.147415	0.224899	0.198872
6	0.069011	0.162995	0.290123	0.238062	0.391598	0.089038	0.211999	0.128459	0.148832	0.431601	0.195367	0.127786	0.051441	0.058538	0.141961	0.305219	0.093470	0.088197	0.248870	0.221116	0.173757	0.118949	0.182214	0.467060	0.044888	0.055819	0.237001	0.228827	0.064164	0.136556	0.281407	0.316704	0.041138	0.045605	0.398039	0.484915	0.062221	0.048693	0.243630	0.574444	0.084046	0.035501	0.184840	0.202269	0.039991	0.253780	0.126895	0.281065	0.062924	0.030519	0.167983	0.312536	0.286757	0.182018	0.228765	0.232745	0.110450	0.125746	0.484575	0.371985	0.116096	0.077662	0.256411	0.549057	0.063736	0.065930	0.373239	0.191406	0.109675	0.150544	0.208757	0.199878
