	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_01.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_02.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_03.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_04.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_05.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_08.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_09.c3d	216_C_T1_sh_L_ND_10.c3d	216_C_T1_sh_L_ND_10.c3d	216_C_T1_sh_L_ND_10.c3d	216_C_T1_sh_L_ND_10.c3d	216_C_T1_sh_L_ND_10.c3d	216_C_T1_sh_L_ND_10.c3d	216_C_T1_sh_L_ND_10.c3d	216_C_T1_sh_L_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.359223	0.499845	0.196429	0.134093	0.289102	0.643208	0.320598	0.133034	0.345831	0.651979	0.221646	0.202861	0.415387	0.516811	0.327898	0.372815	0.448016	0.247779	0.239602	0.151311	0.234848	0.502563	0.246233	0.201598	0.366999	0.209538	0.210760	0.206781	0.642925	0.339421	0.162009	0.123486	0.765674	0.230305	0.459995	0.292523	0.345241	0.483927	0.421856	0.335868	0.299669	0.375609	0.788788	0.148474	0.213460	0.655361	0.304512	0.150217	0.422442	0.543454	0.473976	0.320233	0.085059	0.105664	0.531200	0.416018	0.644151	0.326324	0.265974	0.184000	0.067010	0.978913	0.341594	0.327610
2	0.343765	0.526874	0.218790	0.143020	0.242007	0.588835	0.331650	0.137575	0.334991	0.609182	0.261642	0.204730	0.409745	0.519130	0.331769	0.375548	0.464570	0.222568	0.224064	0.231515	0.248018	0.412937	0.242310	0.202366	0.352153	0.209955	0.175945	0.220721	0.530098	0.363138	0.172817	0.158526	0.583645	0.230076	0.454317	0.286947	0.340336	0.447209	0.427530	0.347287	0.269944	0.328332	0.768350	0.143432	0.132958	0.472612	0.198769	0.142273	0.599992	0.566110	0.495305	0.329941	0.087247	0.118924	0.563901	0.363485	0.623260	0.324104	0.268723	0.166977	0.066855	1.006868	0.325137	0.322677
3	0.282831	0.539731	0.228176	0.138696	0.226700	0.525118	0.354778	0.139783	0.280377	0.571969	0.460286	0.230935	0.371828	0.528513	0.371209	0.387088	0.558844	0.226849	0.188332	0.222783	0.461494	0.332767	0.255076	0.169107	0.393919	0.250313	0.130255	0.218544	0.398529	0.460849	0.172152	0.154987	0.590231	0.256253	0.320319	0.285859	0.284322	0.375019	0.411766	0.347311	0.276714	0.291339	0.541796	0.158035	0.123207	0.457237	0.171843	0.157930	0.747789	0.609042	0.594571	0.332933	0.086953	0.121937	0.555932	0.261500	0.578467	0.274938	0.340251	0.146579	0.062985	1.007186	0.329770	0.362414
4	0.282230	0.535799	0.191502	0.140719	0.223325	0.510689	0.381788	0.134685	0.351377	0.701846	0.515422	0.245670	0.334131	0.509696	0.411013	0.410175	0.566322	0.194744	0.283932	0.211216	0.464197	0.353865	0.310302	0.169818	0.360209	0.292127	0.161731	0.230641	0.288618	0.535488	0.233290	0.153912	0.519723	0.264441	0.268297	0.325864	0.154668	0.326971	0.391819	0.320102	0.269694	0.291710	0.519307	0.202112	0.124291	0.458749	0.191337	0.171274	0.940957	0.708715	0.648867	0.235486	0.086574	0.123028	0.554512	0.234047	0.473574	0.287702	0.423083	0.150038	0.061668	0.992004	0.330255	0.409733
5	0.264092	0.502424	0.176954	0.144985	0.222246	0.511339	0.379163	0.178849	0.458094	0.684729	0.624838	0.244103	0.226144	0.409378	0.415913	0.401476	0.563454	0.195950	0.477211	0.208885	0.460775	0.338957	0.291533	0.143315	0.333718	0.284473	0.329425	0.336949	0.146470	0.536441	0.295357	0.173631	0.367057	0.264996	0.125481	0.356633	0.119059	0.313849	0.365961	0.316553	0.244310	0.262399	0.349563	0.191209	0.125066	0.403498	0.191068	0.180022	0.982890	0.696364	0.650101	0.236900	0.084753	0.123769	0.533699	0.219269	0.457215	0.283607	0.430283	0.175234	0.060385	0.951909	0.330093	0.421957
6	0.323712	0.443285	0.160990	0.168318	0.209222	0.513355	0.375404	0.166537	0.525680	0.645385	0.664784	0.252557	0.135597	0.264172	0.443367	0.386409	0.518277	0.183299	0.514909	0.213588	0.455021	0.313169	0.398589	0.136805	0.385293	0.289488	0.378260	0.327190	0.130800	0.530505	0.305665	0.185609	0.408419	0.370179	0.115484	0.322631	0.101833	0.350472	0.364987	0.341142	0.182065	0.217313	0.311392	0.186057	0.178350	0.337694	0.185951	0.202616	1.006301	0.697484	0.652560	0.241939	0.080433	0.128862	0.505492	0.206617	0.452653	0.290582	0.436316	0.178507	0.059157	0.880094	0.330854	0.426086
7	0.410713	0.391234	0.154962	0.169160	0.202606	0.506208	0.448987	0.165685	0.605389	0.627665	0.669228	0.203141	0.127147	0.227683	0.403167	0.393850	0.509445	0.189005	0.558098	0.241663	0.451400	0.303236	0.468755	0.130625	0.396067	0.297849	0.498679	0.359266	0.128894	0.517906	0.323967	0.241761	0.522444	0.415377	0.116170	0.291469	0.094373	0.386167	0.364704	0.318074	0.199595	0.193563	0.339086	0.228261	0.203979	0.329080	0.165424	0.313213	1.007223	0.695251	0.660592	0.196979	0.073543	0.128715	0.495016	0.217907	0.459011	0.466609	0.437344	0.142462	0.059416	0.838884	0.331855	0.504625
8	0.402729	0.331744	0.199824	0.194190	0.203458	0.439343	0.446068	0.178744	0.636797	0.621009	0.658869	0.238660	0.121599	0.241843	0.393593	0.409103	0.479865	0.231605	0.565780	0.227779	0.431531	0.253575	0.471675	0.138940	0.364113	0.268374	0.505956	0.370348	0.128875	0.509279	0.315941	0.329416	0.522859	0.482225	0.177416	0.286712	0.093097	0.385485	0.292251	0.278034	0.223325	0.152575	0.321825	0.272209	0.204703	0.317622	0.317363	0.323923	0.991333	0.584693	0.623466	0.192024	0.059760	0.140560	0.499999	0.314010	0.462151	0.502193	0.422518	0.117723	0.060499	0.839153	0.335278	0.665624
9	0.438477	0.323591	0.221188	0.208618	0.180476	0.337936	0.413109	0.209536	0.695150	0.577178	0.575756	0.241330	0.149110	0.265113	0.392408	0.414802	0.463224	0.243740	0.577241	0.194455	0.424759	0.250991	0.473535	0.144421	0.321865	0.247693	0.502999	0.379444	0.104783	0.498471	0.312571	0.366070	0.561749	0.477683	0.171292	0.294036	0.100007	0.399413	0.228142	0.345245	0.229623	0.141885	0.311457	0.273048	0.213284	0.323378	0.390767	0.327523	0.940167	0.502910	0.504835	0.193025	0.072274	0.258850	0.500650	0.342997	0.470346	0.512231	0.372770	0.132449	0.059035	0.817746	0.297545	0.772652
10	0.434450	0.284559	0.338166	0.210395	0.146312	0.224554	0.390535	0.214820	0.664042	0.367448	0.529094	0.249922	0.139325	0.272385	0.375582	0.465208	0.257031	0.235285	0.580740	0.193941	0.362022	0.273402	0.469832	0.294792	0.371822	0.256083	0.486423	0.380766	0.084474	0.495361	0.314270	0.423193	0.575162	0.474928	0.189980	0.277258	0.107963	0.410394	0.239876	0.426818	0.224162	0.133145	0.310950	0.283515	0.233792	0.352339	0.586454	0.333465	0.773083	0.490343	0.483114	0.205079	0.110061	0.306314	0.449000	0.367688	0.594531	0.588290	0.366294	0.148978	0.058161	0.731201	0.315423	0.762718
11	0.440239	0.286962	0.348362	0.220678	0.148745	0.177243	0.387260	0.214599	0.585489	0.327055	0.407344	0.354638	0.128122	0.270980	0.350981	0.448333	0.244254	0.218476	0.506636	0.203450	0.149582	0.253465	0.439420	0.336481	0.365984	0.250738	0.387075	0.317943	0.070927	0.490284	0.306141	0.423266	0.569421	0.480682	0.189319	0.199977	0.104164	0.408924	0.229906	0.435270	0.230059	0.125030	0.269647	0.263099	0.265400	0.352503	0.603307	0.365096	0.641986	0.357841	0.402482	0.266401	0.153435	0.311616	0.368572	0.407054	0.598743	0.581038	0.367340	0.162962	0.065273	0.578338	0.317642	0.796360
12	0.432500	0.272076	0.346905	0.267778	0.148313	0.167921	0.387497	0.245787	0.538990	0.330104	0.335328	0.454507	0.128737	0.260868	0.348053	0.394358	0.261840	0.187001	0.366096	0.191778	0.139218	0.241283	0.423502	0.366772	0.315493	0.227442	0.330814	0.311972	0.091411	0.416883	0.302281	0.452935	0.539935	0.410825	0.184650	0.182632	0.098151	0.399375	0.215218	0.458720	0.215212	0.110812	0.228523	0.266352	0.257423	0.348141	0.616748	0.450136	0.368308	0.191522	0.327035	0.266092	0.202946	0.317442	0.348869	0.436493	0.594015	0.572511	0.273556	0.204005	0.084725	0.384601	0.301345	0.896412
13	0.318718	0.320770	0.341949	0.264790	0.148641	0.166053	0.419361	0.348062	0.453158	0.341217	0.329354	0.464872	0.129977	0.245087	0.347295	0.435000	0.295221	0.202470	0.326095	0.167295	0.134646	0.231031	0.414782	0.374746	0.315504	0.348386	0.118167	0.254815	0.090144	0.266029	0.292026	0.483608	0.337650	0.376789	0.183012	0.250317	0.098542	0.368420	0.239735	0.460963	0.214543	0.103221	0.210311	0.266827	0.242335	0.329724	0.654150	0.495434	0.228743	0.142273	0.327628	0.269757	0.227263	0.322951	0.240450	0.457201	0.577651	0.566444	0.162823	0.237141	0.085493	0.249759	0.337210	0.929300
