	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_01.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_02.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_05.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_06.c3d	217_C_T1_sh_L_ND_11.c3d	217_C_T1_sh_L_ND_11.c3d	217_C_T1_sh_L_ND_11.c3d	217_C_T1_sh_L_ND_11.c3d	217_C_T1_sh_L_ND_11.c3d	217_C_T1_sh_L_ND_11.c3d	217_C_T1_sh_L_ND_11.c3d	217_C_T1_sh_L_ND_11.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.672013	0.451678	0.151810	0.116439	0.579543	0.576065	0.331753	0.258615	0.074079	0.261319	0.194470	0.163764	1.093774	0.566066	0.351333	0.140891	0.060536	0.174444	0.192867	0.349372	0.072993	0.118488	0.610542	0.430710	0.123693	0.105623	0.249584	0.182943	0.067883	0.108608	0.434811	0.305018	0.024700	0.087898	0.379468	0.151282	0.035654	0.076487	0.137362	0.377869
2	0.645005	0.295130	0.158051	0.116978	0.551008	0.482568	0.365116	0.261343	0.084827	0.270314	0.240146	0.183673	1.111156	0.566920	0.359157	0.213245	0.060225	0.169934	0.195923	0.351282	0.088548	0.120891	0.593350	0.440902	0.121003	0.102094	0.250281	0.176650	0.071754	0.108285	0.484681	0.375015	0.025181	0.086000	0.338383	0.149760	0.030484	0.062385	0.102085	0.369253
3	0.589551	0.219248	0.161514	0.115289	0.386927	0.338070	0.385197	0.273125	0.089795	0.271143	0.266679	0.210668	1.138455	0.566781	0.361245	0.220340	0.060729	0.162347	0.206756	0.358863	0.098494	0.134022	0.536365	0.442188	0.122270	0.100898	0.249873	0.169904	0.066708	0.094153	0.493826	0.416050	0.025251	0.079942	0.292383	0.129371	0.043946	0.066579	0.098402	0.364685
4	0.580713	0.209486	0.160793	0.116664	0.285299	0.270119	0.411706	0.339614	0.091976	0.273101	0.266984	0.202499	1.071997	0.540105	0.359343	0.225388	0.060559	0.155530	0.214807	0.362199	0.092160	0.133741	0.491062	0.407802	0.123021	0.101244	0.237747	0.165321	0.064721	0.082977	0.490781	0.428648	0.039735	0.081290	0.294104	0.138316	0.057639	0.074017	0.095339	0.364497
5	0.512363	0.208600	0.138735	0.108654	0.170833	0.233977	0.399571	0.347205	0.090407	0.279824	0.287596	0.245752	1.039153	0.487707	0.349879	0.230702	0.068356	0.149006	0.203560	0.312516	0.087053	0.127492	0.459700	0.395538	0.123272	0.107643	0.217241	0.152198	0.061666	0.082447	0.491134	0.430821	0.047561	0.087258	0.286558	0.237995	0.071193	0.073914	0.105022	0.372960
6	0.122367	0.172097	0.125348	0.114902	0.140864	0.224279	0.420787	0.351772	0.091799	0.254271	0.325088	0.310995	0.942113	0.428651	0.327941	0.266334	0.075307	0.144142	0.175675	0.236591	0.084195	0.121488	0.312754	0.327459	0.118728	0.104516	0.223193	0.157713	0.063401	0.098804	0.489030	0.437113	0.070646	0.109728	0.293866	0.354110	0.097120	0.079378	0.230134	0.391332
7	0.096893	0.143810	0.134935	0.177256	0.129546	0.224443	0.429602	0.371857	0.083872	0.236696	0.329941	0.335310	0.773878	0.362226	0.324888	0.293114	0.082253	0.141864	0.175141	0.241469	0.081023	0.093186	0.164429	0.278105	0.111334	0.107900	0.220849	0.202586	0.087258	0.131797	0.523118	0.509827	0.091153	0.135746	0.288535	0.391195	0.111441	0.089224	0.315865	0.377975
