	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_01.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_02.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_03.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_04.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_05.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_06.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_07.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_08.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_09.c3d	219_C_T2_sh_ND_10.c3d	219_C_T2_sh_ND_10.c3d	219_C_T2_sh_ND_10.c3d	219_C_T2_sh_ND_10.c3d	219_C_T2_sh_ND_10.c3d	219_C_T2_sh_ND_10.c3d	219_C_T2_sh_ND_10.c3d	219_C_T2_sh_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.500394	0.758534	0.297077	0.243768	0.273665	0.303912	0.401993	0.223690	0.445861	0.822616	0.291510	0.139984	0.517806	0.873757	0.256761	0.269655	0.482244	0.487526	0.339488	0.640796	0.466765	0.351677	0.406297	0.349131	0.531666	0.529561	0.319001	0.410348	0.591288	0.450781	0.208710	0.428106	0.428596	0.523805	0.420653	0.182684	0.206663	0.134417	0.614761	0.256979	0.635427	0.777888	0.368025	0.284167	0.296177	0.445850	0.734650	0.261059	0.403758	0.267943	0.310712	0.242274	0.280376	0.256499	0.350486	0.276658	0.788564	0.540543	0.247688	0.192420	0.343245	0.345989	0.341360	0.226768	0.487357	0.412258	0.228610	0.290211	0.685409	0.315329	0.223928	0.159977	0.599610	0.348667	0.327538	0.447390	0.220599	0.263198	0.393775	0.181017
2	0.524476	0.784908	0.299259	0.239866	0.267044	0.301463	0.389159	0.224979	0.446344	0.821155	0.289718	0.152745	0.480133	0.959167	0.265946	0.285031	0.526148	0.499297	0.388005	0.613043	0.453564	0.344361	0.420258	0.335631	0.559207	0.533978	0.331048	0.334226	0.578158	0.504185	0.210778	0.461464	0.425276	0.518487	0.420794	0.193738	0.201172	0.146033	0.614067	0.258575	0.640734	0.772561	0.377173	0.286635	0.299670	0.450606	0.655555	0.224015	0.516783	0.293961	0.318000	0.263608	0.228343	0.251160	0.377020	0.350175	0.797446	0.567025	0.266473	0.197577	0.328052	0.344889	0.387611	0.251972	0.543013	0.417371	0.238811	0.263541	0.710441	0.327284	0.221608	0.145429	0.602558	0.345857	0.332224	0.451656	0.262906	0.224202	0.484795	0.177636
3	0.619430	0.803862	0.318314	0.241540	0.262622	0.289203	0.357791	0.218379	0.444196	0.824438	0.292062	0.151178	0.472218	0.968373	0.266294	0.354297	0.635675	0.521784	0.530548	0.513136	0.322674	0.300402	0.409843	0.328114	0.564298	0.501367	0.337142	0.330494	0.504501	0.499366	0.231054	0.486128	0.414659	0.484379	0.388042	0.193462	0.176995	0.153129	0.614223	0.300879	0.627670	0.763493	0.384596	0.291147	0.331893	0.469173	0.653232	0.222846	0.555468	0.300778	0.318075	0.268598	0.186005	0.252134	0.369587	0.326842	0.856010	0.663679	0.262520	0.198188	0.271367	0.350652	0.519505	0.254078	0.571627	0.429921	0.288379	0.260041	0.655328	0.282770	0.217246	0.143320	0.667559	0.334406	0.357794	0.456055	0.294123	0.218687	0.528068	0.177779
4	0.767229	0.836512	0.334818	0.245611	0.247202	0.249389	0.327926	0.234337	0.449631	0.831977	0.294439	0.144567	0.479893	0.968409	0.266176	0.380403	0.690851	0.521917	0.538273	0.410409	0.257471	0.253729	0.391711	0.330927	0.551197	0.422524	0.334782	0.336312	0.587102	0.583337	0.237345	0.414959	0.441744	0.477877	0.304792	0.187610	0.148689	0.147202	0.555854	0.457223	0.618773	0.760031	0.358499	0.305558	0.373136	0.529041	0.652068	0.234877	0.563029	0.289115	0.324311	0.271337	0.130340	0.220799	0.470044	0.396850	0.825813	0.665029	0.256630	0.181458	0.214023	0.349810	0.519346	0.297566	0.639652	0.453828	0.321237	0.256637	0.546509	0.256906	0.332658	0.204003	0.753427	0.315526	0.391531	0.471669	0.300228	0.199840	0.536083	0.172822
5	0.939290	0.887103	0.353431	0.245883	0.225278	0.191011	0.316765	0.254633	0.455136	0.821995	0.292623	0.198614	0.481137	0.968428	0.262732	0.397672	0.663565	0.511171	0.564656	0.402951	0.248573	0.190169	0.400596	0.322743	0.535455	0.406923	0.331699	0.332417	0.611866	0.622017	0.230992	0.420636	0.447794	0.464372	0.289295	0.181647	0.134975	0.136868	0.506032	0.461549	0.610241	0.759647	0.296332	0.315735	0.380389	0.571613	0.632230	0.295141	0.564746	0.280281	0.324955	0.285239	0.119614	0.218944	0.480736	0.412644	0.768964	0.657852	0.256416	0.180966	0.230186	0.394063	0.527328	0.304833	0.669143	0.463729	0.424920	0.238618	0.492870	0.257219	0.393316	0.256784	0.769231	0.293731	0.398714	0.472924	0.356261	0.187155	0.604488	0.155886
6	1.098532	0.943354	0.359656	0.217070	0.219155	0.128993	0.326681	0.229939	0.456397	0.779864	0.256014	0.205832	0.465352	0.968141	0.250698	0.433971	0.661497	0.515376	0.610972	0.327282	0.225532	0.176678	0.405967	0.341425	0.566060	0.513626	0.335917	0.330331	0.618707	0.621894	0.296333	0.412384	0.445863	0.334538	0.290463	0.169850	0.143642	0.143550	0.522578	0.495109	0.608115	0.759730	0.278633	0.316681	0.381947	0.589554	0.538573	0.291891	0.562640	0.256792	0.323853	0.284526	0.100057	0.226312	0.429744	0.458685	0.763717	0.656309	0.258258	0.347965	0.225827	0.408588	0.540077	0.312910	0.688261	0.461771	0.462663	0.372318	0.482772	0.242852	0.393966	0.271126	0.765473	0.283302	0.399707	0.471880	0.425426	0.203247	0.609416	0.193914
