	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_02.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_04.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_06.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_08.c3d	222_C_T1_sh_ND_09.c3d	222_C_T1_sh_ND_09.c3d	222_C_T1_sh_ND_09.c3d	222_C_T1_sh_ND_09.c3d	222_C_T1_sh_ND_09.c3d	222_C_T1_sh_ND_09.c3d	222_C_T1_sh_ND_09.c3d	222_C_T1_sh_ND_09.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.131456	0.088203	0.760984	0.234240	0.144793	0.122648	0.613132	0.213050	0.153208	0.114859	0.449309	0.262164	0.132126	0.060747	0.536105	0.123017	0.082953	0.087470	0.470084	0.399246	0.192744	0.116314	0.769821	0.267349	0.140820	0.144876	0.502654	0.200510	0.070369	0.103925	0.274614	0.193381	0.067574	0.047078	0.355599	0.260787	0.112783	0.085859	0.392164	0.394243
2	0.124899	0.084296	0.740505	0.219227	0.118946	0.108383	0.583335	0.219626	0.144290	0.114507	0.449753	0.224651	0.124104	0.060586	0.566406	0.209825	0.091869	0.093179	0.442342	0.388660	0.174053	0.118781	0.796721	0.251028	0.137626	0.140024	0.504184	0.185468	0.073494	0.102119	0.273186	0.186404	0.064523	0.048652	0.300253	0.306550	0.113095	0.089715	0.371484	0.394312
3	0.121030	0.083285	0.678172	0.218514	0.110361	0.061809	0.552271	0.207868	0.143384	0.111572	0.488604	0.190086	0.094058	0.061769	0.629886	0.253075	0.095582	0.095558	0.440731	0.373319	0.165320	0.118665	0.804852	0.227241	0.115559	0.116999	0.593296	0.294963	0.067893	0.084738	0.244917	0.178892	0.064998	0.050539	0.295380	0.361164	0.129340	0.097707	0.394912	0.397877
4	0.120197	0.084885	0.620563	0.214722	0.108135	0.055157	0.526563	0.205261	0.117186	0.092675	0.546053	0.193635	0.081700	0.064145	0.663100	0.277031	0.095406	0.095355	0.439900	0.357756	0.158768	0.118607	0.804183	0.185128	0.101975	0.046522	0.661860	0.375447	0.062918	0.081657	0.228163	0.196607	0.067427	0.053259	0.343294	0.402795	0.140280	0.101428	0.371404	0.402843
5	0.113473	0.084882	0.569141	0.209153	0.078580	0.040354	0.510242	0.206849	0.096360	0.088960	0.559970	0.196329	0.079183	0.064680	0.676974	0.278970	0.095928	0.090998	0.444667	0.387606	0.162542	0.123319	0.789350	0.168259	0.097206	0.047218	0.695606	0.368204	0.077266	0.079138	0.230471	0.220437	0.077992	0.062868	0.368071	0.422259	0.139962	0.101302	0.371289	0.401780
6	0.112201	0.083020	0.559265	0.199309	0.073635	0.039447	0.509685	0.208280	0.090137	0.093274	0.559496	0.176994	0.087690	0.063034	0.681900	0.308487	0.094213	0.080806	0.442739	0.462560	0.165759	0.122602	0.779193	0.172770	0.089093	0.050236	0.703435	0.384480	0.083946	0.079833	0.232669	0.214272	0.089679	0.071995	0.361279	0.423317	0.134071	0.097988	0.368267	0.399552
7	0.106527	0.071924	0.548045	0.197396	0.067610	0.040850	0.489801	0.210283	0.092129	0.087959	0.561157	0.175140	0.094988	0.059534	0.681800	0.359003	0.091074	0.067643	0.438268	0.525517	0.149368	0.112393	0.761088	0.171300	0.079259	0.050280	0.707605	0.444973	0.086698	0.079687	0.242844	0.204799	0.094025	0.075035	0.383370	0.430158	0.123784	0.094713	0.371451	0.400604
8	0.098589	0.057941	0.480121	0.186790	0.061790	0.040880	0.444761	0.204699	0.080399	0.078572	0.561430	0.170542	0.091674	0.051188	0.695168	0.415755	0.092803	0.067385	0.437310	0.578621	0.131007	0.101027	0.740782	0.166911	0.077997	0.055955	0.709543	0.519526	0.094279	0.076479	0.242712	0.212193	0.093848	0.075269	0.465888	0.439017	0.123520	0.094866	0.374415	0.402692
