	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_01.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_02.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_03.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_04.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_05.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_06.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_07.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_08.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_09.c3d	223_C_T2_sh_ND_L_10.c3d	223_C_T2_sh_ND_L_10.c3d	223_C_T2_sh_ND_L_10.c3d	223_C_T2_sh_ND_L_10.c3d	223_C_T2_sh_ND_L_10.c3d	223_C_T2_sh_ND_L_10.c3d	223_C_T2_sh_ND_L_10.c3d	223_C_T2_sh_ND_L_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.205645	0.231123	0.186269	0.061917	0.652712	0.464569	0.144119	0.134432	0.416753	0.832431	0.287058	0.118313	0.199206	0.327845	0.124823	0.103972	0.155798	0.229860	0.113009	0.035381	0.091128	0.106822	0.086997	0.117211	0.336569	0.356617	0.130877	0.121560	0.218242	0.285800	0.197790	0.139040	0.463559	0.422847	0.109831	0.063678	0.387792	0.527711	0.113876	0.048302	0.486675	0.467015	0.170260	0.075020	0.228754	0.273518	0.317511	0.294312	0.247872	0.441001	0.103757	0.041738	0.239726	0.417619	0.073685	0.137506	0.120062	0.249411	0.118033	0.126534	0.092549	0.123741	0.151885	0.128075	0.092155	0.196172	0.104690	0.094550	0.117434	0.333131	0.050847	0.030639	0.131118	0.198591	0.067576	0.021864	0.322462	0.451237	0.243482	0.086633
2	0.218167	0.236718	0.237316	0.068801	0.472509	0.338330	0.144375	0.139321	0.381936	0.755666	0.266618	0.118359	0.196155	0.329583	0.131447	0.087595	0.154245	0.209966	0.111891	0.034512	0.091191	0.120230	0.074450	0.116427	0.224626	0.447182	0.128942	0.124908	0.247294	0.292542	0.216133	0.137398	0.474118	0.424813	0.110323	0.064071	0.387913	0.490034	0.106287	0.057402	0.486910	0.451337	0.178078	0.078934	0.228154	0.270522	0.302100	0.203910	0.178012	0.397169	0.086956	0.041669	0.226078	0.417021	0.075061	0.139369	0.123321	0.317943	0.128591	0.128345	0.120475	0.173576	0.115493	0.114728	0.095029	0.199296	0.104459	0.112923	0.119037	0.317709	0.043905	0.027734	0.119189	0.204371	0.057991	0.030477	0.336766	0.456100	0.251845	0.084014
3	0.204728	0.233870	0.250564	0.083149	0.288382	0.317468	0.143582	0.127140	0.385540	0.753868	0.249236	0.114478	0.191997	0.329639	0.131849	0.076192	0.150842	0.197285	0.108093	0.033176	0.091324	0.127654	0.075872	0.117256	0.190670	0.518575	0.127488	0.125569	0.276272	0.307854	0.205532	0.121872	0.525745	0.442629	0.117719	0.064818	0.389721	0.494291	0.103068	0.132008	0.418048	0.339227	0.186365	0.079936	0.228858	0.282243	0.285517	0.185214	0.163905	0.325114	0.078169	0.038773	0.219139	0.424376	0.088874	0.144428	0.114342	0.324581	0.133880	0.128575	0.140801	0.234573	0.091531	0.093106	0.096007	0.206568	0.136299	0.112874	0.126601	0.312172	0.102792	0.024740	0.105105	0.196619	0.056749	0.066288	0.323620	0.452089	0.279600	0.093384
4	0.146932	0.220796	0.251805	0.079403	0.203747	0.274352	0.129607	0.138434	0.394546	0.673818	0.242121	0.104831	0.144447	0.328735	0.131775	0.071909	0.102755	0.233615	0.102650	0.034548	0.090854	0.138989	0.082467	0.122133	0.181960	0.529648	0.115369	0.096385	0.384115	0.395019	0.220548	0.117583	0.582422	0.456527	0.145740	0.065327	0.383232	0.529243	0.106467	0.175481	0.358202	0.269882	0.183922	0.078401	0.211664	0.279808	0.282216	0.186412	0.162344	0.312188	0.084282	0.038608	0.211370	0.427352	0.105263	0.147396	0.112839	0.409566	0.135526	0.128614	0.142853	0.234237	0.117581	0.091540	0.121559	0.207662	0.197232	0.116719	0.137986	0.325195	0.184658	0.121692	0.090011	0.203381	0.067802	0.068620	0.319453	0.451283	0.285882	0.103597
5	0.141331	0.221802	0.250880	0.078852	0.189121	0.269038	0.144007	0.162445	0.346728	0.524820	0.247281	0.149169	0.134909	0.327744	0.135862	0.070687	0.090778	0.305348	0.111492	0.034578	0.097752	0.159687	0.104234	0.136543	0.222977	0.557224	0.109269	0.076202	0.431970	0.406334	0.232706	0.109186	0.609368	0.496905	0.152583	0.067383	0.378687	0.536851	0.100954	0.178165	0.359335	0.309952	0.177914	0.072191	0.196277	0.264215	0.280465	0.200460	0.138140	0.214523	0.084624	0.041524	0.204633	0.394091	0.109754	0.126088	0.129147	0.499903	0.133821	0.130465	0.181768	0.270676	0.126466	0.104475	0.146758	0.198974	0.204842	0.161981	0.141039	0.344067	0.191333	0.226643	0.102869	0.248226	0.073423	0.084117	0.323844	0.430668	0.280225	0.103486
6	0.139061	0.226852	0.245709	0.076798	0.229908	0.272479	0.172541	0.170227	0.325686	0.374009	0.244079	0.159994	0.129319	0.323848	0.150393	0.070735	0.091740	0.313508	0.132293	0.050677	0.097295	0.174277	0.108355	0.143858	0.312357	0.545135	0.111621	0.073794	0.446632	0.400917	0.232773	0.112125	0.623702	0.526595	0.153679	0.081364	0.384652	0.506628	0.097524	0.190052	0.365059	0.401679	0.181991	0.073963	0.208585	0.266289	0.240254	0.181196	0.111217	0.180022	0.113049	0.042056	0.212253	0.362314	0.116554	0.116606	0.226414	0.699851	0.147659	0.113295	0.242045	0.358022	0.118311	0.120892	0.146090	0.193287	0.217069	0.176041	0.139586	0.344274	0.204859	0.252667	0.106980	0.248792	0.230589	0.109594	0.324522	0.444675	0.290844	0.106193
