	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_01.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_02.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_03.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_04.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_05.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_08.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_09.c3d	225_C_T2_sh_ND_L_10.c3d	225_C_T2_sh_ND_L_10.c3d	225_C_T2_sh_ND_L_10.c3d	225_C_T2_sh_ND_L_10.c3d	225_C_T2_sh_ND_L_10.c3d	225_C_T2_sh_ND_L_10.c3d	225_C_T2_sh_ND_L_10.c3d	225_C_T2_sh_ND_L_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.466762	0.361169	0.261865	0.301016	0.269647	0.556987	0.175490	0.213638	0.406209	0.252402	0.215126	0.113513	0.211424	0.245029	0.291866	0.198916	0.717828	0.133154	0.171542	0.254858	0.456045	0.239385	0.183569	0.165091	0.233931	0.140394	0.120982	0.212497	0.277493	0.152707	0.303203	0.210400	0.375831	0.462578	0.134597	0.182939	0.234029	0.122977	0.202647	0.121275	0.278291	0.153888	0.302224	0.190582	0.277370	0.314167	0.208260	0.248579	0.179623	0.350763	0.367951	0.280509	0.207099	0.237183	0.164707	0.495483	0.292917	0.233807	0.209944	0.321024	0.131114	0.155420	0.184508	0.279139
2	0.421295	0.417322	0.282118	0.303939	0.262451	0.510865	0.180408	0.228943	0.422851	0.205773	0.217098	0.116328	0.209089	0.246447	0.281416	0.198815	0.717270	0.135945	0.171048	0.254743	0.425934	0.253167	0.181122	0.174409	0.199362	0.186635	0.146696	0.194917	0.276983	0.140374	0.291693	0.214491	0.322943	0.426271	0.123310	0.175959	0.246184	0.120777	0.199061	0.132233	0.272501	0.152311	0.291526	0.240257	0.274043	0.330380	0.204437	0.250921	0.189248	0.324088	0.432080	0.278003	0.186849	0.229497	0.134329	0.501112	0.273147	0.215692	0.238235	0.333592	0.122679	0.168580	0.174682	0.277907
3	0.295206	0.410006	0.283378	0.308753	0.252970	0.437415	0.205838	0.228106	0.422494	0.195288	0.214179	0.115786	0.222688	0.239167	0.282743	0.199677	0.687521	0.133929	0.171225	0.236616	0.425060	0.259818	0.176971	0.186111	0.241880	0.225912	0.171160	0.182345	0.271686	0.126628	0.268546	0.201873	0.230398	0.366059	0.108227	0.179634	0.241361	0.114268	0.201094	0.124668	0.227967	0.143362	0.290569	0.267919	0.269512	0.328883	0.236514	0.254284	0.188635	0.267129	0.440514	0.296248	0.186781	0.228708	0.132858	0.502148	0.267187	0.201381	0.243632	0.335851	0.116190	0.195097	0.209609	0.287555
4	0.251486	0.396129	0.282069	0.291711	0.220332	0.383548	0.207691	0.227283	0.417668	0.194818	0.214655	0.117345	0.230030	0.234618	0.281191	0.192302	0.647687	0.134541	0.166195	0.199182	0.412108	0.250824	0.177102	0.190837	0.271775	0.268540	0.166963	0.183389	0.261095	0.119510	0.237645	0.258213	0.190340	0.312646	0.104956	0.181693	0.238933	0.113597	0.194654	0.119773	0.148206	0.103229	0.289857	0.269233	0.276093	0.335700	0.243529	0.275201	0.181732	0.228019	0.443367	0.403532	0.188388	0.228616	0.141383	0.489729	0.264841	0.199777	0.270656	0.330326	0.121033	0.205085	0.215709	0.305456
5	0.247685	0.403349	0.262862	0.261875	0.214182	0.370806	0.210179	0.228046	0.445732	0.201363	0.217311	0.114792	0.238543	0.234985	0.267754	0.204854	0.632591	0.136297	0.128926	0.179699	0.419758	0.251112	0.178137	0.195288	0.265792	0.277639	0.162950	0.186219	0.213666	0.122008	0.205589	0.369276	0.183488	0.304887	0.115090	0.176337	0.232909	0.113288	0.185639	0.151773	0.145414	0.077672	0.282513	0.268110	0.279242	0.323224	0.259574	0.294544	0.173617	0.188738	0.456619	0.450466	0.197815	0.225322	0.142537	0.468275	0.266044	0.200173	0.286245	0.320018	0.125514	0.215081	0.218559	0.278914
6	0.244738	0.405648	0.246759	0.239240	0.215135	0.359642	0.211579	0.226628	0.453200	0.208603	0.219215	0.114869	0.243621	0.222490	0.223271	0.207997	0.619386	0.140717	0.088103	0.174133	0.406887	0.251937	0.178156	0.208908	0.257910	0.277921	0.168595	0.192858	0.169132	0.132687	0.179110	0.371297	0.179925	0.302119	0.147503	0.164429	0.247289	0.113487	0.183469	0.182933	0.103741	0.073715	0.269816	0.275169	0.223971	0.317317	0.270876	0.301260	0.145821	0.147180	0.465514	0.449653	0.215415	0.229362	0.160548	0.437968	0.268029	0.195544	0.287354	0.316038	0.135817	0.219733	0.246887	0.251623
7	0.289708	0.431464	0.229519	0.234276	0.206353	0.344266	0.214361	0.224580	0.462852	0.206932	0.217860	0.117514	0.243941	0.205872	0.189862	0.225550	0.460662	0.161540	0.097636	0.169973	0.410622	0.255830	0.179275	0.212273	0.246970	0.277688	0.170082	0.194798	0.124424	0.139144	0.181019	0.371992	0.162639	0.300507	0.184677	0.143912	0.283048	0.107750	0.195599	0.272949	0.135923	0.072042	0.246647	0.284262	0.177614	0.304252	0.272814	0.298326	0.147331	0.146521	0.445715	0.450001	0.226496	0.236225	0.182103	0.395576	0.238238	0.161423	0.295982	0.312089	0.142253	0.225418	0.274945	0.250496
8	0.325898	0.440233	0.235147	0.284567	0.190719	0.311537	0.214173	0.213152	0.421040	0.206789	0.214074	0.117048	0.249466	0.199869	0.186161	0.234420	0.280169	0.195850	0.116513	0.167939	0.397752	0.259632	0.186718	0.234466	0.254822	0.276690	0.182820	0.189010	0.114689	0.138632	0.197246	0.377912	0.149383	0.300968	0.198122	0.149907	0.287094	0.105192	0.229661	0.288786	0.156835	0.074556	0.213710	0.292673	0.156807	0.262890	0.293339	0.262706	0.133519	0.148964	0.431232	0.450230	0.232266	0.235718	0.203301	0.357079	0.190387	0.144831	0.319118	0.279678	0.133455	0.227086	0.288522	0.258228
9	0.338985	0.441111	0.218668	0.341113	0.176093	0.275376	0.215759	0.177842	0.416269	0.210161	0.212460	0.118149	0.257199	0.210076	0.185858	0.331221	0.282382	0.229587	0.125648	0.167724	0.380173	0.263179	0.185247	0.257325	0.259517	0.283206	0.201932	0.187009	0.120083	0.139801	0.205212	0.396663	0.144876	0.300760	0.207456	0.248672	0.287535	0.111915	0.271929	0.348571	0.159466	0.085313	0.197184	0.294509	0.153580	0.237254	0.276857	0.261245	0.121205	0.146219	0.428711	0.452908	0.237043	0.230019	0.232522	0.330999	0.178007	0.142942	0.327702	0.253488	0.128060	0.226833	0.290915	0.282752
10	0.348316	0.441392	0.192124	0.349256	0.160791	0.235998	0.211124	0.149954	0.419760	0.199987	0.214597	0.115926	0.267701	0.230674	0.192456	0.442638	0.235068	0.256590	0.127972	0.164638	0.375741	0.265280	0.175133	0.277013	0.257745	0.300870	0.204439	0.208516	0.124632	0.141454	0.201790	0.412268	0.124375	0.275302	0.235605	0.328409	0.284146	0.119578	0.259563	0.434963	0.158290	0.098470	0.234906	0.316013	0.139978	0.238435	0.263608	0.252357	0.121997	0.142803	0.416471	0.453239	0.243637	0.216386	0.247579	0.322807	0.177366	0.141289	0.316120	0.232227	0.136566	0.227581	0.290778	0.332580
11	0.356949	0.425273	0.170201	0.342401	0.154226	0.217058	0.206425	0.151482	0.431543	0.201294	0.215940	0.110185	0.268734	0.237650	0.247334	0.470492	0.147449	0.270540	0.147071	0.165586	0.369700	0.265082	0.165555	0.289183	0.262971	0.315282	0.214467	0.228311	0.150759	0.154882	0.203308	0.419008	0.085832	0.183572	0.272895	0.356951	0.290403	0.120158	0.268938	0.470946	0.167587	0.101567	0.319609	0.345298	0.129843	0.213212	0.270115	0.250469	0.103084	0.119298	0.355370	0.454529	0.235540	0.189544	0.255241	0.336253	0.187019	0.140706	0.308541	0.223926	0.161256	0.233280	0.306115	0.360522
12	0.359028	0.358336	0.153859	0.342493	0.151156	0.202218	0.196070	0.159224	0.405439	0.180371	0.207804	0.128571	0.252398	0.237878	0.294858	0.464014	0.129799	0.269354	0.154984	0.194185	0.328722	0.256573	0.167059	0.293211	0.255707	0.322092	0.219430	0.223008	0.198229	0.159000	0.215819	0.422474	0.082811	0.114833	0.297911	0.358640	0.292874	0.119038	0.315781	0.480892	0.225509	0.112798	0.350188	0.349932	0.122957	0.156011	0.258289	0.249872	0.099295	0.101678	0.342399	0.455460	0.241903	0.167489	0.255554	0.353301	0.154283	0.114069	0.305782	0.222840	0.172728	0.230179	0.317924	0.367198
13	0.348936	0.265248	0.150250	0.352464	0.159618	0.201826	0.185299	0.161572	0.373736	0.152278	0.178423	0.160696	0.248902	0.234452	0.301999	0.462954	0.135733	0.261507	0.157511	0.187892	0.228081	0.232133	0.183583	0.285729	0.257198	0.328585	0.216862	0.208066	0.215549	0.149436	0.273712	0.423008	0.088709	0.079431	0.310265	0.368243	0.300553	0.122862	0.350467	0.482142	0.251081	0.118460	0.340156	0.348506	0.125891	0.148380	0.234477	0.255238	0.099234	0.096524	0.352572	0.378684	0.255620	0.159542	0.264615	0.360458	0.134919	0.088308	0.305740	0.201508	0.173528	0.221052	0.319167	0.369497
