	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_01.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_02.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_03.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_05.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_06.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_07.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_08.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_09.c3d	232_C_T1_sh_L_ND_10.c3d	232_C_T1_sh_L_ND_10.c3d	232_C_T1_sh_L_ND_10.c3d	232_C_T1_sh_L_ND_10.c3d	232_C_T1_sh_L_ND_10.c3d	232_C_T1_sh_L_ND_10.c3d	232_C_T1_sh_L_ND_10.c3d	232_C_T1_sh_L_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.133641	0.352893	0.296618	0.246947	0.098960	0.200950	0.209305	0.214682	0.262174	0.438287	0.260723	0.302337	0.175320	0.460596	0.302723	0.109773	0.184780	0.182870	0.225620	0.266005	0.131974	0.330994	0.153592	0.211147	0.200816	0.505381	0.196605	0.182350	0.111944	0.387070	0.221459	0.210092	0.276130	0.450547	0.707503	0.615305	0.053062	0.297859	0.411380	0.441600	0.426204	0.565961	0.243409	0.121656	0.078686	0.238806	0.216185	0.211011	0.164104	0.696743	0.281114	0.190876	0.200300	0.268809	0.217546	0.164774	0.090239	0.180023	0.298722	0.139449	0.048815	0.346663	0.475907	0.333176	0.075862	0.122310	0.415818	0.148170	0.094515	0.190922	0.102930	0.232569
2	0.132226	0.347192	0.288960	0.214396	0.102629	0.207004	0.202335	0.235232	0.195752	0.421663	0.276503	0.324341	0.153763	0.419013	0.303668	0.138053	0.189067	0.207199	0.367745	0.298678	0.122516	0.353934	0.152776	0.206522	0.196774	0.508449	0.195746	0.188612	0.113181	0.367891	0.226138	0.231565	0.272484	0.431416	0.718464	0.592355	0.056869	0.308220	0.418953	0.441668	0.417289	0.505088	0.234778	0.152418	0.070081	0.203060	0.218718	0.191110	0.194280	0.698541	0.274437	0.189349	0.193465	0.198106	0.247185	0.163034	0.090445	0.184579	0.304757	0.157843	0.053895	0.347747	0.448216	0.319731	0.076972	0.125524	0.438548	0.177847	0.066066	0.156211	0.220542	0.234175
3	0.133693	0.338420	0.253058	0.195404	0.103857	0.236310	0.190305	0.214006	0.146011	0.417065	0.288301	0.327919	0.148125	0.390389	0.306104	0.151489	0.178296	0.214018	0.427718	0.326052	0.111673	0.351330	0.231482	0.202517	0.194174	0.517381	0.169013	0.179105	0.114898	0.336830	0.225066	0.244690	0.272321	0.403407	0.745290	0.592619	0.053010	0.287618	0.425910	0.443977	0.352394	0.384720	0.227705	0.182677	0.041860	0.190610	0.229548	0.184944	0.206078	0.696438	0.272274	0.196467	0.151523	0.142583	0.252586	0.178599	0.093787	0.176244	0.306302	0.146699	0.063781	0.371979	0.406058	0.318450	0.076532	0.125692	0.482023	0.206414	0.048609	0.154871	0.251314	0.238367
4	0.133266	0.336608	0.229721	0.259672	0.101645	0.241113	0.180997	0.191498	0.105628	0.417259	0.293082	0.328136	0.144299	0.394763	0.313064	0.149545	0.165287	0.218433	0.449904	0.324548	0.109507	0.349857	0.294096	0.203582	0.193599	0.534157	0.169777	0.172781	0.117477	0.338412	0.221788	0.239758	0.269507	0.350229	0.766170	0.606097	0.048937	0.261098	0.424369	0.460738	0.231131	0.253817	0.225846	0.182345	0.030738	0.204526	0.245735	0.184071	0.210804	0.595700	0.219451	0.193386	0.104448	0.142636	0.246231	0.186910	0.072136	0.147052	0.286581	0.141852	0.069074	0.407787	0.402096	0.316745	0.075990	0.124078	0.530212	0.228393	0.048373	0.156212	0.250385	0.236599
5	0.137090	0.333937	0.286826	0.285124	0.091127	0.272687	0.177214	0.187748	0.099042	0.423973	0.301975	0.336005	0.118812	0.391136	0.316873	0.148397	0.167619	0.247668	0.507814	0.319673	0.099308	0.354556	0.303612	0.204596	0.161144	0.481583	0.222870	0.162322	0.117559	0.336051	0.222509	0.229409	0.263472	0.297829	0.783082	0.626953	0.048306	0.258409	0.385648	0.444856	0.120088	0.223464	0.202255	0.186128	0.030943	0.203324	0.261824	0.194111	0.216221	0.481689	0.226468	0.163673	0.089727	0.142552	0.242633	0.186039	0.070569	0.138285	0.295041	0.158798	0.072409	0.443425	0.398334	0.316772	0.069708	0.113516	0.577701	0.231214	0.059747	0.151476	0.262770	0.218676
6	0.134414	0.304307	0.379571	0.363985	0.081010	0.285544	0.182801	0.183255	0.099339	0.434903	0.388653	0.349675	0.095630	0.367826	0.316824	0.159640	0.163117	0.251458	0.530765	0.346092	0.086921	0.359500	0.304242	0.202549	0.131550	0.284823	0.236674	0.187319	0.116612	0.319124	0.222126	0.231927	0.270338	0.297128	0.811458	0.642957	0.048611	0.285857	0.362120	0.422794	0.115747	0.218894	0.259743	0.198389	0.031204	0.205033	0.257572	0.186763	0.217239	0.443946	0.213519	0.156785	0.081707	0.140018	0.239334	0.193996	0.068298	0.130500	0.281980	0.175557	0.072914	0.436824	0.373180	0.325633	0.065986	0.112541	0.598132	0.230956	0.067843	0.142422	0.263687	0.172558
